序号,关系样本ID,事件样本ID,查询ID,公司,证券代码,行业,检索截止时间,查询假设,候选公告标题,候选原文链接,相关性等级,关系路径可成立,关键证据原文,判断理由,置信度,数据问题,标注人ID,标注时间,gold_source,gold_version
47,G3-R-E105-H1,G3-E105,000538-H1,云南白药,000538,医药,2025-06-18T00:00:00+08:00,工业药品与健康品渠道保持稳定，不出现持续负增长,2025-20 关于JZ-14胶囊获得药物临床试验批准的公告,http://static.cninfo.com.cn/finalpage/2025-06-18/1223899598.PDF,1-弱相关,是,第1页：1/2 股票代码：000538 股票简称：云南白药 公告编号：2025-20 云南白药集团股份有限公司 关于 JZ-14 胶囊获得药物临床试验批准的公告 本公司及董事会全体成员保证信息披露的内容真实、准确、完整，没有虚 假记载、误导性陈述或重大遗漏。 云南白药集团股份有限公司（以下简称“公司”）控股子公司云白药征武 科技（上海）有限公司（以下简称“征武科技”）于近日收到国家药品监督管 理局下发的《药物临床试验批准通知书》（通知书编号： 2025LP01506、 2025LP01507）。经审查，征武科技的 JZ-14 胶囊（以下简称“本品”）临床 试验申请符合药品注册的有关要求，同意本品开展溃…,JZ-14临床获批可形成未来工业药品供给，但尚未上市或进入渠道，不能检验当前渠道稳定与负增长，仅为弱前置关联。,4,无,ADJ-CODEX-FIN-01,2026-08-26T16:23:44+08:00,adjudicated,final-gold-v3-20260826
48,G3-R-E100-H1,G3-E100,603986-H1,兆易创新,603986,芯片半导体,2026-05-27T00:00:00+08:00,存储与 MCU 需求随消费电子与工业复苏回升，库存周期见底,兆易创新关于调整2024年股票期权激励计划相关事项的公告,http://static.cninfo.com.cn/finalpage/2026-05-27/1225331853.PDF,0-无关,否,第1页：兆易创新科技集团股份有限公司（以下简称“公司”）于 2026年 5月 26 日召开的第五届董事会第十二次会议审议通过《关于调整 2024年股票期权激励 计划相关事项的议案》，现将有关事项说明如下： 一、2024 年股票期权激励计划已履行的相关审批程序 1．2024年 4月 18日，公司第四届董事会第十八次会议审议通过了《关于< 兆易创新科技集团股份有限公司 2024年股票期权激励计划（草案）>及其摘要的 议案》《关于<兆易创新科技集团股份有限公司 2024年股票期权激励计划实施考 核管理办法>的议案》《关于提请股东大会授权董事会办理 2024年股票期权激励 计划相关事宜的议案》。,公告仅涉及治理、证券或其他流程事项，未提供回答该查询假设的有效业务证据。,5,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
49,G3-R-E107-H2,G3-E107,09868-H2,小鹏汽车,09868,新能源汽车,2025-08-22T21:24:11+08:00,毛利率随规模与技术服务收入改善，不回落到历史低位,重续持续关连交易 与广东汇天签订2026年合作框架协议,http://static.cninfo.com.cn/finalpage/2025-08-22/1224561663.PDF,2-间接相关,是,第1页：產生或因依賴該等內容而引致之任何損失承擔任何責任。 （於開曼群島註冊成立以不同投票權控制的有限公司） （股份代號：9868） 重續持續關連交易 與廣東匯天簽訂 2026 年合作框架協議 與廣東匯天訂立2026年合作框架協議 茲提述本公司日期為 2024 年 1 月 2 日的公告，內容有關與廣東匯天訂立 2024 年合作框架協議，該 協議將於 2025 年 12 月 31 日結束。 董事會宣佈，於2025 年8 月22 日，廣東小鵬與廣東匯天訂立2026年合作框架協議，将於2026年1 月1 日生效至2028年12 月31 日，據此，廣東小鵬及廣東匯天同意在飛行汽車的研發、製造、銷售 及售後服務…,候选公告通过一层清晰业务因果链影响查询假设，可进入证据链但不是直接测量。,4,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
50,G3-R-E105-H2,G3-E105,000538-H2,云南白药,000538,医药,2025-06-18T00:00:00+08:00,毛利率随产品结构与原料成本波动，不持续低于历史区间,2025-20 关于JZ-14胶囊获得药物临床试验批准的公告,http://static.cninfo.com.cn/finalpage/2025-06-18/1223899598.PDF,1-弱相关,是,第1页：1/2 股票代码：000538 股票简称：云南白药 公告编号：2025-20 云南白药集团股份有限公司 关于 JZ-14 胶囊获得药物临床试验批准的公告 本公司及董事会全体成员保证信息披露的内容真实、准确、完整，没有虚 假记载、误导性陈述或重大遗漏。 云南白药集团股份有限公司（以下简称“公司”）控股子公司云白药征武 科技（上海）有限公司（以下简称“征武科技”）于近日收到国家药品监督管 理局下发的《药物临床试验批准通知书》（通知书编号： 2025LP01506、 2025LP01507）。经审查，征武科技的 JZ-14 胶囊（以下简称“本品”）临床 试验申请符合药品注册的有关要求，同意本品开展溃…,临床试验批准尚需研发、获批和商业化后才可能影响产品结构与毛利率，因果链较长，评级为弱相关。,4,无,ADJ-CODEX-FIN-01,2026-08-26T16:23:44+08:00,adjudicated,final-gold-v3-20260826
51,G3-R-E071-H1,G3-E071,603986-H1,兆易创新,603986,芯片半导体,2025-04-26T00:00:00+08:00,存储与 MCU 需求随消费电子与工业复苏回升，库存周期见底,兆易创新关于使用闲置募集资金进行现金管理的公告,http://static.cninfo.com.cn/finalpage/2025-04-26/1223305106.PDF,0-无关,否,第1页：1 证券代码：603986 证券简称：兆易创新 公告编号：2025-012 兆易创新科技集团股份有限公司 关于使用闲置募集资金进行现金管理的公告 本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述 或者重大遗漏，并对其内容的真实性、准确性和完整性承担法律责任。 重要内容提示：  现金管理投资产品：安全性高、流动性好、有保本约定的银行理财产品 和结构性存款。  现金管理金额：最高额度不超过5亿元的闲置募集资金，在上述额度范围 内，资金可在12个月内滚动使用。  现金管理期限：自董事会审议通过之日起一年内有效。购买的理财产品 或结构性存款期限不得超过十二个月，不得影响公司正常…,闲置募集资金现金管理不提供存储或MCU需求、库存、出货或下游复苏信息，属于资金管理事项，与H1无关。,4,无,ADJ-CODEX-FIN-01,2026-08-26T16:23:44+08:00,adjudicated,final-gold-v3-20260826
52,G3-R-E010-H1,G3-E010,603986-H1,兆易创新,603986,芯片半导体,2026-01-23T00:00:00+08:00,存储与 MCU 需求随消费电子与工业复苏回升，库存周期见底,中国国际金融股份有限公司关于兆易创新科技集团股份有限公司使用A股部分募集资金向全资子公司及全资孙公司增资以实施DRAM募投项目的核查意见,http://static.cninfo.com.cn/finalpage/2026-01-23/1224946581.PDF,2-间接相关,是,第1页：1 中国国际金融股份有限公司 关于兆易创新科技集团股份有限公司 使用 A 股部分募集资金向全资子公司及全资孙公司增资 以实施 DRAM 募投项目的核查意见 中国国际金融股份有限公司（以下简称“中金公司”或“保荐机构”）作为兆易创新科 技集团股份有限公司（以下简称“兆易创新”或“公司”）2020 年非公开发行股票的保荐机 构，根据《证券发行上市保荐业务管理办法》 《上市公司募集资金监管规则》 《上海证券 交易所股票上市规则》 《上海证券交易所上市公司自律监管指引第1 号——规范运作》 等有关规定，对兆易创新使用 A 股部分募集资金向全资子公司及全资孙公司增资以实 施 DRAM 募投项目的事项进行…,候选公告通过一层清晰业务因果链影响查询假设，可进入证据链但不是直接测量。,4,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
53,G3-R-E081-H1,G3-E081,09868-H1,小鹏汽车,09868,新能源汽车,2025-03-03T19:18:14+08:00,智能车交付量保持增长，新车型周期带动需求回升,自愿公告2025年2月智能车交付数据,http://static.cninfo.com.cn/finalpage/2025-03-03/1222693592.PDF,3-直接相关,是,"第1页：2 月智能車交付數據 XPeng Inc. （「本公司」或「小鵬汽車」）之董事會欣然宣佈其2025年2月車輛交付數 據。 2025年2月，小鵬汽車共交付智能電動汽車30,453輛，同比增長570%。 小鵬MONA M03連續第三個月交付量超過了15,000輛。小鵬P7+自上市以來的前三個月， 累計交付已超過30,000輛。此外，小鵬汽車還發佈了小鵬P7+的用戶畫像，顯示智能駕 駛是消費者購買小鵬 P7+的主要原因之一。 2025年前兩個月，小鵬汽車交付新車共 60,803輛，與去年同期相比增長375%。 2025年2月，小鵬汽車智能導航輔助駕駛（XNGP）的城區智駕月度活躍用戶滲透率達 86%…",候选公告直接披露了查询假设所需的核心指标或里程碑，关系路径无需额外业务前提。,5,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
54,G3-R-E031-H2,G3-E031,603259-H2,药明康德,603259,医药,2024-01-03T00:00:00+08:00,产能利用率与项目结构支撑毛利率，不因价格竞争持续走低,关于2019年限制性股票与股票期权激励计划首次授予股票期权2023年第四季度自主行权结果暨股份变动公告,http://static.cninfo.com.cn/finalpage/2024-01-03/1218791594.PDF,0-无关,否,"第1页：重要内容提示： 本次行权股票数量： 无锡药明康德新药开发股份有限公司（以下简称 “公司”）2023 年第四季度激励对象行权且完成股份过户登记的股票期权数量 为 213,405 股，占 2019 年限制性股票与股票期权激励计划首次授予股票期权第 三个行权期（以下简称“本次行权”）可行权股票期权总量的12.62%。",公告仅涉及治理、证券或其他流程事项，未提供回答该查询假设的有效业务证据。,5,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
55,G3-R-E098-H2,G3-E098,00175-H2,吉利汽车,00175,新能源汽车,2024-02-01T17:06:22+08:00,平台化与规模效应改善毛利率，新能源转型不持续拖累盈利,未经审核之二零二四年一月销量,http://static.cninfo.com.cn/finalpage/2024-02-01/1219065223.PDF,2-间接相关,是,"第1页：LE HOLDINGS LIMITED 未經審核之二零二四年一月銷量 吉利汽車控股有限公司(「本公司」，連同其附屬公司統稱為「本集團」）董事會欣然宣佈， 本集團於二零二四 年一月之總銷量為213,487 部汽車，較去年同期增長約 110%，為本集團 歷史新高。詳細如下： 品牌 本月 （部） 去年同期 （部） 同比變動 (%) 今年累計 （部） 去年同期累計 （部） 同比變動 (%) 吉利 172,774 87,255 98 172,774 87,255 98 其中：銀河 19,223 - - 19,223 - - 極氪 12,537 3,116 302 12,537 3,116 302 領克附…",候选公告通过一层清晰业务因果链影响查询假设，可进入证据链但不是直接测量。,4,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
56,G3-R-E103-H1,G3-E103,600276-H1,恒瑞医药,600276,医药,2025-07-18T00:00:00+08:00,创新药放量与授权合作收入接续仿制药集采下滑，研发管线持续推进,恒瑞医药关于获得药物临床试验批准通知书的公告,http://static.cninfo.com.cn/finalpage/2025-07-18/1224202262.PDF,3-直接相关,是,第1页：证券代码：600276 证券简称：恒瑞医药 公告编号：临 2025-102 江苏恒瑞医药股份有限公司 关于获得药物临床试验批准通知书的公告 本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述 或者重大遗漏，并对其内容的真实性、准确性和完整性承担法律责任。 近日，江苏恒瑞医药股份有限公司（以下简称“公司”）子公司苏州盛迪亚 生物医药有限公司收到国家药品监督管理局（以下简称“国家药监局”）核准签 发关于 SHR-8068 注射液的《药物临床试验批准通知书》，将于近期开展临床试 验。现将相关情况公告如下： 一、药物的基本情况 药物名称：SHR-8068 注射液 剂 型：注射剂 申请事…,SHR-8068获得临床试验批准并拟开展试验，是研发管线持续推进的直接阶段性证据。,4,无,ADJ-CODEX-FIN-01,2026-08-26T16:23:44+08:00,adjudicated,final-gold-v3-20260826
57,G3-R-E073-H2,G3-E073,002594-H2,比亚迪,002594,新能源汽车,2025-10-09T00:00:00+08:00,规模效应与垂直一体化维持毛利率，价格战不导致盈利持续恶化,2025年9月产销快报,http://static.cninfo.com.cn/finalpage/2025-10-09/1224697528.PDF,2-间接相关,是,"第1页：没有虚假记载、误导性陈述或重大遗漏。 比亚迪股份有限公司(以下简称“本公司”)2025年9月产销快报数据如下： 单位：辆 产量 销量 项目类别 本月 去年同期 本年累计 去年累计 累计同比 本月 去年同期 本年累计 去年累计 累计同比 新能源汽车 405,554 441,052 3,213,569 2,760,910 16.40% 396,270 419,426 3,260,146 2,747,875 18.64% -乘用车 402,008 439,229 3,171,466 2,749,436 15.35% 393,060 417,603 3,218,862 2,736,401 17.63%…",候选公告通过一层清晰业务因果链影响查询假设，可进入证据链但不是直接测量。,4,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
58,G3-R-E049-H3,G3-E049,002594-H3,比亚迪,002594,新能源汽车,2024-03-02T00:00:00+08:00,海外工厂与产能扩张按计划落地，不出现大额投资减值,关于持股5%以上股东部分股份质押的公告,http://static.cninfo.com.cn/finalpage/2024-03-02/1219219982.PDF,0-无关,否,第1页：证券代码：002594 证券简称：比亚迪 公告编号：2024-016 比亚迪股份有限公司 关于持股5%以上股东部分股份质押的公告 本公司及董事会全体成员保证信息披露的内容真实、准确、完整，没有虚假 记载、误导性陈述或重大遗漏。 比亚迪股份有限公司（以下简称“本公司”或“公司”）于近日收到公司持 股5%以上的股东融捷投资控股集团有限公司（以下简称“融捷投资控股”）的通 知，获悉其将所持有本公司的部分股份办理质押手续。本次股份质押的具体情况 如下： 一、股东部分股份质押的基本情况 股东 名称 是否为 控股股 东或第 一大股 东及其 一致行 动人 本次质押股份 数量（股） 占其所 持股份 比例 占公,公告仅涉及治理、证券或其他流程事项，未提供回答该查询假设的有效业务证据。,5,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
59,G3-R-E075-H3,G3-E075,603259-H3,药明康德,603259,医药,2026-04-28T00:00:00+08:00,新增产能与地缘政治风险可控，海外基地建设按计划推进,2026年第一季度报告,http://static.cninfo.com.cn/finalpage/2026-04-28/1225200544.PDF,1-弱相关,是,"第2页：客户从药物发现、开发 到生产的服务需求。 一、主要财务数据 （一）主要会计数据和财务指标 单位：元 币种：人民币 项目 本报告期 上年同期 本报告期比上年同 期增减变动幅度(%) 营业收入 12,435,776,568.29 9,654,595,304.28 28.81 利润总额 5,607,280,256.21 4,279,893,550.88 31.01 归属于上市公司股东的净利润 4,651,517,987.76 3,671,960,950.47 26.68 归属于上市公司股东的扣除非 经常性损益的净利润 4,275,624,429.82 2,329,266,627.00 83.56 经…",收入和在手订单增长可弱提示产能需求环境，但公告证据未披露海外基地建设、地缘风险或新增产能，不能作为H3核心证据。,4,无,ADJ-CODEX-FIN-01,2026-08-26T16:23:44+08:00,adjudicated,final-gold-v3-20260826
60,G3-R-E031-H3,G3-E031,603259-H3,药明康德,603259,医药,2024-01-03T00:00:00+08:00,新增产能与地缘政治风险可控，海外基地建设按计划推进,关于2019年限制性股票与股票期权激励计划首次授予股票期权2023年第四季度自主行权结果暨股份变动公告,http://static.cninfo.com.cn/finalpage/2024-01-03/1218791594.PDF,0-无关,否,"第1页：重要内容提示： 本次行权股票数量： 无锡药明康德新药开发股份有限公司（以下简称 “公司”）2023 年第四季度激励对象行权且完成股份过户登记的股票期权数量 为 213,405 股，占 2019 年限制性股票与股票期权激励计划首次授予股票期权第 三个行权期（以下简称“本次行权”）可行权股票期权总量的12.62%。",公告仅涉及治理、证券或其他流程事项，未提供回答该查询假设的有效业务证据。,5,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
61,G3-R-E014-H1,G3-E014,09868-H1,小鹏汽车,09868,新能源汽车,2024-04-02T12:07:33+08:00,智能车交付量保持增长，新车型周期带动需求回升,自愿公告 2024年3月及第一季度智能车交付数据,http://static.cninfo.com.cn/finalpage/2024-04-02/1219499685.PDF,3-直接相关,是,"第1页：Peng Inc. （「本公司」或「小鵬汽車」）之董事會欣然宣佈其2024年3月及第一季度 車輛交付數據。 2024年3月，小鵬汽車共交付智能電動汽車9,026輛，環比增長99%，同比增長29%。其 中，小鵬X9交付3,946輛，上市以來累計交付近8000輛，蟬聯中國純電MPV銷量冠軍。 2024年第一季度，小鵬汽車累計交付共21,821輛智能電動車，同比增長20%。 此外，XNGP城區智駕月度活躍用戶滲透率達82%，無限XNGP向智駕經驗用戶開放規 模在中國持續擴大。此外，經過小鵬團隊多輪安全測試認證的XNGP全量開放路線也在 持續增加中，以提供更優質的用戶體驗。 2024年3月，小鵬汽車宣…",候选公告直接披露了查询假设所需的核心指标或里程碑，关系路径无需额外业务前提。,5,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
62,G3-R-E108-H2,G3-E108,688981-H2,中芯国际,688981,芯片半导体,2026-02-11T00:00:00+08:00,毛利率随产能利用率回升，折旧压力不导致盈利持续恶化,中芯国际2025年第四季度业绩快报公告,http://static.cninfo.com.cn/finalpage/2026-02-11/1224974869.PDF,3-直接相关,是,"第2页：15,916,850 11.9 营业利润 2,114,049 2,746,202 -23.0 利润总额 1,602,415 2,738,330 -41.5 归属于上市公司股东的 净利润 1,222,663 992,473 23.2 归属于上市公司股东的 扣除非经常性损益的净 利润 947,416 445,967 112.4 基本每股收益（元/股） 0.15 0.12 25.0 加权平均净资产收益率 （%） 0.81 0.68 增加 0.13 个百分点 2025 年 12 月 31 日 2024 年 12 月 31 日 增减变动 幅度 （％） 总资产 367,718,196 353,415,29…",候选公告直接披露了查询假设所需的核心指标或里程碑，关系路径无需额外业务前提。,5,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
63,G3-R-E044-H3,G3-E044,688981-H3,中芯国际,688981,芯片半导体,2025-11-14T00:00:00+08:00,资本开支与扩产节奏匹配下游需求，先进制程投入不出现大额减值,中芯国际关于2025年前三季度计提资产减值准备的公告,http://static.cninfo.com.cn/finalpage/2025-11-14/1224804088.PDF,3-直接相关,是,第1页：A股代码：688981 A股简称：中芯国际 公告编号：2025-031 港股代码：00981 港股简称：中芯国际 中芯国际集成电路制造有限公司 关于 2025 年前三季度计提资产减值准备的公告 本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈 述或者重大遗漏，并对其内容的真实性、准确性和完整性依法承担法律责任。 一、本次计提减值准备的情况概述 中芯国际集成电路制造有限公司（以下简称“公司”）根据《企业会计准 则》以及公司会计政策的相关规定，为客观、公允地反映公司截至2025 年 9 月 30 日的合并财务状况及 2025 年前三季度的经营成果。基于谨慎性原则，公司 对合并范围内…,候选公告直接披露了查询假设所需的核心指标或里程碑，关系路径无需额外业务前提。,5,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
64,G3-R-E095-H1,G3-E095,002371-H1,北方华创,002371,芯片半导体,2025-02-18T00:00:00+08:00,半导体设备订单随晶圆厂扩产与国产化率提升保持增长,关于向全资子公司增资并参与设立北京集成电路装备产业投资并购二期基金暨关联交易的进展公告,http://static.cninfo.com.cn/finalpage/2025-02-18/1222558599.PDF,1-弱相关,是,第1页：证券代码：002371 证券简称：北方华创 公告编号：2025-003 北方华创科技集团股份有限公司 关于向全资子公司增资并参与设立北京集成电路装备产业 投资并购二期基金暨关联交易的进展公告 本公司及董事会全体成员保证信息披露的内容真实、准确、完整， 没有虚 假记载、误导性陈述或者重大遗漏。 北方华创科技集团股份有限公司（以下简称“公司”）于 2024 年 12 月 16 日召开了第八届董事会第十八次会议，审议通过了《关于向全资子公司增资并参 与设立北京集成电路装备产业投资并购二期基金暨关联交易的议案》，同意向全 资子公司北方华创创新投资（北京）有限公司（以下简称“华创创投”）增资 5.1 亿…,设立装备产业并购基金可能支持产业整合，但未披露客户订单、晶圆厂扩产需求或国产化率，对H1仅有弱间接联系。,4,无,ADJ-CODEX-FIN-01,2026-08-26T16:23:44+08:00,adjudicated,final-gold-v3-20260826
65,G3-R-E021-H3,G3-E021,600276-H3,恒瑞医药,600276,医药,2025-12-08T00:00:00+08:00,研发投入强度维持，管线推进不出现关键品种研发失败,恒瑞医药关于公司药品纳入国家医保目录的公告,http://static.cninfo.com.cn/finalpage/2025-12-08/1224856686.PDF,1-弱相关,是,第1页：根据国家医保局、人力资源社会保障部关于印发《国家基本医疗保险、工伤 保险和生育保险药品目录（2025 年）》的通知（“《国家基本医疗保险、工伤 保险和生育保险药品目录》”以下简称“国家医保目录”），江苏恒瑞医药股份 有限公司（以下简称“恒瑞医药”或“公司”）部分产品纳入国家医保目录。,药品纳入医保并披露销售额说明已商业化，但不直接证明研发投入强度或在研管线进度；对研发成功的回溯联系较弱，故为弱相关。,4,无,ADJ-CODEX-FIN-01,2026-08-26T16:23:44+08:00,adjudicated,final-gold-v3-20260826
66,G3-R-E060-H3,G3-E060,002594-H3,比亚迪,002594,新能源汽车,2024-12-02T00:00:00+08:00,海外工厂与产能扩张按计划落地，不出现大额投资减值,2024年11月产销快报,http://static.cninfo.com.cn/finalpage/2024-12-02/1221902564.PDF,1-弱相关,否,"第1页：限公司(以下简称“本公司”)2024年11月产销快报数据如下： 单位：辆 产量 销量 项目类别 本月 去年同期 本年累计 去年累计 累计同 比 本月 去年同期 本年累计 去年累计 累计同比 新能源汽车 540,588 316,510 3,837,632 2,736,259 40.25% 506,804 301,903 3,757,336 2,683,374 40.02% -乘用车 536,926 315,985 3,820,365 2,725,555 40.17% 504,003 301,378 3,740,930 2,672,728 39.97% -纯电动 208,859 172,746 1…",产销快报仅披露销量增长，未给出海外工厂建设、产能扩张或投资减值信息，不能据此建立到H3的有效路径。,4,无,ADJ-CODEX-FIN-01,2026-08-26T16:23:44+08:00,adjudicated,final-gold-v3-20260826
67,G3-R-E109-H3,G3-E109,09868-H3,小鹏汽车,09868,新能源汽车,2024-10-02T23:59:59+08:00,研发与产能投入可持续，现金流不出现明显恶化,自愿公告 2024年9月及第三季度智能车交付数据,http://static.cninfo.com.cn/finalpage/2024-10-02/1221335028.PDF,1-弱相关,否,"第1页：責，對其準確性或完整性亦 不發表聲明，並明確表示概不會就本公告全部或任何部分內容而產生或因依賴該等內容而引致之任何損失 承擔任何責任。 自願公告 2024 年9 月及第三季度智能車交付數據 XPeng Inc. （「本公司」或「小鵬汽車」）之董事會欣然宣佈其2024年9月及第三季度 車輛交付數據。 2024年9月，小鵬汽車共交付智能電動汽車21,352輛，創下了月度交付量的新紀錄，同 比增長39%，環比增長52%。同時，小鵬MONA M03 的首月交付量超過了10,000輛。 2024年前九個月，小鵬汽車共交付了智能電動汽車98,561輛，较去年同期增長了21%。 憑藉豐富的優質配置和具有競爭…",交付增长未披露研发投入、产能资本开支或现金流，不能用销量替代投入可持续性证据，故仅弱相关且路径不成立。,4,无,ADJ-CODEX-FIN-01,2026-08-26T16:23:44+08:00,adjudicated,final-gold-v3-20260826
68,G3-R-E048-H2,G3-E048,00175-H2,吉利汽车,00175,新能源汽车,2025-11-27T16:36:09+08:00,平台化与规模效应改善毛利率，新能源转型不持续拖累盈利,持续关连交易,http://static.cninfo.com.cn/finalpage/2025-11-27/1224830298.PDF,2-间接相关,是,第3页：於本通函內，除文義另有所指外，以下詞彙具有下列各自涵義： 「聯繫人」 指 具有上市規則賦予該詞之涵義 「零部件購銷協議」 指 本公司、吉利控股、領克、極氪、LEVC、吉利科 技、耀寧科技、星驅科技及吉利欣旺達訂立之日期為 二零二四年八月十五日之總協議，據此，本集團有條 件同意(i)向吉利控股集團、領克集團、極氪集團及 LEVC集團銷售零部件；及(ii)向吉利控股集團、領克 集團、極氪集團、耀寧科技集團、吉利科技集團、星 驅科技集團及吉利欣旺達集團購買零部件 「Aurobay」 指 Aurobay Holding (SG) PTE. LTD.，一間於新加坡共 和國註冊成立之私人股份有限公司，於最…,候选公告通过一层清晰业务因果链影响查询假设，可进入证据链但不是直接测量。,4,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
69,G3-R-E092-H3,G3-E092,002594-H3,比亚迪,002594,新能源汽车,2024-01-30T00:00:00+08:00,海外工厂与产能扩张按计划落地，不出现大额投资减值,2023年度业绩预告,http://static.cninfo.com.cn/finalpage/2024-01-30/1219028933.PDF,1-弱相关,否,"第1页：绩预告期间：2023 年 1 月 1 日至 12 月 31 日 2.预计的业绩情况： 亏损 扭亏为盈 √同向上升 同向下降 项 目 本报告期 上年同期 归属于上市公司 股东的净利润 盈利：人民币2,900,000万元– 3,100,000万元 盈利：人民币1,662,245万元 比上年同期上升：74.46%-86.49% 扣除非经常性损 益后的净利润 盈利：人民币2,740,000万元– 2,970,000万元（注1） 盈利：人民币1,563,779万元 比上年同期上升：75.22%-89.92% 基本每股收益 盈利：人民币9.98元/股至10.67元/股 盈利：人民币5.71元/股 注…",利润与销量增长未披露海外工厂建设、产能扩张或投资减值，不能建立到H3的有效路径，仅保留弱经营相关。,4,无,ADJ-CODEX-FIN-01,2026-08-26T16:23:44+08:00,adjudicated,final-gold-v3-20260826
70,G3-R-E009-H1,G3-E009,002594-H1,比亚迪,002594,新能源汽车,2024-11-02T00:00:00+08:00,新能源汽车销量保持增长，出口占比提升对冲国内价格压力,2024年10月产销快报,http://static.cninfo.com.cn/finalpage/2024-11-02/1221604106.PDF,3-直接相关,是,"第1页：有虚假记载、误导性陈述或重大遗漏。 比亚迪股份有限公司(以下简称“本公司”)2024年10月产销快报数据如下： 单位：辆 产量 销量 项目类别 本月 去年同期 本年累计 去年累计 累计同比 本月 去年同期 本年累计 去年累计 累计同比 新能源汽车 536,134 307,014 3,297,044 2,419,749 36.26% 502,657 301,833 3,250,532 2,381,471 36.49% -乘用车 534,003 306,276 3,283,439 2,409,570 36.27% 500,526 301,095 3,236,927 2,371,350 36.50%…",候选公告直接披露了查询假设所需的核心指标或里程碑，关系路径无需额外业务前提。,5,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
71,G3-R-E118-H3,G3-E118,603986-H3,兆易创新,603986,芯片半导体,2025-08-23T00:00:00+08:00,新品研发与产能储备按计划推进，不出现存货大额跌价,兆易创新2025年半年度报告摘要,http://static.cninfo.com.cn/finalpage/2025-08-23/1224559705.PDF,1-弱相关,是,"第2页：39 2.97 归属于上市公司股东的 净资产 17,239,898,549.79 16,498,507,838.97 4.49 本报告期 上年同期 本报告期比上年同期增 减(%) 营业收入 4,150,308,632.88 3,609,037,320.17 15.00 利润总额 596,079,141.41 527,876,598.04 12.92",收入和利润增长可弱提示新品及产能经营效果，但现有证据未披露研发、产能储备或存货跌价，故仅弱相关。,4,无,ADJ-CODEX-FIN-01,2026-08-26T16:23:44+08:00,adjudicated,final-gold-v3-20260826
72,G3-R-E086-H2,G3-E086,600276-H2,恒瑞医药,600276,医药,2026-05-20T00:00:00+08:00,创新药占比提升支撑高毛利率，集采降价不导致盈利持续恶化,恒瑞医药关于获得药品注册批准的公告,http://static.cninfo.com.cn/finalpage/2026-05-20/1225315769.PDF,1-弱相关,是,第1页：证券代码：600276 证券简称：恒瑞医药 公告编号：临 2026-075 江苏恒瑞医药股份有限公司 关于获得药品注册批准的公告 本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述 或者重大遗漏，并对其内容的真实性、准确性和完整性承担法律责任。 近日，江苏恒瑞医药股份有限公司（以下简称“公司”）子公司福建盛迪医 药有限公司收到国家药品监督管理局（以下简称“国家药监局”）的通知，批准 公司ω-3 甘油三酯（2%）中/长链脂肪乳/氨基酸（16）/葡萄糖（30%）注射液上 市。现将相关情况公告如下： 一、药品的基本情况 药品名称：ω-3 甘油三酯（2%）中/长链脂肪乳/氨基酸（16）,该注射液获批可扩充产品组合，但公告未说明其为高毛利创新药，也未披露销售占比或毛利率，对H2仅弱相关。,4,无,ADJ-CODEX-FIN-01,2026-08-26T16:23:44+08:00,adjudicated,final-gold-v3-20260826
