序号,正文样本ID,事件样本ID,公告ID,公司,证券代码,行业,披露时间,公告标题,原文链接,正文定位,正文片段,是否存在可抽取事实,事实类型,变化方向,数值下限,数值上限,单位,事实发生期,判断理由,置信度,数据问题,标注人ID,标注时间,gold_source,gold_version
27,G3-B060,G3-E074,EVT-002371-00261,北方华创,002371,芯片半导体,2025-10-18T00:00:00+08:00,关于归还暂时补充流动资金的闲置募集资金的公告,http://static.cninfo.com.cn/finalpage/2025-10-18/1224718261.PDF,第1页,"北方华创科技集团股份有限公司（以下简称“公司”）于 2024 年 10 月 29 日召开的第八届董事会第十七次会议及第八届监事会第十二次会议，审议通过了 《关于全资子公司使用部分闲置募集资金暂时补充流动资金的议案》，同意公司 全资子公司北京北方华创微电子装备有限公司（以下简称“北方华创微电子”） 使用闲置募集资金 130,000 万元暂时补充流动资金，使用期限为自董事会审议通 过之日起不超过 12 个月，即自 2024 年 10 月 30 日至 2025 年 10 月 29 日止。",是,其他,无法判断,130000,130000,万元,2025-10-17,"正文明确闲置募集资金130,000万元已全部归还至专用账户，金额和归还日期可复核；这是单笔资金归还事实，无比较基准。",5,无,ADJ-CODEX-FIN-01,2026-08-26T16:23:44+08:00,adjudicated,final-gold-v3-20260826
28,G3-B053,G3-E061,EVT-688981-00312,中芯国际,688981,芯片半导体,2026-04-09T00:00:00+08:00,港股公告：2025年年报,http://static.cninfo.com.cn/finalpage/2026-04-09/1225084819.PDF,PDF共163页，正文无法提取,[扫描版PDF，正文文本提取为空],是,毛利率,上升,21,21,%,2025,年报正文披露2025年毛利率21.0%、同比增加3.0个百分点，具备实际值、比较基准和年度；按毛利率上升抽取，而非笼统归为其他。,1,正文不可提取,ADJ-CODEX-FIN-01,2026-08-26T16:23:44+08:00,adjudicated,final-gold-v3-20260826
29,G3-B051,G3-E010,EVT-603986-00407,兆易创新,603986,芯片半导体,2026-01-23T00:00:00+08:00,中国国际金融股份有限公司关于兆易创新科技集团股份有限公司使用A股部分募集资金向全资子公司及全资孙公司增资以实施DRAM募投项目的核查意见,http://static.cninfo.com.cn/finalpage/2026-01-23/1224946581.PDF,第1页,1 中国国际金融股份有限公司 关于兆易创新科技集团股份有限公司 使用 A 股部分募集资金向全资子公司及全资孙公司增资 以实施 DRAM 募投项目的核查意见 中国国际金融股份有限公司（以下简称“中金公司”或“保荐机构”）作为兆易创新科 技集团股份有限公司（以下简称“兆易创新”或“公司”）2020 年非公开发行股票的保荐机 构，根据《证券发行上市保荐业务管理办法》 《上市公司募集资金监管规则》 《上海证券 交易所股票上市规则》 《上海证券交易所上市公司自律监管指引第1 号——规范运作》 等有关规定，对兆易创新使用 A 股部分募集资金向全资子公司及全资孙公司增资以实 施 DRAM 募投项目的事项进行了审慎核查，核查意见如下： 一、募集资金基本情况 经中国证券监督管理委员会 《关于核准北京兆易创新科技股份有限公司非公开发行 股票的批复》 （证监许可[2020]711号核准） ， 公司由主承销商中国国际金融股份有限公司 采用非公开发行股票…,是,资本开支,无法判断,50000,50000,万元,2026-01,"公司拟以DRAM募投项目资金向珠海芯存增资50,000万元，金额、用途和月份明确；为单笔资本投入，无比较基准。",5,无,ADJ-CODEX-FIN-01,2026-08-26T16:23:44+08:00,adjudicated,final-gold-v3-20260826
30,G3-B043,G3-E110,EVT-688981-00247,中芯国际,688981,芯片半导体,2025-12-30T00:00:00+08:00,独立董事关于发行股份购买资产暨关联交易相关事项的的独立意见,http://static.cninfo.com.cn/finalpage/2025-12-30/1224907027.PDF,第1页,1 中芯国际集成电路制造有限公司 独立董事关于发行股份购买资产暨关联交易相关事项的独立意见 根据《上市公司独立董事管理办法》《上海证券交易所科创板股票上市规则》等法 律、法规及规范性文件的规定，作为中芯国际集成电路制造有限公司（以下简称“公司”） 独立非执行董事，本着勤勉尽责的态度，客观公正的原则，我们认真审阅了公司提供的 有关资料，现就公司发行股份购买资产暨关联交易相关事项，基于独立判断发表如下独 立意见： 公司拟以发行股份的方式购买国家集成电路产业投资基金股份有限公司（以下简称 “国家集成电路基金”）、北京集成电路制造和装备股权投资中心（有限合伙）（以下简称 “集成电路投资中心”）、北京亦庄国际投资发展有限公司（以下简称“亦庄国投”）、中关 村发展集团股份有限公司（以下简称“中关村发展”）、北京工业发展投资管理有限公司 （以下简称“北京工投”）等 5 名交易对方（以下单称或合称“交易对方”）合计持有的中 芯北方集成电路制造（…,是,其他,无法判断,49,49,%,2025-12-29,正文明确披露拟购买中芯北方49%股权，比例和事项日期可复核，属于其他交易事实；无比较口径，方向无法判断。,5,无,ADJ-CODEX-FIN-01,2026-08-26T16:23:44+08:00,adjudicated,final-gold-v3-20260826
31,G3-B015,G3-E057,EVT-000538-00202,云南白药,000538,医药,2026-04-01T00:00:00+08:00,云南白药集团股份有限公司董事和高级管理人员所持公司股份及其变动管理制度,http://static.cninfo.com.cn/finalpage/2026-04-01/1225067998.PDF,第1页,1 / 9 云南白药集团股份有限公司 董事和高级管理人员所持公司股份 及其变动管理制度 （2026 年 3 月） 第一章 总则 第一条 为加强对云南白药集团股份有限公司(以下简称“公司”)董事和 高级管理人员所持公司股份及其变动的管理，根据《中华人民共和国公司法》 (以下简称“《公司法》”)《中华人民共和国证券法》(以下简称“《证券法》”) 《上市公司董事和高级管理人员所持本公司股份及其变动管理规则》《深圳 证券交易所上市公司自律监管指引第10 号——股份变动管理》《深圳证券交 易所上市公司自律监管指引第18 号—…,否,不适用,不适用,,,,,正文主要为治理、程序、研发审批或框架性披露，未提供可按既定事实类型抽取的新增经营数值及比较口径。,4,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
32,G3-B046,G3-E108,EVT-688981-00272,中芯国际,688981,芯片半导体,2026-02-11T00:00:00+08:00,中芯国际2025年第四季度业绩快报公告,http://static.cninfo.com.cn/finalpage/2026-02-11/1224974869.PDF,第2页,"2 一、2025 年第四季度主要财务数据和指标 单位：千元 币种：人民币 项目 2025 年第四季度 （10-12 月） 2024 年第四季度 （10-12 月） 增减变动 幅度 （％） 营业总收入 17,812,776 15,916,850 11.9 营业利润 2,114,049 2,746,202 -23.0 利润总额 1,602,415 2,738,330 -41.5 归属于上市公司股东的 净利润 1,222,663 992,473 23.2 归属于上市公司股东的 扣除非经常性损益的净 利润 947,416 445,967 112.4 基本每股收益（元/股） 0.15 0.12 25.0 加权平均净资产收益率 （%） 0.81 0.68 增加 0.13 个百分点 2025 年 12 月 31 日 2024 年 12 月 31 日 增减变动 幅度 （％） 总资产 367,718,196 353,415,296 4.0 归属于",是,营业收入同比,上升,11.9,11.9,%,2025-Q4,正文给出了明确数值、口径与对应期间，可作为结构化经营事实抽取。,5,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
33,G3-B035,G3-E068,EVT-002594-00365,比亚迪,002594,新能源汽车,2026-04-02T00:00:00+08:00,2026年3月产销快报,http://static.cninfo.com.cn/finalpage/2026-04-02/1225072597.PDF,第1页,"同比 本月 去年同期 本年累计 去年累计 累计同比 新能源汽车 300,399 395,091 708,037 1,057,079 -33.02% 300,222 377,420 700,463 1,000,804 -30.01% -乘用车 295,412 388,877 695,772 1,041,899 -33.22% 295,693 371,419 688,993 986,098 -30.13% -纯电动 148,666 187,599 313,755 450,949 -30.42% 147,601 166,109 310,389 416,388 -25.46% -插电式混合动力 146,746 201,278 382,017 590,950 -35.36% 148,092 205,310 378,604 569,710 -33.54% -商用车 4,987 6,214 12,265 15,180 -19.20% 4,52",是,销量或交付量同比,下降,30.01,30.01,%,2026-Q1,2026年一季度新能源汽车累计销量70.05万辆、同比下降30.01%，比较基准和期间清晰；数值字段记录下降幅度绝对值，方向单列为下降。,5,无,ADJ-CODEX-FIN-01,2026-08-26T16:23:44+08:00,adjudicated,final-gold-v3-20260826
34,G3-B018,G3-E115,EVT-000538-00225,云南白药,000538,医药,2026-04-02T00:00:00+08:00,关于INB301注射液获得药物临床试验批准的公告,http://static.cninfo.com.cn/finalpage/2026-04-02/1225071642.PDF,第1页,云南白药集团股份有限公司（以下简称“公司”）于近日收到国家药品监 督管理局下发的《药物临床试验批准通知书》（通知书编号：2026LP01002）， 经审查，2026 年 2 月 24 日受理的 INB301 注射液（以下简称“本品”）临 床试验申请符合药品注册的有关要求，同意本品开展肿瘤恶病质的临床试验。,是,其他,无法判断,4347.2,4347.2,万元,截至2026-04,"正文披露INB301已投入研发费用约4,347.2万元，金额、单位和截至月份明确；无比较基准，方向无法判断。",4,无,ADJ-CODEX-FIN-01,2026-08-26T16:23:44+08:00,adjudicated,final-gold-v3-20260826
35,G3-B009,G3-E025,EVT-600276-00266,恒瑞医药,600276,医药,2025-03-31T00:00:00+08:00,恒瑞医药2024年年度报告,http://static.cninfo.com.cn/finalpage/2025-03-31/1222961962.PDF,第53页,"情况 单位：元 币种：人民币 主营业务分行业情况 分行业 营业收入 营业成本 毛利率 （%） 营业收入比 上年增减 （%） 营业成本 比上年增 减（%） 毛利率比上年增减 （%） 医药制造业 25,009,582,466.06 3,736,880,974.98 85.06 11.76 7.95 增加 0.53 个百分点 主营业务分产品情况 分产品 营业收入 营业成本 毛利率 （%） 营业收入比 上年增减 （%） 营业成本 比上年增 减（%） 毛利率比上年增减 （%） 肿瘤 14,586,573,721.64 1,084,203,084.34 92.57 19.39 8.45 增加 0.75 个百分点 代谢和心血 管 1,747,836,362.01 408,890,715.11 76.61 61.65 30.77 增加 5.52 个百分点 免疫和呼吸 系统 776,773,986.08 126,671,794.63 83.69",是,营业收入同比,上升,22.63,22.63,%,2024,年报直接披露2024年公司整体营业收入279.85亿元、同比增长22.63%，比单一分行业指标更能代表公告核心经营事实。,5,无,ADJ-CODEX-FIN-01,2026-08-26T16:23:44+08:00,adjudicated,final-gold-v3-20260826
36,G3-B003,G3-E037,EVT-600276-00012,恒瑞医药,600276,医药,2024-02-01T00:00:00+08:00,恒瑞医药关于获得药品注册证书的公告,http://static.cninfo.com.cn/finalpage/2024-02-01/1219055661.PDF,第1页,近日，江苏恒瑞医药股份有限公司（以下简称“公司”）收到国家药品监督 管理局（以下简称“国家药监局”）核准签发的《药品注册证书》，批准公司自 主研发的富马酸泰吉利定注射液上市，用于治疗腹部手术后中重度疼痛。,是,其他,无法判断,16569,16569,万元,截至2024-02,"正文明确披露富马酸泰吉利定项目累计研发投入约16,569万元，可作为其他金额事实抽取；无比较口径，方向无法判断。",4,无,ADJ-CODEX-FIN-01,2026-08-26T16:23:44+08:00,adjudicated,final-gold-v3-20260826
37,G3-B042,G3-E004,EVT-603986-00507,兆易创新,603986,芯片半导体,2026-07-30T00:00:00+08:00,兆易创新股东增持股份计划公告,http://static.cninfo.com.cn/finalpage/2026-07-30/1225447344.PDF,第1页,重要内容提示：  增持主体的基本情况：本次增持主体为兆易创新科技集团股份有限公司（以 下简称“公司”）控股股东、实际控制人朱一明先生。,否,不适用,不适用,,,,,正文主要为治理、程序、研发审批或框架性披露，未提供可按既定事实类型抽取的新增经营数值及比较口径。,4,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
38,G3-B054,G3-E082,EVT-688981-00017,中芯国际,688981,芯片半导体,2024-03-29T00:00:00+08:00,中芯国际2023年年度报告摘要,http://static.cninfo.com.cn/finalpage/2024-03-29/1219447110.PDF,第6页,"63,197 305,103,691 10.9 229,932,806 归属于上市公司股东的净资产 142,475,834 133,371,921 6.8 109,198,772 营业收入 45,250,425 49,516,084 -8.6 35,630,634 归属于上市公司股东的净利润 4,822,814 12,133,079 -60.3 10,733,098 归属于上市公司股东的扣除非经 常性损益的净利润 3,269,518 10,133,988 -67.7 5,655,839 经营活动产生的现金流量净额 23,047,761 36,591,209 -37.0 20,844,994 加权平均净资产收益率（%） 3.5 10.0 减少6.5个百分点 10.3 基本每股收益（元／股） 0.61 1.53 -60.1 1.36 稀释每股收益（元／股） 0.61 1.53 -60.1 1.35 研发投入占营业收入的比例（%） 1",是,营业收入同比,下降,8.6,8.6,%,2023,年报摘要明确2023年营业收入同比下降8.6%；按统一口径数值字段记录下降幅度绝对值，变化方向单列为下降。,5,无,ADJ-CODEX-FIN-01,2026-08-26T16:23:44+08:00,adjudicated,final-gold-v3-20260826
39,G3-B021,G3-E109,EVT-09868-00063,小鹏汽车,09868,新能源汽车,2024-10-02T23:59:59+08:00,自愿公告 2024年9月及第三季度智能车交付数据,http://static.cninfo.com.cn/finalpage/2024-10-02/1221335028.PDF,第1页,1 香港交易及結算所有限公司及香港聯合交易所有限公司對本公告之內容概不負責，對其準確性或完整性亦 不發表聲明，並明確表示概不會就本公告全部或任何部分內容而產生或因依賴該等內容而引致之任何損失 承擔任何責任。,是,销量或交付量同比,上升,39,39,%,2024-09,正文给出了明确数值、口径与对应期间，可作为结构化经营事实抽取。,5,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
40,G3-B058,G3-E059,EVT-002371-00265,北方华创,002371,芯片半导体,2025-10-31T00:00:00+08:00,募集资金管理办法（2025年10月),http://static.cninfo.com.cn/finalpage/2025-10-31/1224774330.PDF,第1页,北方华创科技集团股份有限公司 募集资金管理办法 （2025 年 10 月 30 日，经第八届董事会第二十八次会议审议通过） 第一章 总则 第一条 为了规范北方华创科技集团股份有限公司（以下简称“公司”）募集资 金的管理和运用，保护投资者的权益，提高募集资金使用效率，依据《中华人民共 和国公司法》《中华人民共和国证券法》《上市公司募集资金监管规则》《深圳证 券交易所股票上市规则》等相关法律、法规、规范性文件和《北方华创科技集团股 份有限公司章程》（以下简称“《公司章程》”）的相关规定，并结合公司实际， 制定本办法。,否,不适用,不适用,,,,,正文主要为治理、程序、研发审批或框架性披露，未提供可按既定事实类型抽取的新增经营数值及比较口径。,4,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
41,G3-B006,G3-E103,EVT-600276-00352,恒瑞医药,600276,医药,2025-07-18T00:00:00+08:00,恒瑞医药关于获得药物临床试验批准通知书的公告,http://static.cninfo.com.cn/finalpage/2025-07-18/1224202262.PDF,第1页,"增强抗 肿瘤免疫效应。目前全球共有两款同类产品获批上市，分别是伊匹木单抗和替西 木单抗。经查询，2024 年伊匹木单抗和替西木单抗全球销售额合计约为 32.71 亿美元。截至目前，SHR-8068 注射液相关项目累计研发投入约 21,350 万元。 三、风险提示 根据我国药品注册相关的法律法规要求，药物在获得药物临床试验批准通知 书后，尚需开展临床试验并经国家药监局审评、审批通过后方可生产上市。药品",是,其他,无法判断,21350,21350,万元,截至2025-07,"正文明确披露SHR-8068项目累计研发投入约21,350万元；金额、单位和月份可核，未提供可判断升降的比较基准。",5,无,ADJ-CODEX-FIN-01,2026-08-26T16:23:44+08:00,adjudicated,final-gold-v3-20260826
42,G3-B022,G3-E101,EVT-00175-00345,吉利汽车,00175,新能源汽车,2026-02-01T21:20:12+08:00,未经审核之二零二六年一月销量,http://static.cninfo.com.cn/finalpage/2026-02-01/1224961027.PDF,第1页,"核之 二零二 六 年 一 月 銷量 吉利汽車控股有限公司( 「 本公司 」， 連同其附屬公司統稱為 「 本集團 」 ） 董事會欣然宣佈， 本集團於二零二 六 年 一 月 的 汽車 總銷量為270,167 部， 較去年同期 增長約1 % ， 其中出口總 銷量和極氪品牌總銷量 均 較去年同期實現翻倍增長。 詳細如下： 品牌 本月 （部） 去年同期 （部） 同比變動 (%) 今年累計 （部） 去年同期累計 （部） 同比變動 (%) 吉利 217,438 224,718 -3 217,438 224,718 -3 其中: 銀河 82,990 93,545 -11 82,990 93,545 -11 領克 28,877 30,077 -4 28,877 30,077 -4 極氪 23,852 11,942 100 23,852 11,942 100 合計 270,167 266,737 1 270,167 266,737 1 其中： 純電",是,销量或交付量同比,上升,1,1,%,2026-01,正文给出了明确数值、口径与对应期间，可作为结构化经营事实抽取。,5,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
43,G3-B048,G3-E058,EVT-002371-00194,北方华创,002371,芯片半导体,2025-04-26T00:00:00+08:00,2025年一季度报告,http://static.cninfo.com.cn/finalpage/2025-04-26/1223309242.PDF,第1页,"数据 是 □否 追溯调整或重述原因 □会计政策变更 □会计差错更正 同一控制下企业合并 □其他原因 本报告期 上年同期 本报告期比上年同期 增减（%） 调整前 调整后 调整后 营业收入（元） 8,206,029,208.83 5,859,163,380.59 5,950,568,399.86 37.90% 归属于上市公司股东的 净利润（元） 1,580,707,286.38 1,126,550,627.36 1,138,817,830.60 38.80% 归属于上市公司股东的 扣除非经常性损益的净 利润（元） 1,570,173,959.13 1,072,494,911.14 1,084,759,113.07 44.75% 经营活动产生的现金流 量净额（元） -1,728,688,646.61 260,016,536.69 235,513,330.03 -834.01% 基本每股收益（元/股） 2.9613 2.1245 2",是,营业收入同比,上升,37.9,37.9,%,2025-Q1,正文给出了明确数值、口径与对应期间，可作为结构化经营事实抽取。,5,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
44,G3-B033,G3-E009,EVT-002594-00151,比亚迪,002594,新能源汽车,2024-11-02T00:00:00+08:00,2024年10月产销快报,http://static.cninfo.com.cn/finalpage/2024-11-02/1221604106.PDF,第1页,"比 本月 去年同期 本年累计 去年累计 累计同比 新能源汽车 536,134 307,014 3,297,044 2,419,749 36.26% 502,657 301,833 3,250,532 2,381,471 36.49% -乘用车 534,003 306,276 3,283,439 2,409,570 36.27% 500,526 301,095 3,236,927 2,371,350 36.50% -纯电动 206,499 169,855 1,379,347 1,240,452 11.20% 189,614 165,505 1,359,193 1,213,918 11.97% -插电式混合动力 327,504 136,421 1,904,092 1,169,118 62.87% 310,912 135,590 1,877,734 1,157,432 62.23% -商用车 2,131 738 13,605 10,1",是,销量或交付量同比,上升,36.49,36.49,%,2024-01至10,正文给出了明确数值、口径与对应期间，可作为结构化经营事实抽取。,5,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
45,G3-B019,G3-E089,EVT-603259-00012,药明康德,603259,医药,2024-01-30T00:00:00+08:00,关于对无锡药明康德新药开发股份有限公司股票交易异常波动问询函的回复,http://static.cninfo.com.cn/finalpage/2024-01-30/1219029800.PDF,第1页,关于对无锡药明康德新药开发股份有限公司 股票交易异常波动问询函的回复 无锡药明康德新药开发股份有限公司： 本人Ge Li（李革）于2024 年1 月29 日收到贵公司发来的《关 于公司股票异动情况的问询函》。,否,不适用,不适用,,,,,正文主要为治理、程序、研发审批或框架性披露，未提供可按既定事实类型抽取的新增经营数值及比较口径。,4,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
46,G3-B025,G3-E012,EVT-00175-00195,吉利汽车,00175,新能源汽车,2025-06-01T18:06:28+08:00,未经审核之二零二五年五月销量,http://static.cninfo.com.cn/finalpage/2025-06-01/1223738489.PDF,第1页,"發表任何聲明，並表明不會就因本公佈全部或任何部份內容而產生 或因倚賴該等內容而引致之任何損失承擔任何責任。 GEELY AUTOMOBILE HOLDINGS LIMITED ( 235,208 46 （部） （部） (%) （部） （部） (%) 吉利 188,670 120,264 57 971,279 620,320 57 其中: 銀河 101,845 27,288 273 458,186 135,289 239 極氪 18,908 18,616 2 74,038 67,764 9 領克 27,630 21,778 27 127,827 101,561 26 235,208 160,658 46 1,173,144 789,645 49 其中： 純電動(BEVs) 95,040 34,190 178 425,924 149,947 184 插電式混動(PHEVs) 42,981 24,483 76 176,860 104,",是,销量或交付量同比,上升,46,46,%,2025-05,正文给出了明确数值、口径与对应期间，可作为结构化经营事实抽取。,5,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
47,G3-B013,G3-E013,EVT-000538-00233,云南白药,000538,医药,2026-04-30T00:00:00+08:00,2026年一季度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225255634.PDF,第3页,"26 年第一季度报告 3 一、主要财务数据 （一） 主要会计数据和财务指标 公司是否需追溯调整或重述以前年度会计数据 □是 否 本报告期 上年同期 本报告期比上年同期增减（%） 营业收入（元） 11,602,596,895.18 10,841,237,721.29 7.02% 归属于上市公司股东的净利润（元） 2,037,306,990.13 1,934,639,584.60 5.31% 归属于上市公司股东的扣除非经常性损益 的净利润（元） 1,965,172,511.31 1,887,406,845.46 4.12% 经营活动产生的现金流量净额（元） 829,016,119.34 713,597,559.65 16.17% 基本每股收益（元/股） 1.14 1.08 5.56% 稀释每股收益（元/股） 1.14 1.08 5.56% 加权平均净资产收益率 4.96% 4.86% 增加 0.10 个百分点 本报告期末 上年度末",是,营业收入同比,上升,7.02,7.02,%,2026-Q1,正文给出了明确数值、口径与对应期间，可作为结构化经营事实抽取。,5,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
48,G3-B027,G3-E048,EVT-00175-00292,吉利汽车,00175,新能源汽车,2025-11-27T16:36:09+08:00,持续关连交易,http://static.cninfo.com.cn/finalpage/2025-11-27/1224830298.PDF,第1页,閣下對本通函任何部份內容或應採取之行動如有任何疑問，應諮詢 閣下之股票經紀或其他註 冊證券交易商、銀行經理、律師、專業會計師或其他專業顧問。,是,订单金额,上升,74,74,%,2026,正文明确披露2026年整车及整车成套件采购年度上限同比增加约74%，具有比较基准和年度，按订单金额上升抽取。,4,无,ADJ-CODEX-FIN-01,2026-08-26T16:23:44+08:00,adjudicated,final-gold-v3-20260826
49,G3-B036,G3-E120,EVT-09868-00021,小鹏汽车,09868,新能源汽车,2024-04-17T17:18:27+08:00,自愿公告 与大众汽车集团签订电子电气架构技术战略合作框架协议,http://static.cninfo.com.cn/finalpage/2024-04-17/1219647424.PDF,第1页,1 香港交易及結算所有限公司及香港聯合交易所有限公司對本公告之內容概不負責，對其準確性或完整性亦 不發表聲明，並明確表示概不會就本公告全部或任何部分內容而產生或因依賴該等內容而引致之任何損失 承擔任何責任。,否,不适用,不适用,,,,,正文主要为治理、程序、研发审批或框架性披露，未提供可按既定事实类型抽取的新增经营数值及比较口径。,4,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
50,G3-B045,G3-E114,EVT-002371-00007,北方华创,002371,芯片半导体,2024-01-16T00:00:00+08:00,2023年度业绩预告,http://static.cninfo.com.cn/finalpage/2024-01-16/1218892163.PDF,第1页,"1 日-2023 年 12 月 31 日 2.预计的经营业绩：□扭亏为盈 √同向上升 □同向下降 项 目 2023 年 1 月 1 日-2023 年 12 月 31 日 上年同期 营业收入 2,097,000 万元-2,310,000 万元 1,468,811.20 万元 比上年同期增长：42.77%-57.27% 归属于上市公司 股东的净利润 盈利：361,000 万元-415,000 万元 盈利：235,272.67 万元 比上年同期增长：53.44%-76.39% 扣除非经常性损 益后的净利润 盈利：330,000 万元-380,000 万元 盈利：210,606.64 万元 比上年同期增长：56.69%-80.43% 基本每股收益 盈利：6.8164 元/股-7.8361 元/股 盈利：4.4612 元/股 二、与会计师事务所沟通情况 1.公司就业绩预告有关重大事项与会计师事务所进行了预沟通，公司与会计 师事务所在业绩预",是,营业收入同比,上升,42.77,57.27,%,2023,业绩预告表中42.77%-57.27%对应营业收入同比增幅，而非归母净利润；A对字段与原表口径的对应关系正确。,5,无,ADJ-CODEX-FIN-01,2026-08-26T16:23:44+08:00,adjudicated,final-gold-v3-20260826
51,G3-B050,G3-E100,EVT-603986-00478,兆易创新,603986,芯片半导体,2026-05-27T00:00:00+08:00,兆易创新关于调整2024年股票期权激励计划相关事项的公告,http://static.cninfo.com.cn/finalpage/2026-05-27/1225331853.PDF,第1页,兆易创新科技集团股份有限公司（以下简称“公司”）于 2026年 5月 26 日召开的第五届董事会第十二次会议审议通过《关于调整 2024年股票期权激励 计划相关事项的议案》，现将有关事项说明如下： 一、2024 年股票期权激励计划已履行的相关审批程序 1．2024年 4月 18日，公司第四届董事会第十八次会议审议通过了《关于< 兆易创新科技集团股份有限公司 2024年股票期权激励计划（草案）>及其摘要的 议案》《关于<兆易创新科技集团股份有限公司 2024年股票期权激励计划实施考 核管理办法>的议案》《关于提请股东…,否,不适用,不适用,,,,,正文主要为治理、程序、研发审批或框架性披露，未提供可按既定事实类型抽取的新增经营数值及比较口径。,4,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
52,G3-B020,G3-E083,EVT-000538-00051,云南白药,000538,医药,2024-05-11T00:00:00+08:00,关于氟比洛芬凝胶贴膏获得药物临床试验批准的公告,http://static.cninfo.com.cn/finalpage/2024-05-11/1220033851.PDF,第1页,云南白药集团股份有限公司（以下简称“公司”）全资子公司云南白药集团 无锡药业有限公司于近日收到国家药品监督管理局下发的 《药物临床试验批准 通知书》 （通知书编号：2024LP00886），经审查，同意氟比洛芬凝胶贴膏（以 下简称“该产品”）开展镇痛的临床试验。,是,其他,无法判断,450,450,万元,截至2024-05,正文明确披露氟比洛芬凝胶贴膏已投入研发费用约450万元，属于可复核的其他金额事实；未提供比较口径。,4,无,ADJ-CODEX-FIN-01,2026-08-26T16:23:44+08:00,adjudicated,final-gold-v3-20260826
53,G3-B016,G3-E075,EVT-603259-00470,药明康德,603259,医药,2026-04-28T00:00:00+08:00,2026年第一季度报告,http://static.cninfo.com.cn/finalpage/2026-04-28/1225200544.PDF,第2页,"客户从药物发现、开发 到生产的服务需求。 一、主要财务数据 （一）主要会计数据和财务指标 单位：元 币种：人民币 项目 本报告期 上年同期 本报告期比上年同 期增减变动幅度(%) 营业收入 12,435,776,568.29 9,654,595,304.28 28.81 利润总额 5,607,280,256.21 4,279,893,550.88 31.01 归属于上市公司股东的净利润 4,651,517,987.76 3,671,960,950.47 26.68 归属于上市公司股东的扣除非 经常性损益的净利润 4,275,624,429.82 2,329,266,627.00 83.56 经营活动产生的现金流量净额 3,595,810,326.53 3,195,429,861.72 12.53 基本每股收益（元/股） 1.59 1.29 23.26 稀释每股收益（元/股） 1.58 1.28 23.44 加权平均净资产收益率（",是,营业收入同比,上升,28.81,28.81,%,2026-Q1,正文给出了明确数值、口径与对应期间，可作为结构化经营事实抽取。,5,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
54,G3-B032,G3-E098,EVT-00175-00007,吉利汽车,00175,新能源汽车,2024-02-01T17:06:22+08:00,未经审核之二零二四年一月销量,http://static.cninfo.com.cn/finalpage/2024-02-01/1219065223.PDF,第1页,"LE HOLDINGS LIMITED 未經審核之二零二四年一月銷量 吉利汽車控股有限公司(「本公司」，連同其附屬公司統稱為「本集團」）董事會欣然宣佈， 本集團於二零二四 年一月之總銷量為213,487 部汽車，較去年同期增長約 110%，為本集團 歷史新高。詳細如下： 品牌 本月 （部） 去年同期 （部） 同比變動 (%) 今年累計 （部） 去年同期累計 （部） 同比變動 (%) 吉利 172,774 87,255 98 172,774 87,255 98 其中：銀河 19,223 - - 19,223 - - 極氪 12,537 3,116 302 12,537 3,116 302 領克附註1 28,176 11,066 155 28,176 11,066 155 合計 213,487 101,437 110 213,487 101,437 110 其中： 純電動(BEVs） 36,317 8,941 306 36,317",是,销量或交付量同比,上升,110,110,%,2024-01,正文给出了明确数值、口径与对应期间，可作为结构化经营事实抽取。,5,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
