序号,样本ID,公司,证券代码,行业,市场,披露时间,时间精度,公告标题,原文链接,核心观点,H1-需求与出货,H2-盈利质量,H3-产能与扩张,事件摘要,事件类别,主要关联假设,影响方向,影响强度,直接性,关键证据原文,判断理由,置信度,数据问题,标注人ID,标注时间
53,G3-E011,恒瑞医药,600276,医药,A股,2024-04-18T00:00:00+08:00,仅日期（按盘后处理）,恒瑞医药2023年年度报告,http://static.cninfo.com.cn/finalpage/2024-04-18/1219650115.PDF,创新药转型期，创新药放量与对外授权接续仿制药集采缺口，毛利率高但集采与研发成败是关键观察点,创新药放量与授权合作收入接续仿制药集采下滑，研发管线持续推进,创新药占比提升支撑高毛利率，集采降价不导致盈利持续恶化,研发投入强度维持，管线推进不出现关键品种研发失败,,,,,,,,,,,,
54,G3-E046,中芯国际,688981,芯片半导体,A股,2026-06-25T00:00:00+08:00,仅日期（按盘后处理）,中芯国际关于股东权益变动的提示性公告,http://static.cninfo.com.cn/finalpage/2026-06-25/1225386191.PDF,成熟制程代工龙头，国产替代与产能利用率回升支撑收入，折旧与价格压力是盈利的主要观察点,成熟制程产能利用率与晶圆出货保持增长，国产替代需求是主要驱动,毛利率随产能利用率回升，折旧压力不导致盈利持续恶化,资本开支与扩产节奏匹配下游需求，先进制程投入不出现大额减值,,,,,,,,,,,,
55,G3-E089,药明康德,603259,医药,A股,2024-01-30T00:00:00+08:00,仅日期（按盘后处理）,关于对无锡药明康德新药开发股份有限公司股票交易异常波动问询函的回复,http://static.cninfo.com.cn/finalpage/2024-01-30/1219029800.PDF,全球医药研发外包龙头，订单随创新药投入周期波动，地缘政治与产能利用率是核心风险点,CXO 订单与在手订单随全球创新药研发投入回暖恢复增长,产能利用率与项目结构支撑毛利率，不因价格竞争持续走低,新增产能与地缘政治风险可控，海外基地建设按计划推进,,,,,,,,,,,,
56,G3-E105,云南白药,000538,医药,A股,2025-06-18T00:00:00+08:00,仅日期（按盘后处理）,2025-20 关于JZ-14胶囊获得药物临床试验批准的公告,http://static.cninfo.com.cn/finalpage/2025-06-18/1223899598.PDF,中药与健康消费品，增长平稳，毛利率与渠道结构是主要观察点，历史上曾因证券投资造成业绩波动,工业药品与健康品渠道保持稳定，不出现持续负增长,毛利率随产品结构与原料成本波动，不持续低于历史区间,渠道与品牌投入保持，不出现商誉或投资大额减值,,,,,,,,,,,,
57,G3-E055,小鹏汽车,09868,新能源汽车,港股,2024-08-13T20:06:10+08:00,精确,自愿公告 – 收购滴滴智能汽车开发业务资产的SOP交割及发行SOP对价股份,http://static.cninfo.com.cn/finalpage/2024-08-13/1220863060.PDF,新势力整车厂，交付量与车型周期决定收入，毛利率从负值修复中，盈利质量仍是主要风险。港股仅披露中报与年报，季度颗粒度不足,智能车交付量保持增长，新车型周期带动需求回升,毛利率随规模与技术服务收入改善，不回落到历史低位,研发与产能投入可持续，现金流不出现明显恶化,,,,,,,,,,,,
58,G3-E099,云南白药,000538,医药,A股,2026-06-04T00:00:00+08:00,仅日期（按盘后处理）,关于INB301注射液获得美国食品药品监督管理局新药临床试验许可的公告,http://static.cninfo.com.cn/finalpage/2026-06-04/1225349158.PDF,中药与健康消费品，增长平稳，毛利率与渠道结构是主要观察点，历史上曾因证券投资造成业绩波动,工业药品与健康品渠道保持稳定，不出现持续负增长,毛利率随产品结构与原料成本波动，不持续低于历史区间,渠道与品牌投入保持，不出现商誉或投资大额减值,,,,,,,,,,,,
59,G3-E043,中芯国际,688981,芯片半导体,A股,2026-05-15T00:00:00+08:00,仅日期（按盘后处理）,中芯国际2026年第一季度报告,http://static.cninfo.com.cn/finalpage/2026-05-15/1225307101.PDF,成熟制程代工龙头，国产替代与产能利用率回升支撑收入，折旧与价格压力是盈利的主要观察点,成熟制程产能利用率与晶圆出货保持增长，国产替代需求是主要驱动,毛利率随产能利用率回升，折旧压力不导致盈利持续恶化,资本开支与扩产节奏匹配下游需求，先进制程投入不出现大额减值,,,,,,,,,,,,
60,G3-E003,兆易创新,603986,芯片半导体,A股,2026-07-22T00:00:00+08:00,仅日期（按盘后处理）,中国国际金融股份有限公司关于兆易创新科技集团股份有限公司使用A股部分募集资金向全资子公司增资以实施DRAM募投项目的核查意见,http://static.cninfo.com.cn/finalpage/2026-07-22/1225435926.PDF,存储与 MCU 设计商，需求随下游复苏与库存去化回升，毛利率对存储价格周期高度敏感，需跟踪产品结构,存储与 MCU 需求随消费电子与工业复苏回升，库存周期见底,毛利率随产品结构改善回升，不因存储价格波动持续走低,新品研发与产能储备按计划推进，不出现存货大额跌价,,,,,,,,,,,,
61,G3-E058,北方华创,002371,芯片半导体,A股,2025-04-26T00:00:00+08:00,仅日期（按盘后处理）,2025年一季度报告,http://static.cninfo.com.cn/finalpage/2025-04-26/1223309242.PDF,前道设备国产化核心标的，晶圆厂扩产与国产化率提升支撑订单与收入，需跟踪毛利率与交付节奏,半导体设备订单随晶圆厂扩产与国产化率提升保持增长,规模效应与国产化推进支撑毛利率，不因竞争加剧显著下滑,产能与交付能力跟上订单增长，合同负债转化不出现明显滞后,,,,,,,,,,,,
62,G3-E070,恒瑞医药,600276,医药,A股,2024-04-10T00:00:00+08:00,仅日期（按盘后处理）,恒瑞医药关于获得药物临床试验批准通知书的公告,http://static.cninfo.com.cn/finalpage/2024-04-10/1219549275.PDF,创新药转型期，创新药放量与对外授权接续仿制药集采缺口，毛利率高但集采与研发成败是关键观察点,创新药放量与授权合作收入接续仿制药集采下滑，研发管线持续推进,创新药占比提升支撑高毛利率，集采降价不导致盈利持续恶化,研发投入强度维持，管线推进不出现关键品种研发失败,,,,,,,,,,,,
63,G3-E041,云南白药,000538,医药,A股,2025-12-31T18:54:32+08:00,精确,关于2026年度预计日常关联交易的公告,http://static.cninfo.com.cn/finalpage/2025-12-31/1224913542.PDF,中药与健康消费品，增长平稳，毛利率与渠道结构是主要观察点，历史上曾因证券投资造成业绩波动,工业药品与健康品渠道保持稳定，不出现持续负增长,毛利率随产品结构与原料成本波动，不持续低于历史区间,渠道与品牌投入保持，不出现商誉或投资大额减值,,,,,,,,,,,,
64,G3-E007,药明康德,603259,医药,A股,2024-03-19T00:00:00+08:00,仅日期（按盘后处理）,关于募集资金存放与实际使用情况的专项报告及审核报告（截至2023年12月31日止）,http://static.cninfo.com.cn/finalpage/2024-03-19/1219331371.PDF,全球医药研发外包龙头，订单随创新药投入周期波动，地缘政治与产能利用率是核心风险点,CXO 订单与在手订单随全球创新药研发投入回暖恢复增长,产能利用率与项目结构支撑毛利率，不因价格竞争持续走低,新增产能与地缘政治风险可控，海外基地建设按计划推进,,,,,,,,,,,,
65,G3-E045,恒瑞医药,600276,医药,A股,2026-01-08T00:00:00+08:00,仅日期（按盘后处理）,恒瑞医药关于获得药品注册批准的公告,http://static.cninfo.com.cn/finalpage/2026-01-08/1224923160.PDF,创新药转型期，创新药放量与对外授权接续仿制药集采缺口，毛利率高但集采与研发成败是关键观察点,创新药放量与授权合作收入接续仿制药集采下滑，研发管线持续推进,创新药占比提升支撑高毛利率，集采降价不导致盈利持续恶化,研发投入强度维持，管线推进不出现关键品种研发失败,,,,,,,,,,,,
66,G3-E048,吉利汽车,00175,新能源汽车,港股,2025-11-27T16:36:09+08:00,精确,持续关连交易,http://static.cninfo.com.cn/finalpage/2025-11-27/1224830298.PDF,新能源转型见效，销量与出口双增长支撑收入，平台整合与毛利率改善是核心观察点。港股披露频率低于 A 股,新能源车型销量放量带动整体销量增长，出口贡献增量,平台化与规模效应改善毛利率，新能源转型不持续拖累盈利,品牌与平台整合按计划推进，不出现大额整合损失,,,,,,,,,,,,
67,G3-E023,兆易创新,603986,芯片半导体,A股,2025-10-29T00:00:00+08:00,仅日期（按盘后处理）,兆易创新第五届董事会第六次会议决议公告,http://static.cninfo.com.cn/finalpage/2025-10-29/1224754268.PDF,存储与 MCU 设计商，需求随下游复苏与库存去化回升，毛利率对存储价格周期高度敏感，需跟踪产品结构,存储与 MCU 需求随消费电子与工业复苏回升，库存周期见底,毛利率随产品结构改善回升，不因存储价格波动持续走低,新品研发与产能储备按计划推进，不出现存货大额跌价,,,,,,,,,,,,
68,G3-E032,中芯国际,688981,芯片半导体,A股,2025-08-05T00:00:00+08:00,仅日期（按盘后处理）,华夏上证科创板50成份交易型开放式指数证券投资基金关于所持中芯国际集成电路制造有限公司境内股票变动的提示性公告,http://static.cninfo.com.cn/finalpage/2025-08-05/1224386813.PDF,成熟制程代工龙头，国产替代与产能利用率回升支撑收入，折旧与价格压力是盈利的主要观察点,成熟制程产能利用率与晶圆出货保持增长，国产替代需求是主要驱动,毛利率随产能利用率回升，折旧压力不导致盈利持续恶化,资本开支与扩产节奏匹配下游需求，先进制程投入不出现大额减值,,,,,,,,,,,,
69,G3-E028,小鹏汽车,09868,新能源汽车,港股,2026-01-01T18:52:07+08:00,精确,自愿公告2025年12 月及第四季度智能车交付数据,http://static.cninfo.com.cn/finalpage/2026-01-01/1224915704.PDF,新势力整车厂，交付量与车型周期决定收入，毛利率从负值修复中，盈利质量仍是主要风险。港股仅披露中报与年报，季度颗粒度不足,智能车交付量保持增长，新车型周期带动需求回升,毛利率随规模与技术服务收入改善，不回落到历史低位,研发与产能投入可持续，现金流不出现明显恶化,,,,,,,,,,,,
70,G3-E062,吉利汽车,00175,新能源汽车,港股,2025-10-06T23:59:59+08:00,精确,翌日披露报表,http://static.cninfo.com.cn/finalpage/2025-10-06/1224700096.PDF,新能源转型见效，销量与出口双增长支撑收入，平台整合与毛利率改善是核心观察点。港股披露频率低于 A 股,新能源车型销量放量带动整体销量增长，出口贡献增量,平台化与规模效应改善毛利率，新能源转型不持续拖累盈利,品牌与平台整合按计划推进，不出现大额整合损失,,,,,,,,,,,,
71,G3-E092,比亚迪,002594,新能源汽车,A股,2024-01-30T00:00:00+08:00,仅日期（按盘后处理）,2023年度业绩预告,http://static.cninfo.com.cn/finalpage/2024-01-30/1219028933.PDF,新能源汽车销量与出口结构改善支撑收入，垂直一体化对冲价格战，需跟踪毛利率与海外扩张落地,新能源汽车销量保持增长，出口占比提升对冲国内价格压力,规模效应与垂直一体化维持毛利率，价格战不导致盈利持续恶化,海外工厂与产能扩张按计划落地，不出现大额投资减值,,,,,,,,,,,,
72,G3-E075,药明康德,603259,医药,A股,2026-04-28T00:00:00+08:00,仅日期（按盘后处理）,2026年第一季度报告,http://static.cninfo.com.cn/finalpage/2026-04-28/1225200544.PDF,全球医药研发外包龙头，订单随创新药投入周期波动，地缘政治与产能利用率是核心风险点,CXO 订单与在手订单随全球创新药研发投入回暖恢复增长,产能利用率与项目结构支撑毛利率，不因价格竞争持续走低,新增产能与地缘政治风险可控，海外基地建设按计划推进,,,,,,,,,,,,
73,G3-E103,恒瑞医药,600276,医药,A股,2025-07-18T00:00:00+08:00,仅日期（按盘后处理）,恒瑞医药关于获得药物临床试验批准通知书的公告,http://static.cninfo.com.cn/finalpage/2025-07-18/1224202262.PDF,创新药转型期，创新药放量与对外授权接续仿制药集采缺口，毛利率高但集采与研发成败是关键观察点,创新药放量与授权合作收入接续仿制药集采下滑，研发管线持续推进,创新药占比提升支撑高毛利率，集采降价不导致盈利持续恶化,研发投入强度维持，管线推进不出现关键品种研发失败,,,,,,,,,,,,
74,G3-E113,比亚迪,002594,新能源汽车,A股,2025-11-03T00:00:00+08:00,仅日期（按盘后处理）,2025年10月产销快报,http://static.cninfo.com.cn/finalpage/2025-11-03/1224781922.PDF,新能源汽车销量与出口结构改善支撑收入，垂直一体化对冲价格战，需跟踪毛利率与海外扩张落地,新能源汽车销量保持增长，出口占比提升对冲国内价格压力,规模效应与垂直一体化维持毛利率，价格战不导致盈利持续恶化,海外工厂与产能扩张按计划落地，不出现大额投资减值,,,,,,,,,,,,
75,G3-E031,药明康德,603259,医药,A股,2024-01-03T00:00:00+08:00,仅日期（按盘后处理）,关于2019年限制性股票与股票期权激励计划首次授予股票期权2023年第四季度自主行权结果暨股份变动公告,http://static.cninfo.com.cn/finalpage/2024-01-03/1218791594.PDF,全球医药研发外包龙头，订单随创新药投入周期波动，地缘政治与产能利用率是核心风险点,CXO 订单与在手订单随全球创新药研发投入回暖恢复增长,产能利用率与项目结构支撑毛利率，不因价格竞争持续走低,新增产能与地缘政治风险可控，海外基地建设按计划推进,,,,,,,,,,,,
76,G3-E057,云南白药,000538,医药,A股,2026-04-01T00:00:00+08:00,仅日期（按盘后处理）,云南白药集团股份有限公司董事和高级管理人员所持公司股份及其变动管理制度,http://static.cninfo.com.cn/finalpage/2026-04-01/1225067998.PDF,中药与健康消费品，增长平稳，毛利率与渠道结构是主要观察点，历史上曾因证券投资造成业绩波动,工业药品与健康品渠道保持稳定，不出现持续负增长,毛利率随产品结构与原料成本波动，不持续低于历史区间,渠道与品牌投入保持，不出现商誉或投资大额减值,,,,,,,,,,,,
77,G3-E100,兆易创新,603986,芯片半导体,A股,2026-05-27T00:00:00+08:00,仅日期（按盘后处理）,兆易创新关于调整2024年股票期权激励计划相关事项的公告,http://static.cninfo.com.cn/finalpage/2026-05-27/1225331853.PDF,存储与 MCU 设计商，需求随下游复苏与库存去化回升，毛利率对存储价格周期高度敏感，需跟踪产品结构,存储与 MCU 需求随消费电子与工业复苏回升，库存周期见底,毛利率随产品结构改善回升，不因存储价格波动持续走低,新品研发与产能储备按计划推进，不出现存货大额跌价,,,,,,,,,,,,
78,G3-E059,北方华创,002371,芯片半导体,A股,2025-10-31T00:00:00+08:00,仅日期（按盘后处理）,募集资金管理办法（2025年10月),http://static.cninfo.com.cn/finalpage/2025-10-31/1224774330.PDF,前道设备国产化核心标的，晶圆厂扩产与国产化率提升支撑订单与收入，需跟踪毛利率与交付节奏,半导体设备订单随晶圆厂扩产与国产化率提升保持增长,规模效应与国产化推进支撑毛利率，不因竞争加剧显著下滑,产能与交付能力跟上订单增长，合同负债转化不出现明显滞后,,,,,,,,,,,,
79,G3-E076,小鹏汽车,09868,新能源汽车,港股,2026-03-27T17:18:11+08:00,精确,中文名称（仅供识别）及中文股份简称变更,http://static.cninfo.com.cn/finalpage/2026-03-27/1225040659.PDF,新势力整车厂，交付量与车型周期决定收入，毛利率从负值修复中，盈利质量仍是主要风险。港股仅披露中报与年报，季度颗粒度不足,智能车交付量保持增长，新车型周期带动需求回升,毛利率随规模与技术服务收入改善，不回落到历史低位,研发与产能投入可持续，现金流不出现明显恶化,,,,,,,,,,,,
80,G3-E069,北方华创,002371,芯片半导体,A股,2024-02-29T00:00:00+08:00,仅日期（按盘后处理）,关于2019年股票期权与限制性股票激励计划第三个行权期采用自主行权模式的提示性公告,http://static.cninfo.com.cn/finalpage/2024-02-29/1219208962.PDF,前道设备国产化核心标的，晶圆厂扩产与国产化率提升支撑订单与收入，需跟踪毛利率与交付节奏,半导体设备订单随晶圆厂扩产与国产化率提升保持增长,规模效应与国产化推进支撑毛利率，不因竞争加剧显著下滑,产能与交付能力跟上订单增长，合同负债转化不出现明显滞后,,,,,,,,,,,,
81,G3-E102,恒瑞医药,600276,医药,A股,2026-04-23T00:00:00+08:00,仅日期（按盘后处理）,恒瑞医药2026年第一季度报告,http://static.cninfo.com.cn/finalpage/2026-04-23/1225145521.PDF,创新药转型期，创新药放量与对外授权接续仿制药集采缺口，毛利率高但集采与研发成败是关键观察点,创新药放量与授权合作收入接续仿制药集采下滑，研发管线持续推进,创新药占比提升支撑高毛利率，集采降价不导致盈利持续恶化,研发投入强度维持，管线推进不出现关键品种研发失败,,,,,,,,,,,,
82,G3-E025,恒瑞医药,600276,医药,A股,2025-03-31T00:00:00+08:00,仅日期（按盘后处理）,恒瑞医药2024年年度报告,http://static.cninfo.com.cn/finalpage/2025-03-31/1222961962.PDF,创新药转型期，创新药放量与对外授权接续仿制药集采缺口，毛利率高但集采与研发成败是关键观察点,创新药放量与授权合作收入接续仿制药集采下滑，研发管线持续推进,创新药占比提升支撑高毛利率，集采降价不导致盈利持续恶化,研发投入强度维持，管线推进不出现关键品种研发失败,,,,,,,,,,,,
83,G3-E020,云南白药,000538,医药,A股,2026-02-11T00:00:00+08:00,仅日期（按盘后处理）,关于聘任中药战略科学家、首席科学家的自愿性信息披露公告,http://static.cninfo.com.cn/finalpage/2026-02-11/1224975081.PDF,中药与健康消费品，增长平稳，毛利率与渠道结构是主要观察点，历史上曾因证券投资造成业绩波动,工业药品与健康品渠道保持稳定，不出现持续负增长,毛利率随产品结构与原料成本波动，不持续低于历史区间,渠道与品牌投入保持，不出现商誉或投资大额减值,,,,,,,,,,,,
84,G3-E006,小鹏汽车,09868,新能源汽车,港股,2026-04-23T20:48:07+08:00,精确,股东周年大会登记日期,http://static.cninfo.com.cn/finalpage/2026-04-23/1225172357.PDF,新势力整车厂，交付量与车型周期决定收入，毛利率从负值修复中，盈利质量仍是主要风险。港股仅披露中报与年报，季度颗粒度不足,智能车交付量保持增长，新车型周期带动需求回升,毛利率随规模与技术服务收入改善，不回落到历史低位,研发与产能投入可持续，现金流不出现明显恶化,,,,,,,,,,,,
85,G3-E051,中芯国际,688981,芯片半导体,A股,2026-05-13T00:00:00+08:00,仅日期（按盘后处理）,中芯国际集成电路制造有限公司关于发行股份购买资产暨关联交易报告书修订说明的公告,http://static.cninfo.com.cn/finalpage/2026-05-13/1225300706.PDF,成熟制程代工龙头，国产替代与产能利用率回升支撑收入，折旧与价格压力是盈利的主要观察点,成熟制程产能利用率与晶圆出货保持增长，国产替代需求是主要驱动,毛利率随产能利用率回升，折旧压力不导致盈利持续恶化,资本开支与扩产节奏匹配下游需求，先进制程投入不出现大额减值,,,,,,,,,,,,
86,G3-E095,北方华创,002371,芯片半导体,A股,2025-02-18T00:00:00+08:00,仅日期（按盘后处理）,关于向全资子公司增资并参与设立北京集成电路装备产业投资并购二期基金暨关联交易的进展公告,http://static.cninfo.com.cn/finalpage/2025-02-18/1222558599.PDF,前道设备国产化核心标的，晶圆厂扩产与国产化率提升支撑订单与收入，需跟踪毛利率与交付节奏,半导体设备订单随晶圆厂扩产与国产化率提升保持增长,规模效应与国产化推进支撑毛利率，不因竞争加剧显著下滑,产能与交付能力跟上订单增长，合同负债转化不出现明显滞后,,,,,,,,,,,,
87,G3-E017,北方华创,002371,芯片半导体,A股,2024-04-30T00:00:00+08:00,仅日期（按盘后处理）,关于公司2024年度日常关联交易预计的公告,http://static.cninfo.com.cn/finalpage/2024-04-30/1219908871.PDF,前道设备国产化核心标的，晶圆厂扩产与国产化率提升支撑订单与收入，需跟踪毛利率与交付节奏,半导体设备订单随晶圆厂扩产与国产化率提升保持增长,规模效应与国产化推进支撑毛利率，不因竞争加剧显著下滑,产能与交付能力跟上订单增长，合同负债转化不出现明显滞后,,,,,,,,,,,,
88,G3-E098,吉利汽车,00175,新能源汽车,港股,2024-02-01T17:06:22+08:00,精确,未经审核之二零二四年一月销量,http://static.cninfo.com.cn/finalpage/2024-02-01/1219065223.PDF,新能源转型见效，销量与出口双增长支撑收入，平台整合与毛利率改善是核心观察点。港股披露频率低于 A 股,新能源车型销量放量带动整体销量增长，出口贡献增量,平台化与规模效应改善毛利率，新能源转型不持续拖累盈利,品牌与平台整合按计划推进，不出现大额整合损失,,,,,,,,,,,,
89,G3-E004,兆易创新,603986,芯片半导体,A股,2026-07-30T00:00:00+08:00,仅日期（按盘后处理）,兆易创新股东增持股份计划公告,http://static.cninfo.com.cn/finalpage/2026-07-30/1225447344.PDF,存储与 MCU 设计商，需求随下游复苏与库存去化回升，毛利率对存储价格周期高度敏感，需跟踪产品结构,存储与 MCU 需求随消费电子与工业复苏回升，库存周期见底,毛利率随产品结构改善回升，不因存储价格波动持续走低,新品研发与产能储备按计划推进，不出现存货大额跌价,,,,,,,,,,,,
90,G3-E112,药明康德,603259,医药,A股,2025-09-03T00:00:00+08:00,仅日期（按盘后处理）,关于与关联方签署框架协议暨日常关联交易的公告,http://static.cninfo.com.cn/finalpage/2025-09-03/1224634480.PDF,全球医药研发外包龙头，订单随创新药投入周期波动，地缘政治与产能利用率是核心风险点,CXO 订单与在手订单随全球创新药研发投入回暖恢复增长,产能利用率与项目结构支撑毛利率，不因价格竞争持续走低,新增产能与地缘政治风险可控，海外基地建设按计划推进,,,,,,,,,,,,
91,G3-E071,兆易创新,603986,芯片半导体,A股,2025-04-26T00:00:00+08:00,仅日期（按盘后处理）,兆易创新关于使用闲置募集资金进行现金管理的公告,http://static.cninfo.com.cn/finalpage/2025-04-26/1223305106.PDF,存储与 MCU 设计商，需求随下游复苏与库存去化回升，毛利率对存储价格周期高度敏感，需跟踪产品结构,存储与 MCU 需求随消费电子与工业复苏回升，库存周期见底,毛利率随产品结构改善回升，不因存储价格波动持续走低,新品研发与产能储备按计划推进，不出现存货大额跌价,,,,,,,,,,,,
92,G3-E074,北方华创,002371,芯片半导体,A股,2025-10-18T00:00:00+08:00,仅日期（按盘后处理）,关于归还暂时补充流动资金的闲置募集资金的公告,http://static.cninfo.com.cn/finalpage/2025-10-18/1224718261.PDF,前道设备国产化核心标的，晶圆厂扩产与国产化率提升支撑订单与收入，需跟踪毛利率与交付节奏,半导体设备订单随晶圆厂扩产与国产化率提升保持增长,规模效应与国产化推进支撑毛利率，不因竞争加剧显著下滑,产能与交付能力跟上订单增长，合同负债转化不出现明显滞后,,,,,,,,,,,,
93,G3-E061,中芯国际,688981,芯片半导体,A股,2026-04-09T00:00:00+08:00,仅日期（按盘后处理）,港股公告：2025年年报,http://static.cninfo.com.cn/finalpage/2026-04-09/1225084819.PDF,成熟制程代工龙头，国产替代与产能利用率回升支撑收入，折旧与价格压力是盈利的主要观察点,成熟制程产能利用率与晶圆出货保持增长，国产替代需求是主要驱动,毛利率随产能利用率回升，折旧压力不导致盈利持续恶化,资本开支与扩产节奏匹配下游需求，先进制程投入不出现大额减值,,,,,,,,,,,,
94,G3-E091,药明康德,603259,医药,A股,2026-03-24T00:00:00+08:00,仅日期（按盘后处理）,关于2025年度计提资产减值准备的公告,http://static.cninfo.com.cn/finalpage/2026-03-24/1225025227.PDF,全球医药研发外包龙头，订单随创新药投入周期波动，地缘政治与产能利用率是核心风险点,CXO 订单与在手订单随全球创新药研发投入回暖恢复增长,产能利用率与项目结构支撑毛利率，不因价格竞争持续走低,新增产能与地缘政治风险可控，海外基地建设按计划推进,,,,,,,,,,,,
95,G3-E104,北方华创,002371,芯片半导体,A股,2024-10-30T00:00:00+08:00,仅日期（按盘后处理）,2024年三季度报告,http://static.cninfo.com.cn/finalpage/2024-10-30/1221555085.PDF,前道设备国产化核心标的，晶圆厂扩产与国产化率提升支撑订单与收入，需跟踪毛利率与交付节奏,半导体设备订单随晶圆厂扩产与国产化率提升保持增长,规模效应与国产化推进支撑毛利率，不因竞争加剧显著下滑,产能与交付能力跟上订单增长，合同负债转化不出现明显滞后,,,,,,,,,,,,
96,G3-E060,比亚迪,002594,新能源汽车,A股,2024-12-02T00:00:00+08:00,仅日期（按盘后处理）,2024年11月产销快报,http://static.cninfo.com.cn/finalpage/2024-12-02/1221902564.PDF,新能源汽车销量与出口结构改善支撑收入，垂直一体化对冲价格战，需跟踪毛利率与海外扩张落地,新能源汽车销量保持增长，出口占比提升对冲国内价格压力,规模效应与垂直一体化维持毛利率，价格战不导致盈利持续恶化,海外工厂与产能扩张按计划落地，不出现大额投资减值,,,,,,,,,,,,
97,G3-E042,兆易创新,603986,芯片半导体,A股,2026-06-17T00:00:00+08:00,仅日期（按盘后处理）,兆易创新关于2024年股票期权激励计划第二个行权期行权结果暨股份过户登记及上市的公告,http://static.cninfo.com.cn/finalpage/2026-06-17/1225373802.PDF,存储与 MCU 设计商，需求随下游复苏与库存去化回升，毛利率对存储价格周期高度敏感，需跟踪产品结构,存储与 MCU 需求随消费电子与工业复苏回升，库存周期见底,毛利率随产品结构改善回升，不因存储价格波动持续走低,新品研发与产能储备按计划推进，不出现存货大额跌价,,,,,,,,,,,,
98,G3-E052,恒瑞医药,600276,医药,A股,2025-03-17T00:00:00+08:00,仅日期（按盘后处理）,恒瑞医药关于获得药品注册证书的公告,http://static.cninfo.com.cn/finalpage/2025-03-17/1222816001.PDF,创新药转型期，创新药放量与对外授权接续仿制药集采缺口，毛利率高但集采与研发成败是关键观察点,创新药放量与授权合作收入接续仿制药集采下滑，研发管线持续推进,创新药占比提升支撑高毛利率，集采降价不导致盈利持续恶化,研发投入强度维持，管线推进不出现关键品种研发失败,,,,,,,,,,,,
99,G3-E090,中芯国际,688981,芯片半导体,A股,2026-01-28T00:00:00+08:00,仅日期（按盘后处理）,中芯国际关于召开2025年第四季度业绩说明会的预告公告,http://static.cninfo.com.cn/finalpage/2026-01-28/1224952956.PDF,成熟制程代工龙头，国产替代与产能利用率回升支撑收入，折旧与价格压力是盈利的主要观察点,成熟制程产能利用率与晶圆出货保持增长，国产替代需求是主要驱动,毛利率随产能利用率回升，折旧压力不导致盈利持续恶化,资本开支与扩产节奏匹配下游需求，先进制程投入不出现大额减值,,,,,,,,,,,,
100,G3-E106,小鹏汽车,09868,新能源汽车,港股,2026-03-05T17:34:11+08:00,精确,董事会会议通告,http://static.cninfo.com.cn/finalpage/2026-03-05/1224997456.PDF,新势力整车厂，交付量与车型周期决定收入，毛利率从负值修复中，盈利质量仍是主要风险。港股仅披露中报与年报，季度颗粒度不足,智能车交付量保持增长，新车型周期带动需求回升,毛利率随规模与技术服务收入改善，不回落到历史低位,研发与产能投入可持续，现金流不出现明显恶化,,,,,,,,,,,,
101,G3-E120,小鹏汽车,09868,新能源汽车,港股,2024-04-17T17:18:27+08:00,精确,自愿公告 与大众汽车集团签订电子电气架构技术战略合作框架协议,http://static.cninfo.com.cn/finalpage/2024-04-17/1219647424.PDF,新势力整车厂，交付量与车型周期决定收入，毛利率从负值修复中，盈利质量仍是主要风险。港股仅披露中报与年报，季度颗粒度不足,智能车交付量保持增长，新车型周期带动需求回升,毛利率随规模与技术服务收入改善，不回落到历史低位,研发与产能投入可持续，现金流不出现明显恶化,,,,,,,,,,,,
102,G3-E016,吉利汽车,00175,新能源汽车,港股,2025-10-01T23:59:59+08:00,精确,未经审核之二零二五年九月销量,http://static.cninfo.com.cn/finalpage/2025-10-01/1224697779.PDF,新能源转型见效，销量与出口双增长支撑收入，平台整合与毛利率改善是核心观察点。港股披露频率低于 A 股,新能源车型销量放量带动整体销量增长，出口贡献增量,平台化与规模效应改善毛利率，新能源转型不持续拖累盈利,品牌与平台整合按计划推进，不出现大额整合损失,,,,,,,,,,,,
103,G3-E037,恒瑞医药,600276,医药,A股,2024-02-01T00:00:00+08:00,仅日期（按盘后处理）,恒瑞医药关于获得药品注册证书的公告,http://static.cninfo.com.cn/finalpage/2024-02-01/1219055661.PDF,创新药转型期，创新药放量与对外授权接续仿制药集采缺口，毛利率高但集采与研发成败是关键观察点,创新药放量与授权合作收入接续仿制药集采下滑，研发管线持续推进,创新药占比提升支撑高毛利率，集采降价不导致盈利持续恶化,研发投入强度维持，管线推进不出现关键品种研发失败,,,,,,,,,,,,
104,G3-E108,中芯国际,688981,芯片半导体,A股,2026-02-11T00:00:00+08:00,仅日期（按盘后处理）,中芯国际2025年第四季度业绩快报公告,http://static.cninfo.com.cn/finalpage/2026-02-11/1224974869.PDF,成熟制程代工龙头，国产替代与产能利用率回升支撑收入，折旧与价格压力是盈利的主要观察点,成熟制程产能利用率与晶圆出货保持增长，国产替代需求是主要驱动,毛利率随产能利用率回升，折旧压力不导致盈利持续恶化,资本开支与扩产节奏匹配下游需求，先进制程投入不出现大额减值,,,,,,,,,,,,
