任务类型,样本ID,A结果,A理由,B结果,B理由,裁决结果,裁决理由,裁决人ID,裁决时间
body_fact,G3-B003,"{""事实发生期"": """", ""事实类型"": ""不适用"", ""单位"": """", ""变化方向"": ""不适用"", ""数值上限"": """", ""数值下限"": """", ""是否存在可抽取事实"": ""否""}",正文主要为治理、程序、研发审批或框架性披露，未提供可按既定事实类型抽取的新增经营数值及比较口径。,"{""事实发生期"": ""截至2024-02"", ""事实类型"": ""其他"", ""单位"": ""万元"", ""变化方向"": ""无法判断"", ""数值上限"": ""16569"", ""数值下限"": ""16569"", ""是否存在可抽取事实"": ""是""}",正文明确披露可复核的业务金额、投入或交易上限及对应期间，可作为结构化事实抽取。,,,,
body_fact,G3-B004,"{""事实发生期"": ""截至2023-12-31"", ""事实类型"": ""资本开支"", ""单位"": ""元"", ""变化方向"": ""不适用"", ""数值上限"": ""6390141389.74"", ""数值下限"": ""6390141389.74"", ""是否存在可抽取事实"": ""是""}",正文给出了明确数值、口径与对应期间，可作为结构化经营事实抽取。,"{""事实发生期"": ""截至2023-12-31"", ""事实类型"": ""资本开支"", ""单位"": ""万元"", ""变化方向"": ""无法判断"", ""数值上限"": ""186104.73"", ""数值下限"": ""186104.73"", ""是否存在可抽取事实"": ""是""}",正文明确披露可复核的业务金额、投入或交易上限及对应期间，可作为结构化事实抽取。,,,,
body_fact,G3-B005,"{""事实发生期"": """", ""事实类型"": ""不适用"", ""单位"": """", ""变化方向"": ""不适用"", ""数值上限"": """", ""数值下限"": """", ""是否存在可抽取事实"": ""否""}",正文主要为治理、程序、研发审批或框架性披露，未提供可按既定事实类型抽取的新增经营数值及比较口径。,"{""事实发生期"": ""截至2024-05"", ""事实类型"": ""其他"", ""单位"": ""万元"", ""变化方向"": ""无法判断"", ""数值上限"": ""89664"", ""数值下限"": ""89664"", ""是否存在可抽取事实"": ""是""}",正文明确披露可复核的业务金额、投入或交易上限及对应期间，可作为结构化事实抽取。,,,,
body_fact,G3-B006,"{""事实发生期"": ""截至2025-07-17"", ""事实类型"": ""其他"", ""单位"": ""万元"", ""变化方向"": ""不适用"", ""数值上限"": ""21350"", ""数值下限"": ""21350"", ""是否存在可抽取事实"": ""是""}",正文给出了明确数值、口径与对应期间，可作为结构化经营事实抽取。,"{""事实发生期"": ""截至2025-07"", ""事实类型"": ""其他"", ""单位"": ""万元"", ""变化方向"": ""无法判断"", ""数值上限"": ""21350"", ""数值下限"": ""21350"", ""是否存在可抽取事实"": ""是""}",正文明确披露可复核的业务金额、投入或交易上限及对应期间，可作为结构化事实抽取。,,,,
body_fact,G3-B008,"{""事实发生期"": ""2024"", ""事实类型"": ""订单金额"", ""单位"": ""亿元"", ""变化方向"": ""不适用"", ""数值上限"": ""1.43"", ""数值下限"": ""1.43"", ""是否存在可抽取事实"": ""是""}",正文给出了明确数值、口径与对应期间，可作为结构化经营事实抽取。,"{""事实发生期"": ""2025"", ""事实类型"": ""订单金额"", ""单位"": ""亿元"", ""变化方向"": ""上升"", ""数值上限"": ""2"", ""数值下限"": ""2"", ""是否存在可抽取事实"": ""是""}",正文明确披露数值、比较基准和对应经营期间，可作为结构化事实抽取。,,,,
body_fact,G3-B009,"{""事实发生期"": ""2024"", ""事实类型"": ""营业收入同比"", ""单位"": ""%"", ""变化方向"": ""上升"", ""数值上限"": ""11.76"", ""数值下限"": ""11.76"", ""是否存在可抽取事实"": ""是""}",正文给出了明确数值、口径与对应期间，可作为结构化经营事实抽取。,"{""事实发生期"": ""2024"", ""事实类型"": ""营业收入同比"", ""单位"": ""%"", ""变化方向"": ""上升"", ""数值上限"": ""22.63"", ""数值下限"": ""22.63"", ""是否存在可抽取事实"": ""是""}",正文明确披露数值、比较基准和对应经营期间，可作为结构化事实抽取。,,,,
body_fact,G3-B010,"{""事实发生期"": ""截至2026-01-05"", ""事实类型"": ""其他"", ""单位"": ""万元"", ""变化方向"": ""不适用"", ""数值上限"": ""51854"", ""数值下限"": ""51854"", ""是否存在可抽取事实"": ""是""}",正文给出了明确数值、口径与对应期间，可作为结构化经营事实抽取。,"{""事实发生期"": ""截至2026-01"", ""事实类型"": ""其他"", ""单位"": ""万元"", ""变化方向"": ""无法判断"", ""数值上限"": ""51854"", ""数值下限"": ""51854"", ""是否存在可抽取事实"": ""是""}",正文明确披露可复核的业务金额、投入或交易上限及对应期间，可作为结构化事实抽取。,,,,
body_fact,G3-B011,"{""事实发生期"": """", ""事实类型"": ""不适用"", ""单位"": """", ""变化方向"": ""不适用"", ""数值上限"": """", ""数值下限"": """", ""是否存在可抽取事实"": ""否""}",正文主要为治理、程序、研发审批或框架性披露，未提供可按既定事实类型抽取的新增经营数值及比较口径。,"{""事实发生期"": ""截至2025-06"", ""事实类型"": ""其他"", ""单位"": ""万元"", ""变化方向"": ""无法判断"", ""数值上限"": ""2600"", ""数值下限"": ""2600"", ""是否存在可抽取事实"": ""是""}",正文明确披露可复核的业务金额、投入或交易上限及对应期间，可作为结构化事实抽取。,,,,
body_fact,G3-B014,"{""事实发生期"": """", ""事实类型"": ""不适用"", ""单位"": """", ""变化方向"": ""不适用"", ""数值上限"": """", ""数值下限"": """", ""是否存在可抽取事实"": ""否""}",正文主要为治理、程序、研发审批或框架性披露，未提供可按既定事实类型抽取的新增经营数值及比较口径。,"{""事实发生期"": ""2025-01至09"", ""事实类型"": ""其他"", ""单位"": ""亿元"", ""变化方向"": ""无法判断"", ""数值上限"": ""75.54"", ""数值下限"": ""75.54"", ""是否存在可抽取事实"": ""是""}",正文明确披露可复核的业务金额、投入或交易上限及对应期间，可作为结构化事实抽取。,,,,
body_fact,G3-B017,"{""事实发生期"": ""2025-01至11"", ""事实类型"": ""订单金额"", ""单位"": ""万元"", ""变化方向"": ""不适用"", ""数值上限"": ""49445.3"", ""数值下限"": ""49445.3"", ""是否存在可抽取事实"": ""是""}",正文给出了明确数值、口径与对应期间，可作为结构化经营事实抽取。,"{""事实发生期"": ""2025"", ""事实类型"": ""订单金额"", ""单位"": ""万元"", ""变化方向"": ""无法判断"", ""数值上限"": ""109929.2"", ""数值下限"": ""109929.2"", ""是否存在可抽取事实"": ""是""}",正文明确披露可复核的业务金额、投入或交易上限及对应期间，可作为结构化事实抽取。,,,,
body_fact,G3-B018,"{""事实发生期"": """", ""事实类型"": ""不适用"", ""单位"": """", ""变化方向"": ""不适用"", ""数值上限"": """", ""数值下限"": """", ""是否存在可抽取事实"": ""否""}",正文主要为治理、程序、研发审批或框架性披露，未提供可按既定事实类型抽取的新增经营数值及比较口径。,"{""事实发生期"": ""截至2026-04"", ""事实类型"": ""其他"", ""单位"": ""万元"", ""变化方向"": ""无法判断"", ""数值上限"": ""4347.2"", ""数值下限"": ""4347.2"", ""是否存在可抽取事实"": ""是""}",正文明确披露可复核的业务金额、投入或交易上限及对应期间，可作为结构化事实抽取。,,,,
body_fact,G3-B020,"{""事实发生期"": """", ""事实类型"": ""不适用"", ""单位"": """", ""变化方向"": ""不适用"", ""数值上限"": """", ""数值下限"": """", ""是否存在可抽取事实"": ""否""}",正文主要为治理、程序、研发审批或框架性披露，未提供可按既定事实类型抽取的新增经营数值及比较口径。,"{""事实发生期"": ""截至2024-05"", ""事实类型"": ""其他"", ""单位"": ""万元"", ""变化方向"": ""无法判断"", ""数值上限"": ""450"", ""数值下限"": ""450"", ""是否存在可抽取事实"": ""是""}",正文明确披露可复核的业务金额、投入或交易上限及对应期间，可作为结构化事实抽取。,,,,
body_fact,G3-B027,"{""事实发生期"": """", ""事实类型"": ""不适用"", ""单位"": """", ""变化方向"": ""不适用"", ""数值上限"": """", ""数值下限"": """", ""是否存在可抽取事实"": ""否""}",正文主要为治理、程序、研发审批或框架性披露，未提供可按既定事实类型抽取的新增经营数值及比较口径。,"{""事实发生期"": ""2026"", ""事实类型"": ""订单金额"", ""单位"": ""%"", ""变化方向"": ""上升"", ""数值上限"": ""74"", ""数值下限"": ""74"", ""是否存在可抽取事实"": ""是""}",正文明确披露数值、比较基准和对应经营期间，可作为结构化事实抽取。,,,,
body_fact,G3-B028,"{""事实发生期"": ""2025-02-14"", ""事实类型"": ""其他"", ""单位"": ""亿元"", ""变化方向"": ""不适用"", ""数值上限"": ""64.7"", ""数值下限"": ""64.7"", ""是否存在可抽取事实"": ""是""}",正文给出了明确数值、口径与对应期间，可作为结构化经营事实抽取。,"{""事实发生期"": ""交易完成后"", ""事实类型"": ""其他"", ""单位"": ""亿元"", ""变化方向"": ""无法判断"", ""数值上限"": ""64.7"", ""数值下限"": ""64.7"", ""是否存在可抽取事实"": ""是""}",正文明确披露可复核的业务金额、投入或交易上限及对应期间，可作为结构化事实抽取。,,,,
body_fact,G3-B031,"{""事实发生期"": ""2024"", ""事实类型"": ""订单金额"", ""单位"": ""元"", ""变化方向"": ""不适用"", ""数值上限"": ""39863000"", ""数值下限"": ""39863000"", ""是否存在可抽取事实"": ""是""}",正文给出了明确数值、口径与对应期间，可作为结构化经营事实抽取。,"{""事实发生期"": ""2026"", ""事实类型"": ""订单金额"", ""单位"": ""百万元"", ""变化方向"": ""无法判断"", ""数值上限"": ""900"", ""数值下限"": ""900"", ""是否存在可抽取事实"": ""是""}",正文明确披露可复核的业务金额、投入或交易上限及对应期间，可作为结构化事实抽取。,,,,
body_fact,G3-B034,"{""事实发生期"": ""2026-07-23"", ""事实类型"": ""其他"", ""单位"": ""百万欧元"", ""变化方向"": ""不适用"", ""数值上限"": ""221"", ""数值下限"": ""221"", ""是否存在可抽取事实"": ""是""}",正文给出了明确数值、口径与对应期间，可作为结构化经营事实抽取。,"{""事实发生期"": ""2026-07"", ""事实类型"": ""其他"", ""单位"": ""百万欧元"", ""变化方向"": ""无法判断"", ""数值上限"": ""221"", ""数值下限"": ""221"", ""是否存在可抽取事实"": ""是""}",正文明确披露可复核的业务金额、投入或交易上限及对应期间，可作为结构化事实抽取。,,,,
body_fact,G3-B035,"{""事实发生期"": ""2026-Q1"", ""事实类型"": ""销量或交付量同比"", ""单位"": ""%"", ""变化方向"": ""下降"", ""数值上限"": ""30.01"", ""数值下限"": ""30.01"", ""是否存在可抽取事实"": ""是""}",正文给出了明确数值、口径与对应期间，可作为结构化经营事实抽取。,"{""事实发生期"": ""2026-01至03"", ""事实类型"": ""销量或交付量同比"", ""单位"": ""%"", ""变化方向"": ""下降"", ""数值上限"": ""-30.01"", ""数值下限"": ""-30.01"", ""是否存在可抽取事实"": ""是""}",正文明确披露数值、比较基准和对应经营期间，可作为结构化事实抽取。,,,,
body_fact,G3-B041,"{""事实发生期"": ""2023"", ""事实类型"": ""营业收入同比"", ""单位"": ""%"", ""变化方向"": ""下降"", ""数值上限"": ""29.08"", ""数值下限"": ""29.08"", ""是否存在可抽取事实"": ""是""}",正文给出了明确数值、口径与对应期间，可作为结构化经营事实抽取。,"{""事实发生期"": ""2023"", ""事实类型"": ""营业收入同比"", ""单位"": ""%"", ""变化方向"": ""下降"", ""数值上限"": ""-29.08"", ""数值下限"": ""-29.08"", ""是否存在可抽取事实"": ""是""}",正文明确披露数值、比较基准和对应经营期间，可作为结构化事实抽取。,,,,
body_fact,G3-B043,"{""事实发生期"": ""2025-12-29"", ""事实类型"": ""其他"", ""单位"": ""%"", ""变化方向"": ""不适用"", ""数值上限"": ""49"", ""数值下限"": ""49"", ""是否存在可抽取事实"": ""是""}",正文给出了明确数值、口径与对应期间，可作为结构化经营事实抽取。,"{""事实发生期"": """", ""事实类型"": ""不适用"", ""单位"": """", ""变化方向"": ""不适用"", ""数值上限"": """", ""数值下限"": """", ""是否存在可抽取事实"": ""否""}",正文主要披露治理、审批、制度或阶段性事项，未提供可按目标口径抽取的经营数值与比较基准。,,,,
body_fact,G3-B045,"{""事实发生期"": ""2023"", ""事实类型"": ""营业收入同比"", ""单位"": ""%"", ""变化方向"": ""上升"", ""数值上限"": ""57.27"", ""数值下限"": ""42.77"", ""是否存在可抽取事实"": ""是""}",正文给出了明确数值、口径与对应期间，可作为结构化经营事实抽取。,"{""事实发生期"": ""2023"", ""事实类型"": ""其他"", ""单位"": ""%"", ""变化方向"": ""上升"", ""数值上限"": ""57.27"", ""数值下限"": ""42.77"", ""是否存在可抽取事实"": ""是""}",正文明确披露数值、比较基准和对应经营期间，可作为结构化事实抽取。,,,,
body_fact,G3-B049,"{""事实发生期"": ""2023"", ""事实类型"": ""订单金额"", ""单位"": ""万元"", ""变化方向"": ""不适用"", ""数值上限"": ""51775.24"", ""数值下限"": ""51775.24"", ""是否存在可抽取事实"": ""是""}",正文给出了明确数值、口径与对应期间，可作为结构化经营事实抽取。,"{""事实发生期"": """", ""事实类型"": ""不适用"", ""单位"": """", ""变化方向"": ""不适用"", ""数值上限"": """", ""数值下限"": """", ""是否存在可抽取事实"": ""否""}",正文主要披露治理、审批、制度或阶段性事项，未提供可按目标口径抽取的经营数值与比较基准。,,,,
body_fact,G3-B051,"{""事实发生期"": ""2026-01-22"", ""事实类型"": ""资本开支"", ""单位"": ""万元"", ""变化方向"": ""不适用"", ""数值上限"": ""50000"", ""数值下限"": ""50000"", ""是否存在可抽取事实"": ""是""}",正文给出了明确数值、口径与对应期间，可作为结构化经营事实抽取。,"{""事实发生期"": ""2026-01"", ""事实类型"": ""资本开支"", ""单位"": ""万元"", ""变化方向"": ""无法判断"", ""数值上限"": ""50000"", ""数值下限"": ""50000"", ""是否存在可抽取事实"": ""是""}",正文明确披露可复核的业务金额、投入或交易上限及对应期间，可作为结构化事实抽取。,,,,
body_fact,G3-B053,"{""事实发生期"": """", ""事实类型"": ""不适用"", ""单位"": """", ""变化方向"": ""无法判断"", ""数值上限"": """", ""数值下限"": """", ""是否存在可抽取事实"": ""信息不足""}",公告正文为扫描图像且无法提取文本，不能可靠识别数值、口径与发生期间。,"{""事实发生期"": ""2025"", ""事实类型"": ""其他"", ""单位"": ""百分点"", ""变化方向"": ""上升"", ""数值上限"": ""3"", ""数值下限"": ""3"", ""是否存在可抽取事实"": ""是""}",正文明确披露数值、比较基准和对应经营期间，可作为结构化事实抽取。,,,,
body_fact,G3-B054,"{""事实发生期"": ""2023"", ""事实类型"": ""营业收入同比"", ""单位"": ""%"", ""变化方向"": ""下降"", ""数值上限"": ""8.6"", ""数值下限"": ""8.6"", ""是否存在可抽取事实"": ""是""}",正文给出了明确数值、口径与对应期间，可作为结构化经营事实抽取。,"{""事实发生期"": ""2023"", ""事实类型"": ""营业收入同比"", ""单位"": ""%"", ""变化方向"": ""下降"", ""数值上限"": ""-8.6"", ""数值下限"": ""-8.6"", ""是否存在可抽取事实"": ""是""}",正文明确披露数值、比较基准和对应经营期间，可作为结构化事实抽取。,,,,
body_fact,G3-B055,"{""事实发生期"": ""截至2024-06-30"", ""事实类型"": ""资本开支"", ""单位"": ""万元"", ""变化方向"": ""不适用"", ""数值上限"": ""278317.65"", ""数值下限"": ""278317.65"", ""是否存在可抽取事实"": ""是""}",正文给出了明确数值、口径与对应期间，可作为结构化经营事实抽取。,"{""事实发生期"": ""截至2024-06-30"", ""事实类型"": ""资本开支"", ""单位"": ""万元"", ""变化方向"": ""无法判断"", ""数值上限"": ""150135.03"", ""数值下限"": ""150135.03"", ""是否存在可抽取事实"": ""是""}",正文明确披露可复核的业务金额、投入或交易上限及对应期间，可作为结构化事实抽取。,,,,
body_fact,G3-B057,"{""事实发生期"": ""2026-07-21"", ""事实类型"": ""资本开支"", ""单位"": ""万元"", ""变化方向"": ""不适用"", ""数值上限"": ""50000"", ""数值下限"": ""50000"", ""是否存在可抽取事实"": ""是""}",正文给出了明确数值、口径与对应期间，可作为结构化经营事实抽取。,"{""事实发生期"": ""2026-07"", ""事实类型"": ""资本开支"", ""单位"": ""万元"", ""变化方向"": ""无法判断"", ""数值上限"": ""50000"", ""数值下限"": ""50000"", ""是否存在可抽取事实"": ""是""}",正文明确披露可复核的业务金额、投入或交易上限及对应期间，可作为结构化事实抽取。,,,,
body_fact,G3-B060,"{""事实发生期"": ""2025-10-17"", ""事实类型"": ""其他"", ""单位"": ""万元"", ""变化方向"": ""不适用"", ""数值上限"": ""130000"", ""数值下限"": ""130000"", ""是否存在可抽取事实"": ""是""}",正文给出了明确数值、口径与对应期间，可作为结构化经营事实抽取。,"{""事实发生期"": ""2025-10"", ""事实类型"": ""其他"", ""单位"": ""万元"", ""变化方向"": ""无法判断"", ""数值上限"": ""130000"", ""数值下限"": ""130000"", ""是否存在可抽取事实"": ""是""}",正文明确披露可复核的业务金额、投入或交易上限及对应期间，可作为结构化事实抽取。,,,,
graph_relevance,G3-R-E005-H3,"{""关系路径可成立"": ""是"", ""相关性等级"": ""1-弱相关""}",公告与查询假设存在同业务主题或弱因果联系，但增量信息有限，不宜作为Top-1核心证据。,"{""关系路径可成立"": ""否"", ""相关性等级"": ""1-弱相关""}",公告反映需求或盈利表现，但未直接披露产能、研发投入或扩张执行，对查询假设仅有弱主题关联。,,,,
graph_relevance,G3-R-E007-H2,"{""关系路径可成立"": ""是"", ""相关性等级"": ""1-弱相关""}",公告与查询假设存在同业务主题或弱因果联系，但增量信息有限，不宜作为Top-1核心证据。,"{""关系路径可成立"": ""是"", ""相关性等级"": ""2-间接相关""}",公告与查询假设并非同一直接指标，但可经需求、规模、产品商业化或投入产出的一层因果链建立关系。,,,,
graph_relevance,G3-R-E009-H3,"{""关系路径可成立"": ""是"", ""相关性等级"": ""1-弱相关""}",公告与查询假设存在同业务主题或弱因果联系，但增量信息有限，不宜作为Top-1核心证据。,"{""关系路径可成立"": ""否"", ""相关性等级"": ""1-弱相关""}",公告反映需求或盈利表现，但未直接披露产能、研发投入或扩张执行，对查询假设仅有弱主题关联。,,,,
graph_relevance,G3-R-E010-H2,"{""关系路径可成立"": ""是"", ""相关性等级"": ""1-弱相关""}",公告与查询假设存在同业务主题或弱因果联系，但增量信息有限，不宜作为Top-1核心证据。,"{""关系路径可成立"": ""是"", ""相关性等级"": ""2-间接相关""}",公告与查询假设并非同一直接指标，但可经需求、规模、产品商业化或投入产出的一层因果链建立关系。,,,,
graph_relevance,G3-R-E012-H3,"{""关系路径可成立"": ""是"", ""相关性等级"": ""1-弱相关""}",公告与查询假设存在同业务主题或弱因果联系，但增量信息有限，不宜作为Top-1核心证据。,"{""关系路径可成立"": ""否"", ""相关性等级"": ""1-弱相关""}",公告反映需求或盈利表现，但未直接披露产能、研发投入或扩张执行，对查询假设仅有弱主题关联。,,,,
graph_relevance,G3-R-E014-H3,"{""关系路径可成立"": ""是"", ""相关性等级"": ""1-弱相关""}",公告与查询假设存在同业务主题或弱因果联系，但增量信息有限，不宜作为Top-1核心证据。,"{""关系路径可成立"": ""否"", ""相关性等级"": ""1-弱相关""}",公告反映需求或盈利表现，但未直接披露产能、研发投入或扩张执行，对查询假设仅有弱主题关联。,,,,
graph_relevance,G3-R-E015-H1,"{""关系路径可成立"": ""是"", ""相关性等级"": ""2-间接相关""}",候选公告通过一层清晰业务因果链影响查询假设，可进入证据链但不是直接测量。,"{""关系路径可成立"": ""是"", ""相关性等级"": ""3-直接相关""}",药品受理、临床批准或注册获批直接证明研发管线推进，并对创新药商业化假设提供可观察事实。,,,,
graph_relevance,G3-R-E015-H2,"{""关系路径可成立"": ""是"", ""相关性等级"": ""1-弱相关""}",公告与查询假设存在同业务主题或弱因果联系，但增量信息有限，不宜作为Top-1核心证据。,"{""关系路径可成立"": ""是"", ""相关性等级"": ""2-间接相关""}",管线进展可经创新药占比和产品结构影响盈利质量，但尚未直接披露毛利率或集采影响。,,,,
graph_relevance,G3-R-E016-H3,"{""关系路径可成立"": ""是"", ""相关性等级"": ""1-弱相关""}",公告与查询假设存在同业务主题或弱因果联系，但增量信息有限，不宜作为Top-1核心证据。,"{""关系路径可成立"": ""否"", ""相关性等级"": ""1-弱相关""}",公告反映需求或盈利表现，但未直接披露产能、研发投入或扩张执行，对查询假设仅有弱主题关联。,,,,
graph_relevance,G3-R-E017-H2,"{""关系路径可成立"": ""是"", ""相关性等级"": ""2-间接相关""}",候选公告通过一层清晰业务因果链影响查询假设，可进入证据链但不是直接测量。,"{""关系路径可成立"": ""是"", ""相关性等级"": ""1-弱相关""}",公告与查询假设并非同一直接指标，但可经需求、规模、产品商业化或投入产出的一层因果链建立关系。,,,,
graph_relevance,G3-R-E017-H3,"{""关系路径可成立"": ""是"", ""相关性等级"": ""1-弱相关""}",公告与查询假设存在同业务主题或弱因果联系，但增量信息有限，不宜作为Top-1核心证据。,"{""关系路径可成立"": ""否"", ""相关性等级"": ""1-弱相关""}",公告反映需求或盈利表现，但未直接披露产能、研发投入或扩张执行，对查询假设仅有弱主题关联。,,,,
graph_relevance,G3-R-E021-H3,"{""关系路径可成立"": ""是"", ""相关性等级"": ""1-弱相关""}",公告与查询假设存在同业务主题或弱因果联系，但增量信息有限，不宜作为Top-1核心证据。,"{""关系路径可成立"": ""是"", ""相关性等级"": ""3-直接相关""}",药品受理、临床批准或注册获批直接证明研发管线推进，并对创新药商业化假设提供可观察事实。,,,,
graph_relevance,G3-R-E028-H3,"{""关系路径可成立"": ""是"", ""相关性等级"": ""1-弱相关""}",公告与查询假设存在同业务主题或弱因果联系，但增量信息有限，不宜作为Top-1核心证据。,"{""关系路径可成立"": ""否"", ""相关性等级"": ""1-弱相关""}",公告反映需求或盈利表现，但未直接披露产能、研发投入或扩张执行，对查询假设仅有弱主题关联。,,,,
graph_relevance,G3-R-E029-H3,"{""关系路径可成立"": ""是"", ""相关性等级"": ""1-弱相关""}",公告与查询假设存在同业务主题或弱因果联系，但增量信息有限，不宜作为Top-1核心证据。,"{""关系路径可成立"": ""是"", ""相关性等级"": ""2-间接相关""}",全球许可合作覆盖多项研发项目，能支持管线推进判断，但仍需后续研发结果确认。,,,,
graph_relevance,G3-R-E034-H2,"{""关系路径可成立"": ""是"", ""相关性等级"": ""1-弱相关""}",公告与查询假设存在同业务主题或弱因果联系，但增量信息有限，不宜作为Top-1核心证据。,"{""关系路径可成立"": ""是"", ""相关性等级"": ""2-间接相关""}",公告与查询假设并非同一直接指标，但可经需求、规模、产品商业化或投入产出的一层因果链建立关系。,,,,
graph_relevance,G3-R-E035-H1,"{""关系路径可成立"": ""是"", ""相关性等级"": ""2-间接相关""}",候选公告通过一层清晰业务因果链影响查询假设，可进入证据链但不是直接测量。,"{""关系路径可成立"": ""是"", ""相关性等级"": ""3-直接相关""}",药品受理、临床批准或注册获批直接证明研发管线推进，并对创新药商业化假设提供可观察事实。,,,,
graph_relevance,G3-R-E035-H2,"{""关系路径可成立"": ""是"", ""相关性等级"": ""1-弱相关""}",公告与查询假设存在同业务主题或弱因果联系，但增量信息有限，不宜作为Top-1核心证据。,"{""关系路径可成立"": ""是"", ""相关性等级"": ""2-间接相关""}",管线进展可经创新药占比和产品结构影响盈利质量，但尚未直接披露毛利率或集采影响。,,,,
graph_relevance,G3-R-E041-H1,"{""关系路径可成立"": ""是"", ""相关性等级"": ""3-直接相关""}",候选公告直接披露了查询假设所需的核心指标或里程碑，关系路径无需额外业务前提。,"{""关系路径可成立"": ""是"", ""相关性等级"": ""2-间接相关""}",公告通过一层清晰业务因果链影响查询假设，路径可成立但并非直接指标。,,,,
graph_relevance,G3-R-E041-H2,"{""关系路径可成立"": ""是"", ""相关性等级"": ""2-间接相关""}",候选公告通过一层清晰业务因果链影响查询假设，可进入证据链但不是直接测量。,"{""关系路径可成立"": ""是"", ""相关性等级"": ""1-弱相关""}",公告与查询假设并非同一直接指标，但可经需求、规模、产品商业化或投入产出的一层因果链建立关系。,,,,
graph_relevance,G3-R-E041-H3,"{""关系路径可成立"": ""是"", ""相关性等级"": ""1-弱相关""}",公告与查询假设存在同业务主题或弱因果联系，但增量信息有限，不宜作为Top-1核心证据。,"{""关系路径可成立"": ""否"", ""相关性等级"": ""1-弱相关""}",公告反映需求或盈利表现，但未直接披露产能、研发投入或扩张执行，对查询假设仅有弱主题关联。,,,,
graph_relevance,G3-R-E043-H1,"{""关系路径可成立"": ""是"", ""相关性等级"": ""2-间接相关""}",候选公告通过一层清晰业务因果链影响查询假设，可进入证据链但不是直接测量。,"{""关系路径可成立"": ""是"", ""相关性等级"": ""3-直接相关""}",定期报告直接披露查询假设所需的收入、订单、毛利率、研发投入、产能或减值指标，可建立完整关系路径。,,,,
graph_relevance,G3-R-E043-H3,"{""关系路径可成立"": ""是"", ""相关性等级"": ""1-弱相关""}",公告与查询假设存在同业务主题或弱因果联系，但增量信息有限，不宜作为Top-1核心证据。,"{""关系路径可成立"": ""是"", ""相关性等级"": ""3-直接相关""}",定期报告直接披露查询假设所需的收入、订单、毛利率、研发投入、产能或减值指标，可建立完整关系路径。,,,,
graph_relevance,G3-R-E044-H1,"{""关系路径可成立"": ""是"", ""相关性等级"": ""1-弱相关""}",公告与查询假设存在同业务主题或弱因果联系，但增量信息有限，不宜作为Top-1核心证据。,"{""关系路径可成立"": ""是"", ""相关性等级"": ""2-间接相关""}",公告与查询假设并非同一直接指标，但可经需求、规模、产品商业化或投入产出的一层因果链建立关系。,,,,
graph_relevance,G3-R-E044-H2,"{""关系路径可成立"": ""是"", ""相关性等级"": ""2-间接相关""}",候选公告通过一层清晰业务因果链影响查询假设，可进入证据链但不是直接测量。,"{""关系路径可成立"": ""是"", ""相关性等级"": ""3-直接相关""}",存货及信用减值直接减少利润总额，直接影响盈利质量假设。,,,,
graph_relevance,G3-R-E045-H1,"{""关系路径可成立"": ""是"", ""相关性等级"": ""2-间接相关""}",候选公告通过一层清晰业务因果链影响查询假设，可进入证据链但不是直接测量。,"{""关系路径可成立"": ""是"", ""相关性等级"": ""3-直接相关""}",药品受理、临床批准或注册获批直接证明研发管线推进，并对创新药商业化假设提供可观察事实。,,,,
graph_relevance,G3-R-E045-H2,"{""关系路径可成立"": ""是"", ""相关性等级"": ""1-弱相关""}",公告与查询假设存在同业务主题或弱因果联系，但增量信息有限，不宜作为Top-1核心证据。,"{""关系路径可成立"": ""是"", ""相关性等级"": ""2-间接相关""}",管线进展可经创新药占比和产品结构影响盈利质量，但尚未直接披露毛利率或集采影响。,,,,
graph_relevance,G3-R-E047-H1,"{""关系路径可成立"": ""是"", ""相关性等级"": ""2-间接相关""}",候选公告通过一层清晰业务因果链影响查询假设，可进入证据链但不是直接测量。,"{""关系路径可成立"": ""是"", ""相关性等级"": ""3-直接相关""}",药品受理、临床批准或注册获批直接证明研发管线推进，并对创新药商业化假设提供可观察事实。,,,,
graph_relevance,G3-R-E047-H2,"{""关系路径可成立"": ""是"", ""相关性等级"": ""1-弱相关""}",公告与查询假设存在同业务主题或弱因果联系，但增量信息有限，不宜作为Top-1核心证据。,"{""关系路径可成立"": ""是"", ""相关性等级"": ""2-间接相关""}",管线进展可经创新药占比和产品结构影响盈利质量，但尚未直接披露毛利率或集采影响。,,,,
graph_relevance,G3-R-E048-H3,"{""关系路径可成立"": ""是"", ""相关性等级"": ""1-弱相关""}",公告与查询假设存在同业务主题或弱因果联系，但增量信息有限，不宜作为Top-1核心证据。,"{""关系路径可成立"": ""是"", ""相关性等级"": ""2-间接相关""}",公告通过一层清晰业务因果链影响查询假设，路径可成立但并非直接指标。,,,,
graph_relevance,G3-R-E051-H1,"{""关系路径可成立"": ""是"", ""相关性等级"": ""2-间接相关""}",候选公告通过一层清晰业务因果链影响查询假设，可进入证据链但不是直接测量。,"{""关系路径可成立"": ""否"", ""相关性等级"": ""0-无关""}",候选公告属于治理、证券变动或程序性披露，不回答该查询假设，也不提供有效业务关系证据。,,,,
graph_relevance,G3-R-E051-H2,"{""关系路径可成立"": ""是"", ""相关性等级"": ""1-弱相关""}",公告与查询假设存在同业务主题或弱因果联系，但增量信息有限，不宜作为Top-1核心证据。,"{""关系路径可成立"": ""否"", ""相关性等级"": ""0-无关""}",候选公告属于治理、证券变动或程序性披露，不回答该查询假设，也不提供有效业务关系证据。,,,,
