序号,关系样本ID,事件样本ID,查询ID,公司,证券代码,行业,检索截止时间,查询假设,候选公告标题,候选原文链接,相关性等级,关系路径可成立,关键证据原文,判断理由,置信度,数据问题,标注人ID,标注时间
90,G3-R-E044-H3,G3-E044,688981-H3,中芯国际,688981,芯片半导体,2025-11-14T00:00:00+08:00,资本开支与扩产节奏匹配下游需求，先进制程投入不出现大额减值,中芯国际关于2025年前三季度计提资产减值准备的公告,http://static.cninfo.com.cn/finalpage/2025-11-14/1224804088.PDF,,,,,,,,
91,G3-R-E108-H1,G3-E108,688981-H1,中芯国际,688981,芯片半导体,2026-02-11T00:00:00+08:00,成熟制程产能利用率与晶圆出货保持增长，国产替代需求是主要驱动,中芯国际2025年第四季度业绩快报公告,http://static.cninfo.com.cn/finalpage/2026-02-11/1224974869.PDF,,,,,,,,
92,G3-R-E047-H1,G3-E047,600276-H1,恒瑞医药,600276,医药,2026-02-06T00:00:00+08:00,创新药放量与授权合作收入接续仿制药集采下滑，研发管线持续推进,恒瑞医药关于药品上市许可申请获受理的提示性公告,http://static.cninfo.com.cn/finalpage/2026-02-06/1224968189.PDF,,,,,,,,
93,G3-R-E112-H2,G3-E112,603259-H2,药明康德,603259,医药,2025-09-03T00:00:00+08:00,产能利用率与项目结构支撑毛利率，不因价格竞争持续走低,关于与关联方签署框架协议暨日常关联交易的公告,http://static.cninfo.com.cn/finalpage/2025-09-03/1224634480.PDF,,,,,,,,
94,G3-R-E105-H1,G3-E105,000538-H1,云南白药,000538,医药,2025-06-18T00:00:00+08:00,工业药品与健康品渠道保持稳定，不出现持续负增长,2025-20 关于JZ-14胶囊获得药物临床试验批准的公告,http://static.cninfo.com.cn/finalpage/2025-06-18/1223899598.PDF,,,,,,,,
95,G3-R-E059-H2,G3-E059,002371-H2,北方华创,002371,芯片半导体,2025-10-31T00:00:00+08:00,规模效应与国产化推进支撑毛利率，不因竞争加剧显著下滑,募集资金管理办法（2025年10月),http://static.cninfo.com.cn/finalpage/2025-10-31/1224774330.PDF,,,,,,,,
96,G3-R-E031-H2,G3-E031,603259-H2,药明康德,603259,医药,2024-01-03T00:00:00+08:00,产能利用率与项目结构支撑毛利率，不因价格竞争持续走低,关于2019年限制性股票与股票期权激励计划首次授予股票期权2023年第四季度自主行权结果暨股份变动公告,http://static.cninfo.com.cn/finalpage/2024-01-03/1218791594.PDF,,,,,,,,
97,G3-R-E028-H1,G3-E028,09868-H1,小鹏汽车,09868,新能源汽车,2026-01-01T18:52:07+08:00,智能车交付量保持增长，新车型周期带动需求回升,自愿公告2025年12 月及第四季度智能车交付数据,http://static.cninfo.com.cn/finalpage/2026-01-01/1224915704.PDF,,,,,,,,
98,G3-R-E118-H1,G3-E118,603986-H1,兆易创新,603986,芯片半导体,2025-08-23T00:00:00+08:00,存储与 MCU 需求随消费电子与工业复苏回升，库存周期见底,兆易创新2025年半年度报告摘要,http://static.cninfo.com.cn/finalpage/2025-08-23/1224559705.PDF,,,,,,,,
99,G3-R-E070-H3,G3-E070,600276-H3,恒瑞医药,600276,医药,2024-04-10T00:00:00+08:00,研发投入强度维持，管线推进不出现关键品种研发失败,恒瑞医药关于获得药物临床试验批准通知书的公告,http://static.cninfo.com.cn/finalpage/2024-04-10/1219549275.PDF,,,,,,,,
100,G3-R-E118-H3,G3-E118,603986-H3,兆易创新,603986,芯片半导体,2025-08-23T00:00:00+08:00,新品研发与产能储备按计划推进，不出现存货大额跌价,兆易创新2025年半年度报告摘要,http://static.cninfo.com.cn/finalpage/2025-08-23/1224559705.PDF,,,,,,,,
101,G3-R-E081-H2,G3-E081,09868-H2,小鹏汽车,09868,新能源汽车,2025-03-03T19:18:14+08:00,毛利率随规模与技术服务收入改善，不回落到历史低位,自愿公告2025年2月智能车交付数据,http://static.cninfo.com.cn/finalpage/2025-03-03/1222693592.PDF,,,,,,,,
102,G3-R-E098-H1,G3-E098,00175-H1,吉利汽车,00175,新能源汽车,2024-02-01T17:06:22+08:00,新能源车型销量放量带动整体销量增长，出口贡献增量,未经审核之二零二四年一月销量,http://static.cninfo.com.cn/finalpage/2024-02-01/1219065223.PDF,,,,,,,,
103,G3-R-E041-H1,G3-E041,000538-H1,云南白药,000538,医药,2025-12-31T18:54:32+08:00,工业药品与健康品渠道保持稳定，不出现持续负增长,关于2026年度预计日常关联交易的公告,http://static.cninfo.com.cn/finalpage/2025-12-31/1224913542.PDF,,,,,,,,
104,G3-R-E009-H1,G3-E009,002594-H1,比亚迪,002594,新能源汽车,2024-11-02T00:00:00+08:00,新能源汽车销量保持增长，出口占比提升对冲国内价格压力,2024年10月产销快报,http://static.cninfo.com.cn/finalpage/2024-11-02/1221604106.PDF,,,,,,,,
105,G3-R-E100-H1,G3-E100,603986-H1,兆易创新,603986,芯片半导体,2026-05-27T00:00:00+08:00,存储与 MCU 需求随消费电子与工业复苏回升，库存周期见底,兆易创新关于调整2024年股票期权激励计划相关事项的公告,http://static.cninfo.com.cn/finalpage/2026-05-27/1225331853.PDF,,,,,,,,
106,G3-R-E075-H2,G3-E075,603259-H2,药明康德,603259,医药,2026-04-28T00:00:00+08:00,产能利用率与项目结构支撑毛利率，不因价格竞争持续走低,2026年第一季度报告,http://static.cninfo.com.cn/finalpage/2026-04-28/1225200544.PDF,,,,,,,,
107,G3-R-E035-H3,G3-E035,600276-H3,恒瑞医药,600276,医药,2024-05-22T00:00:00+08:00,研发投入强度维持，管线推进不出现关键品种研发失败,恒瑞医药关于获得药品注册证书的公告,http://static.cninfo.com.cn/finalpage/2024-05-22/1220121916.PDF,,,,,,,,
108,G3-R-E058-H2,G3-E058,002371-H2,北方华创,002371,芯片半导体,2025-04-26T00:00:00+08:00,规模效应与国产化推进支撑毛利率，不因竞争加剧显著下滑,2025年一季度报告,http://static.cninfo.com.cn/finalpage/2025-04-26/1223309242.PDF,,,,,,,,
109,G3-R-E049-H2,G3-E049,002594-H2,比亚迪,002594,新能源汽车,2024-03-02T00:00:00+08:00,规模效应与垂直一体化维持毛利率，价格战不导致盈利持续恶化,关于持股5%以上股东部分股份质押的公告,http://static.cninfo.com.cn/finalpage/2024-03-02/1219219982.PDF,,,,,,,,
110,G3-R-E080-H3,G3-E080,600276-H3,恒瑞医药,600276,医药,2025-12-03T00:00:00+08:00,研发投入强度维持，管线推进不出现关键品种研发失败,恒瑞医药关于药品上市许可申请获受理的提示性公告,http://static.cninfo.com.cn/finalpage/2025-12-03/1224843478.PDF,,,,,,,,
111,G3-R-E047-H2,G3-E047,600276-H2,恒瑞医药,600276,医药,2026-02-06T00:00:00+08:00,创新药占比提升支撑高毛利率，集采降价不导致盈利持续恶化,恒瑞医药关于药品上市许可申请获受理的提示性公告,http://static.cninfo.com.cn/finalpage/2026-02-06/1224968189.PDF,,,,,,,,
112,G3-R-E095-H1,G3-E095,002371-H1,北方华创,002371,芯片半导体,2025-02-18T00:00:00+08:00,半导体设备订单随晶圆厂扩产与国产化率提升保持增长,关于向全资子公司增资并参与设立北京集成电路装备产业投资并购二期基金暨关联交易的进展公告,http://static.cninfo.com.cn/finalpage/2025-02-18/1222558599.PDF,,,,,,,,
113,G3-R-E045-H2,G3-E045,600276-H2,恒瑞医药,600276,医药,2026-01-08T00:00:00+08:00,创新药占比提升支撑高毛利率，集采降价不导致盈利持续恶化,恒瑞医药关于获得药品注册批准的公告,http://static.cninfo.com.cn/finalpage/2026-01-08/1224923160.PDF,,,,,,,,
114,G3-R-E055-H2,G3-E055,09868-H2,小鹏汽车,09868,新能源汽车,2024-08-13T20:06:10+08:00,毛利率随规模与技术服务收入改善，不回落到历史低位,自愿公告 – 收购滴滴智能汽车开发业务资产的SOP交割及发行SOP对价股份,http://static.cninfo.com.cn/finalpage/2024-08-13/1220863060.PDF,,,,,,,,
115,G3-R-E073-H2,G3-E073,002594-H2,比亚迪,002594,新能源汽车,2025-10-09T00:00:00+08:00,规模效应与垂直一体化维持毛利率，价格战不导致盈利持续恶化,2025年9月产销快报,http://static.cninfo.com.cn/finalpage/2025-10-09/1224697528.PDF,,,,,,,,
116,G3-R-E007-H2,G3-E007,603259-H2,药明康德,603259,医药,2024-03-19T00:00:00+08:00,产能利用率与项目结构支撑毛利率，不因价格竞争持续走低,关于募集资金存放与实际使用情况的专项报告及审核报告（截至2023年12月31日止）,http://static.cninfo.com.cn/finalpage/2024-03-19/1219331371.PDF,,,,,,,,
117,G3-R-E064-H1,G3-E064,00175-H1,吉利汽车,00175,新能源汽车,2025-02-14T16:36:12+08:00,新能源车型销量放量带动整体销量增长，出口贡献增量,完成须予披露及关连交易(1)极氪收购领克销售股份；及(2)极氪认购领克新增资本,http://static.cninfo.com.cn/finalpage/2025-02-14/1222544267.PDF,,,,,,,,
118,G3-R-E017-H2,G3-E017,002371-H2,北方华创,002371,芯片半导体,2024-04-30T00:00:00+08:00,规模效应与国产化推进支撑毛利率，不因竞争加剧显著下滑,关于公司2024年度日常关联交易预计的公告,http://static.cninfo.com.cn/finalpage/2024-04-30/1219908871.PDF,,,,,,,,
119,G3-R-E082-H1,G3-E082,688981-H1,中芯国际,688981,芯片半导体,2024-03-29T00:00:00+08:00,成熟制程产能利用率与晶圆出货保持增长，国产替代需求是主要驱动,中芯国际2023年年度报告摘要,http://static.cninfo.com.cn/finalpage/2024-03-29/1219447110.PDF,,,,,,,,
120,G3-R-E047-H3,G3-E047,600276-H3,恒瑞医药,600276,医药,2026-02-06T00:00:00+08:00,研发投入强度维持，管线推进不出现关键品种研发失败,恒瑞医药关于药品上市许可申请获受理的提示性公告,http://static.cninfo.com.cn/finalpage/2026-02-06/1224968189.PDF,,,,,,,,
121,G3-R-E058-H3,G3-E058,002371-H3,北方华创,002371,芯片半导体,2025-04-26T00:00:00+08:00,产能与交付能力跟上订单增长，合同负债转化不出现明显滞后,2025年一季度报告,http://static.cninfo.com.cn/finalpage/2025-04-26/1223309242.PDF,,,,,,,,
122,G3-R-E059-H3,G3-E059,002371-H3,北方华创,002371,芯片半导体,2025-10-31T00:00:00+08:00,产能与交付能力跟上订单增长，合同负债转化不出现明显滞后,募集资金管理办法（2025年10月),http://static.cninfo.com.cn/finalpage/2025-10-31/1224774330.PDF,,,,,,,,
123,G3-R-E064-H3,G3-E064,00175-H3,吉利汽车,00175,新能源汽车,2025-02-14T16:36:12+08:00,品牌与平台整合按计划推进，不出现大额整合损失,完成须予披露及关连交易(1)极氪收购领克销售股份；及(2)极氪认购领克新增资本,http://static.cninfo.com.cn/finalpage/2025-02-14/1222544267.PDF,,,,,,,,
124,G3-R-E005-H2,G3-E005,00175-H2,吉利汽车,00175,新能源汽车,2026-07-01T18:12:27+08:00,平台化与规模效应改善毛利率，新能源转型不持续拖累盈利,未经审核之二零二六年六月销量,http://static.cninfo.com.cn/finalpage/2026-07-01/1225403705.PDF,,,,,,,,
125,G3-R-E041-H2,G3-E041,000538-H2,云南白药,000538,医药,2025-12-31T18:54:32+08:00,毛利率随产品结构与原料成本波动，不持续低于历史区间,关于2026年度预计日常关联交易的公告,http://static.cninfo.com.cn/finalpage/2025-12-31/1224913542.PDF,,,,,,,,
126,G3-R-E108-H3,G3-E108,688981-H3,中芯国际,688981,芯片半导体,2026-02-11T00:00:00+08:00,资本开支与扩产节奏匹配下游需求，先进制程投入不出现大额减值,中芯国际2025年第四季度业绩快报公告,http://static.cninfo.com.cn/finalpage/2026-02-11/1224974869.PDF,,,,,,,,
127,G3-R-E005-H1,G3-E005,00175-H1,吉利汽车,00175,新能源汽车,2026-07-01T18:12:27+08:00,新能源车型销量放量带动整体销量增长，出口贡献增量,未经审核之二零二六年六月销量,http://static.cninfo.com.cn/finalpage/2026-07-01/1225403705.PDF,,,,,,,,
128,G3-R-E120-H1,G3-E120,09868-H1,小鹏汽车,09868,新能源汽车,2024-04-17T17:18:27+08:00,智能车交付量保持增长，新车型周期带动需求回升,自愿公告 与大众汽车集团签订电子电气架构技术战略合作框架协议,http://static.cninfo.com.cn/finalpage/2024-04-17/1219647424.PDF,,,,,,,,
129,G3-R-E101-H1,G3-E101,00175-H1,吉利汽车,00175,新能源汽车,2026-02-01T21:20:12+08:00,新能源车型销量放量带动整体销量增长，出口贡献增量,未经审核之二零二六年一月销量,http://static.cninfo.com.cn/finalpage/2026-02-01/1224961027.PDF,,,,,,,,
130,G3-R-E068-H2,G3-E068,002594-H2,比亚迪,002594,新能源汽车,2026-04-02T00:00:00+08:00,规模效应与垂直一体化维持毛利率，价格战不导致盈利持续恶化,2026年3月产销快报,http://static.cninfo.com.cn/finalpage/2026-04-02/1225072597.PDF,,,,,,,,
131,G3-R-E067-H1,G3-E067,002371-H1,北方华创,002371,芯片半导体,2026-06-23T00:00:00+08:00,半导体设备订单随晶圆厂扩产与国产化率提升保持增长,关于放弃参股公司增资优先认购权暨关联交易的公告,http://static.cninfo.com.cn/finalpage/2026-06-23/1225381704.PDF,,,,,,,,
132,G3-R-E101-H2,G3-E101,00175-H2,吉利汽车,00175,新能源汽车,2026-02-01T21:20:12+08:00,平台化与规模效应改善毛利率，新能源转型不持续拖累盈利,未经审核之二零二六年一月销量,http://static.cninfo.com.cn/finalpage/2026-02-01/1224961027.PDF,,,,,,,,
133,G3-R-E094-H3,G3-E094,603986-H3,兆易创新,603986,芯片半导体,2026-03-31T00:00:00+08:00,新品研发与产能储备按计划推进，不出现存货大额跌价,兆易创新2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-03-31/1225061352.PDF,,,,,,,,
134,G3-R-E015-H3,G3-E015,600276-H3,恒瑞医药,600276,医药,2025-01-10T00:00:00+08:00,研发投入强度维持，管线推进不出现关键品种研发失败,恒瑞医药关于药品上市许可申请获受理的提示性公告,http://static.cninfo.com.cn/finalpage/2025-01-10/1222283951.PDF,,,,,,,,
135,G3-R-E041-H3,G3-E041,000538-H3,云南白药,000538,医药,2025-12-31T18:54:32+08:00,渠道与品牌投入保持，不出现商誉或投资大额减值,关于2026年度预计日常关联交易的公告,http://static.cninfo.com.cn/finalpage/2025-12-31/1224913542.PDF,,,,,,,,
136,G3-R-E103-H1,G3-E103,600276-H1,恒瑞医药,600276,医药,2025-07-18T00:00:00+08:00,创新药放量与授权合作收入接续仿制药集采下滑，研发管线持续推进,恒瑞医药关于获得药物临床试验批准通知书的公告,http://static.cninfo.com.cn/finalpage/2025-07-18/1224202262.PDF,,,,,,,,
137,G3-R-E098-H3,G3-E098,00175-H3,吉利汽车,00175,新能源汽车,2024-02-01T17:06:22+08:00,品牌与平台整合按计划推进，不出现大额整合损失,未经审核之二零二四年一月销量,http://static.cninfo.com.cn/finalpage/2024-02-01/1219065223.PDF,,,,,,,,
138,G3-R-E081-H3,G3-E081,09868-H3,小鹏汽车,09868,新能源汽车,2025-03-03T19:18:14+08:00,研发与产能投入可持续，现金流不出现明显恶化,自愿公告2025年2月智能车交付数据,http://static.cninfo.com.cn/finalpage/2025-03-03/1222693592.PDF,,,,,,,,
139,G3-R-E051-H3,G3-E051,688981-H3,中芯国际,688981,芯片半导体,2026-05-13T00:00:00+08:00,资本开支与扩产节奏匹配下游需求，先进制程投入不出现大额减值,中芯国际集成电路制造有限公司关于发行股份购买资产暨关联交易报告书修订说明的公告,http://static.cninfo.com.cn/finalpage/2026-05-13/1225300706.PDF,,,,,,,,
140,G3-R-E012-H3,G3-E012,00175-H3,吉利汽车,00175,新能源汽车,2025-06-01T18:06:28+08:00,品牌与平台整合按计划推进，不出现大额整合损失,未经审核之二零二五年五月销量,http://static.cninfo.com.cn/finalpage/2025-06-01/1223738489.PDF,,,,,,,,
141,G3-R-E103-H2,G3-E103,600276-H2,恒瑞医药,600276,医药,2025-07-18T00:00:00+08:00,创新药占比提升支撑高毛利率，集采降价不导致盈利持续恶化,恒瑞医药关于获得药物临床试验批准通知书的公告,http://static.cninfo.com.cn/finalpage/2025-07-18/1224202262.PDF,,,,,,,,
142,G3-R-E016-H1,G3-E016,00175-H1,吉利汽车,00175,新能源汽车,2025-10-01T23:59:59+08:00,新能源车型销量放量带动整体销量增长，出口贡献增量,未经审核之二零二五年九月销量,http://static.cninfo.com.cn/finalpage/2025-10-01/1224697779.PDF,,,,,,,,
143,G3-R-E092-H3,G3-E092,002594-H3,比亚迪,002594,新能源汽车,2024-01-30T00:00:00+08:00,海外工厂与产能扩张按计划落地，不出现大额投资减值,2023年度业绩预告,http://static.cninfo.com.cn/finalpage/2024-01-30/1219028933.PDF,,,,,,,,
144,G3-R-E107-H2,G3-E107,09868-H2,小鹏汽车,09868,新能源汽车,2025-08-22T21:24:11+08:00,毛利率随规模与技术服务收入改善，不回落到历史低位,重续持续关连交易 与广东汇天签订2026年合作框架协议,http://static.cninfo.com.cn/finalpage/2025-08-22/1224561663.PDF,,,,,,,,
145,G3-R-E067-H2,G3-E067,002371-H2,北方华创,002371,芯片半导体,2026-06-23T00:00:00+08:00,规模效应与国产化推进支撑毛利率，不因竞争加剧显著下滑,关于放弃参股公司增资优先认购权暨关联交易的公告,http://static.cninfo.com.cn/finalpage/2026-06-23/1225381704.PDF,,,,,,,,
146,G3-R-E052-H3,G3-E052,600276-H3,恒瑞医药,600276,医药,2025-03-17T00:00:00+08:00,研发投入强度维持，管线推进不出现关键品种研发失败,恒瑞医药关于获得药品注册证书的公告,http://static.cninfo.com.cn/finalpage/2025-03-17/1222816001.PDF,,,,,,,,
147,G3-R-E045-H1,G3-E045,600276-H1,恒瑞医药,600276,医药,2026-01-08T00:00:00+08:00,创新药放量与授权合作收入接续仿制药集采下滑，研发管线持续推进,恒瑞医药关于获得药品注册批准的公告,http://static.cninfo.com.cn/finalpage/2026-01-08/1224923160.PDF,,,,,,,,
148,G3-R-E073-H3,G3-E073,002594-H3,比亚迪,002594,新能源汽车,2025-10-09T00:00:00+08:00,海外工厂与产能扩张按计划落地，不出现大额投资减值,2025年9月产销快报,http://static.cninfo.com.cn/finalpage/2025-10-09/1224697528.PDF,,,,,,,,
149,G3-R-E043-H1,G3-E043,688981-H1,中芯国际,688981,芯片半导体,2026-05-15T00:00:00+08:00,成熟制程产能利用率与晶圆出货保持增长，国产替代需求是主要驱动,中芯国际2026年第一季度报告,http://static.cninfo.com.cn/finalpage/2026-05-15/1225307101.PDF,,,,,,,,
150,G3-R-E107-H3,G3-E107,09868-H3,小鹏汽车,09868,新能源汽车,2025-08-22T21:24:11+08:00,研发与产能投入可持续，现金流不出现明显恶化,重续持续关连交易 与广东汇天签订2026年合作框架协议,http://static.cninfo.com.cn/finalpage/2025-08-22/1224561663.PDF,,,,,,,,
151,G3-R-E092-H2,G3-E092,002594-H2,比亚迪,002594,新能源汽车,2024-01-30T00:00:00+08:00,规模效应与垂直一体化维持毛利率，价格战不导致盈利持续恶化,2023年度业绩预告,http://static.cninfo.com.cn/finalpage/2024-01-30/1219028933.PDF,,,,,,,,
152,G3-R-E100-H3,G3-E100,603986-H3,兆易创新,603986,芯片半导体,2026-05-27T00:00:00+08:00,新品研发与产能储备按计划推进，不出现存货大额跌价,兆易创新关于调整2024年股票期权激励计划相关事项的公告,http://static.cninfo.com.cn/finalpage/2026-05-27/1225331853.PDF,,,,,,,,
153,G3-R-E028-H2,G3-E028,09868-H2,小鹏汽车,09868,新能源汽车,2026-01-01T18:52:07+08:00,毛利率随规模与技术服务收入改善，不回落到历史低位,自愿公告2025年12 月及第四季度智能车交付数据,http://static.cninfo.com.cn/finalpage/2026-01-01/1224915704.PDF,,,,,,,,
154,G3-R-E105-H2,G3-E105,000538-H2,云南白药,000538,医药,2025-06-18T00:00:00+08:00,毛利率随产品结构与原料成本波动，不持续低于历史区间,2025-20 关于JZ-14胶囊获得药物临床试验批准的公告,http://static.cninfo.com.cn/finalpage/2025-06-18/1223899598.PDF,,,,,,,,
155,G3-R-E080-H2,G3-E080,600276-H2,恒瑞医药,600276,医药,2025-12-03T00:00:00+08:00,创新药占比提升支撑高毛利率，集采降价不导致盈利持续恶化,恒瑞医药关于药品上市许可申请获受理的提示性公告,http://static.cninfo.com.cn/finalpage/2025-12-03/1224843478.PDF,,,,,,,,
156,G3-R-E069-H2,G3-E069,002371-H2,北方华创,002371,芯片半导体,2024-02-29T00:00:00+08:00,规模效应与国产化推进支撑毛利率，不因竞争加剧显著下滑,关于2019年股票期权与限制性股票激励计划第三个行权期采用自主行权模式的提示性公告,http://static.cninfo.com.cn/finalpage/2024-02-29/1219208962.PDF,,,,,,,,
157,G3-R-E105-H3,G3-E105,000538-H3,云南白药,000538,医药,2025-06-18T00:00:00+08:00,渠道与品牌投入保持，不出现商誉或投资大额减值,2025-20 关于JZ-14胶囊获得药物临床试验批准的公告,http://static.cninfo.com.cn/finalpage/2025-06-18/1223899598.PDF,,,,,,,,
158,G3-R-E060-H3,G3-E060,002594-H3,比亚迪,002594,新能源汽车,2024-12-02T00:00:00+08:00,海外工厂与产能扩张按计划落地，不出现大额投资减值,2024年11月产销快报,http://static.cninfo.com.cn/finalpage/2024-12-02/1221902564.PDF,,,,,,,,
159,G3-R-E112-H1,G3-E112,603259-H1,药明康德,603259,医药,2025-09-03T00:00:00+08:00,CXO 订单与在手订单随全球创新药研发投入回暖恢复增长,关于与关联方签署框架协议暨日常关联交易的公告,http://static.cninfo.com.cn/finalpage/2025-09-03/1224634480.PDF,,,,,,,,
160,G3-R-E109-H2,G3-E109,09868-H2,小鹏汽车,09868,新能源汽车,2024-10-02T23:59:59+08:00,毛利率随规模与技术服务收入改善，不回落到历史低位,自愿公告 2024年9月及第三季度智能车交付数据,http://static.cninfo.com.cn/finalpage/2024-10-02/1221335028.PDF,,,,,,,,
161,G3-R-E089-H3,G3-E089,603259-H3,药明康德,603259,医药,2024-01-30T00:00:00+08:00,新增产能与地缘政治风险可控，海外基地建设按计划推进,关于对无锡药明康德新药开发股份有限公司股票交易异常波动问询函的回复,http://static.cninfo.com.cn/finalpage/2024-01-30/1219029800.PDF,,,,,,,,
162,G3-R-E021-H1,G3-E021,600276-H1,恒瑞医药,600276,医药,2025-12-08T00:00:00+08:00,创新药放量与授权合作收入接续仿制药集采下滑，研发管线持续推进,恒瑞医药关于公司药品纳入国家医保目录的公告,http://static.cninfo.com.cn/finalpage/2025-12-08/1224856686.PDF,,,,,,,,
163,G3-R-E069-H3,G3-E069,002371-H3,北方华创,002371,芯片半导体,2024-02-29T00:00:00+08:00,产能与交付能力跟上订单增长，合同负债转化不出现明显滞后,关于2019年股票期权与限制性股票激励计划第三个行权期采用自主行权模式的提示性公告,http://static.cninfo.com.cn/finalpage/2024-02-29/1219208962.PDF,,,,,,,,
164,G3-R-E067-H3,G3-E067,002371-H3,北方华创,002371,芯片半导体,2026-06-23T00:00:00+08:00,产能与交付能力跟上订单增长，合同负债转化不出现明显滞后,关于放弃参股公司增资优先认购权暨关联交易的公告,http://static.cninfo.com.cn/finalpage/2026-06-23/1225381704.PDF,,,,,,,,
165,G3-R-E028-H3,G3-E028,09868-H3,小鹏汽车,09868,新能源汽车,2026-01-01T18:52:07+08:00,研发与产能投入可持续，现金流不出现明显恶化,自愿公告2025年12 月及第四季度智能车交付数据,http://static.cninfo.com.cn/finalpage/2026-01-01/1224915704.PDF,,,,,,,,
166,G3-R-E048-H3,G3-E048,00175-H3,吉利汽车,00175,新能源汽车,2025-11-27T16:36:09+08:00,品牌与平台整合按计划推进，不出现大额整合损失,持续关连交易,http://static.cninfo.com.cn/finalpage/2025-11-27/1224830298.PDF,,,,,,,,
167,G3-R-E071-H2,G3-E071,603986-H2,兆易创新,603986,芯片半导体,2025-04-26T00:00:00+08:00,毛利率随产品结构改善回升，不因存储价格波动持续走低,兆易创新关于使用闲置募集资金进行现金管理的公告,http://static.cninfo.com.cn/finalpage/2025-04-26/1223305106.PDF,,,,,,,,
168,G3-R-E059-H1,G3-E059,002371-H1,北方华创,002371,芯片半导体,2025-10-31T00:00:00+08:00,半导体设备订单随晶圆厂扩产与国产化率提升保持增长,募集资金管理办法（2025年10月),http://static.cninfo.com.cn/finalpage/2025-10-31/1224774330.PDF,,,,,,,,
169,G3-R-E005-H3,G3-E005,00175-H3,吉利汽车,00175,新能源汽车,2026-07-01T18:12:27+08:00,品牌与平台整合按计划推进，不出现大额整合损失,未经审核之二零二六年六月销量,http://static.cninfo.com.cn/finalpage/2026-07-01/1225403705.PDF,,,,,,,,
170,G3-R-E070-H1,G3-E070,600276-H1,恒瑞医药,600276,医药,2024-04-10T00:00:00+08:00,创新药放量与授权合作收入接续仿制药集采下滑，研发管线持续推进,恒瑞医药关于获得药物临床试验批准通知书的公告,http://static.cninfo.com.cn/finalpage/2024-04-10/1219549275.PDF,,,,,,,,
171,G3-R-E068-H1,G3-E068,002594-H1,比亚迪,002594,新能源汽车,2026-04-02T00:00:00+08:00,新能源汽车销量保持增长，出口占比提升对冲国内价格压力,2026年3月产销快报,http://static.cninfo.com.cn/finalpage/2026-04-02/1225072597.PDF,,,,,,,,
172,G3-R-E064-H2,G3-E064,00175-H2,吉利汽车,00175,新能源汽车,2025-02-14T16:36:12+08:00,平台化与规模效应改善毛利率，新能源转型不持续拖累盈利,完成须予披露及关连交易(1)极氪收购领克销售股份；及(2)极氪认购领克新增资本,http://static.cninfo.com.cn/finalpage/2025-02-14/1222544267.PDF,,,,,,,,
173,G3-R-E033-H2,G3-E033,603259-H2,药明康德,603259,医药,2024-03-09T00:00:00+08:00,产能利用率与项目结构支撑毛利率，不因价格竞争持续走低,关于回购注销部分股票通知债权人的公告,http://static.cninfo.com.cn/finalpage/2024-03-09/1219267101.PDF,,,,,,,,
174,G3-R-E021-H3,G3-E021,600276-H3,恒瑞医药,600276,医药,2025-12-08T00:00:00+08:00,研发投入强度维持，管线推进不出现关键品种研发失败,恒瑞医药关于公司药品纳入国家医保目录的公告,http://static.cninfo.com.cn/finalpage/2025-12-08/1224856686.PDF,,,,,,,,
175,G3-R-E110-H2,G3-E110,688981-H2,中芯国际,688981,芯片半导体,2025-12-30T00:00:00+08:00,毛利率随产能利用率回升，折旧压力不导致盈利持续恶化,独立董事关于发行股份购买资产暨关联交易相关事项的的独立意见,http://static.cninfo.com.cn/finalpage/2025-12-30/1224907027.PDF,,,,,,,,
176,G3-R-E086-H3,G3-E086,600276-H3,恒瑞医药,600276,医药,2026-05-20T00:00:00+08:00,研发投入强度维持，管线推进不出现关键品种研发失败,恒瑞医药关于获得药品注册批准的公告,http://static.cninfo.com.cn/finalpage/2026-05-20/1225315769.PDF,,,,,,,,
177,G3-R-E031-H1,G3-E031,603259-H1,药明康德,603259,医药,2024-01-03T00:00:00+08:00,CXO 订单与在手订单随全球创新药研发投入回暖恢复增长,关于2019年限制性股票与股票期权激励计划首次授予股票期权2023年第四季度自主行权结果暨股份变动公告,http://static.cninfo.com.cn/finalpage/2024-01-03/1218791594.PDF,,,,,,,,
178,G3-R-E118-H2,G3-E118,603986-H2,兆易创新,603986,芯片半导体,2025-08-23T00:00:00+08:00,毛利率随产品结构改善回升，不因存储价格波动持续走低,兆易创新2025年半年度报告摘要,http://static.cninfo.com.cn/finalpage/2025-08-23/1224559705.PDF,,,,,,,,
179,G3-R-E055-H1,G3-E055,09868-H1,小鹏汽车,09868,新能源汽车,2024-08-13T20:06:10+08:00,智能车交付量保持增长，新车型周期带动需求回升,自愿公告 – 收购滴滴智能汽车开发业务资产的SOP交割及发行SOP对价股份,http://static.cninfo.com.cn/finalpage/2024-08-13/1220863060.PDF,,,,,,,,
180,G3-R-E014-H3,G3-E014,09868-H3,小鹏汽车,09868,新能源汽车,2024-04-02T12:07:33+08:00,研发与产能投入可持续，现金流不出现明显恶化,自愿公告 2024年3月及第一季度智能车交付数据,http://static.cninfo.com.cn/finalpage/2024-04-02/1219499685.PDF,,,,,,,,
