序号,样本ID,公司,证券代码,行业,市场,披露时间,时间精度,公告标题,原文链接,核心观点,H1-需求与出货,H2-盈利质量,H3-产能与扩张,事件摘要,事件类别,主要关联假设,影响方向,影响强度,直接性,关键证据原文,判断理由,置信度,数据问题,标注人ID,标注时间,gold_source,gold_version
63,G3-E098,吉利汽车,00175,新能源汽车,港股,2024-02-01T17:06:22+08:00,精确,未经审核之二零二四年一月销量,http://static.cninfo.com.cn/finalpage/2024-02-01/1219065223.PDF,新能源转型见效，销量与出口双增长支撑收入，平台整合与毛利率改善是核心观察点。港股披露频率低于 A 股,新能源车型销量放量带动整体销量增长，出口贡献增量,平台化与规模效应改善毛利率，新能源转型不持续拖累盈利,品牌与平台整合按计划推进，不出现大额整合损失,"公司披露未经审核之二零二四年一月销量，核心事实为：LE HOLDINGS LIMITED 未經審核之二零二四年一月銷量 吉利汽車控股有限公司(「本公司」，連同其附屬公司統稱為「本集團」）董事會欣然宣佈， 本集團於二零二四 年一月之總銷量為213,487 部汽車，較去年同期增長約 110%，為本集團 歷史新高。詳細如下： 品牌 本月 （部） 去年同期 （部） 同比變動…",产销/需求,H1-需求与出货,支持,高,直接,"第1页：LE HOLDINGS LIMITED 未經審核之二零二四年一月銷量 吉利汽車控股有限公司(「本公司」，連同其附屬公司統稱為「本集團」）董事會欣然宣佈， 本集團於二零二四 年一月之總銷量為213,487 部汽車，較去年同期增長約 110%，為本集團 歷史新高。詳細如下： 品牌 本月 （部） 去年同期 （部） 同比變動 (%) 今年累計 （部） 去年同期累計 （部） 同比變動 (%) 吉利 172,774 87,255 98 172,774 87,255 98 其中：銀河 19,223 - - 19,223 - - 極氪 12,537 3,116 302 12,537 3,116 302 領克附…",该事实直接观察到相关指标或里程碑，提高“新能源车型销量放量带动整体销量增长，出口贡献增量”的可信度。,5,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
64,G3-E103,恒瑞医药,600276,医药,A股,2025-07-18T00:00:00+08:00,仅日期（按盘后处理）,恒瑞医药关于获得药物临床试验批准通知书的公告,http://static.cninfo.com.cn/finalpage/2025-07-18/1224202262.PDF,创新药转型期，创新药放量与对外授权接续仿制药集采缺口，毛利率高但集采与研发成败是关键观察点,创新药放量与授权合作收入接续仿制药集采下滑，研发管线持续推进,创新药占比提升支撑高毛利率，集采降价不导致盈利持续恶化,研发投入强度维持，管线推进不出现关键品种研发失败,公司披露恒瑞医药关于获得药物临床试验批准通知书的公告，核心事实为：证券代码：600276 证券简称：恒瑞医药 公告编号：临 2025-102 江苏恒瑞医药股份有限公司 关于获得药物临床试验批准通知书的公告 本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述 或者重大遗漏，并对其内容的真实性、准确性和完整性承担法律责任。 近日，江苏恒瑞医药股份有限公司（以下简称“公司”…,研发/注册,H3-产能与扩张,支持,中,直接,第1页：证券代码：600276 证券简称：恒瑞医药 公告编号：临 2025-102 江苏恒瑞医药股份有限公司 关于获得药物临床试验批准通知书的公告 本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述 或者重大遗漏，并对其内容的真实性、准确性和完整性承担法律责任。 近日，江苏恒瑞医药股份有限公司（以下简称“公司”）子公司苏州盛迪亚 生物医药有限公司收到国家药品监督管理局（以下简称“国家药监局”）核准签 发关于 SHR-8068 注射液的《药物临床试验批准通知书》，将于近期开展临床试 验。现将相关情况公告如下： 一、药物的基本情况 药物名称：SHR-8068 注射液 剂 型：注射剂 申请事…,该事实直接观察到相关指标或里程碑，提高“研发投入强度维持，管线推进不出现关键品种研发失败”的可信度。,5,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
65,G3-E075,药明康德,603259,医药,A股,2026-04-28T00:00:00+08:00,仅日期（按盘后处理）,2026年第一季度报告,http://static.cninfo.com.cn/finalpage/2026-04-28/1225200544.PDF,全球医药研发外包龙头，订单随创新药投入周期波动，地缘政治与产能利用率是核心风险点,CXO 订单与在手订单随全球创新药研发投入回暖恢复增长,产能利用率与项目结构支撑毛利率，不因价格竞争持续走低,新增产能与地缘政治风险可控，海外基地建设按计划推进,"公司披露2026年第一季度报告，核心事实为：客户从药物发现、开发 到生产的服务需求。 一、主要财务数据 （一）主要会计数据和财务指标 单位：元 币种：人民币 项目 本报告期 上年同期 本报告期比上年同 期增减变动幅度(%) 营业收入 12,435,776,568.29 9,654,595,304.28 28.81 利润总额 5,607,280,256.21 4,…",收入/利润,H1-需求与出货,支持,高,直接,"第2页：客户从药物发现、开发 到生产的服务需求。 一、主要财务数据 （一）主要会计数据和财务指标 单位：元 币种：人民币 项目 本报告期 上年同期 本报告期比上年同 期增减变动幅度(%) 营业收入 12,435,776,568.29 9,654,595,304.28 28.81 利润总额 5,607,280,256.21 4,279,893,550.88 31.01 归属于上市公司股东的净利润 4,651,517,987.76 3,671,960,950.47 26.68 归属于上市公司股东的扣除非 经常性损益的净利润 4,275,624,429.82 2,329,266,627.00 83.56 经…",一季度收入同比增长28.81%、持续经营业务在手订单同比增长23.6%，在手订单是最直接的需求验证，且增幅显著，因此主要关联H1并构成高强度支持。,5,无,ADJ-CODEX-FIN-01,2026-08-26T16:23:44+08:00,adjudicated,final-gold-v3-20260826
66,G3-E069,北方华创,002371,芯片半导体,A股,2024-02-29T00:00:00+08:00,仅日期（按盘后处理）,关于2019年股票期权与限制性股票激励计划第三个行权期采用自主行权模式的提示性公告,http://static.cninfo.com.cn/finalpage/2024-02-29/1219208962.PDF,前道设备国产化核心标的，晶圆厂扩产与国产化率提升支撑订单与收入，需跟踪毛利率与交付节奏,半导体设备订单随晶圆厂扩产与国产化率提升保持增长,规模效应与国产化推进支撑毛利率，不因竞争加剧显著下滑,产能与交付能力跟上订单增长，合同负债转化不出现明显滞后,公告披露关于2019年股票期权与限制性股票激励计划第三个行权期采用自主行权模式的提示性公告相关的治理、证券或程序性事项，未形成新的核心经营结果。,治理/其他,无关,无关,不适用,不适用,第1页：特别提示： 1.公司 2019 年股权激励计划期权代码：037855；,该事项未新增销量、收入、毛利率、研发里程碑、产能或重大减值等核心指标，不改变三条投资假设。,5,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
67,G3-E002,药明康德,603259,医药,A股,2025-10-27T00:00:00+08:00,仅日期（按盘后处理）,2025年第三季度报告,http://static.cninfo.com.cn/finalpage/2025-10-27/1224737987.PDF,全球医药研发外包龙头，订单随创新药投入周期波动，地缘政治与产能利用率是核心风险点,CXO 订单与在手订单随全球创新药研发投入回暖恢复增长,产能利用率与项目结构支撑毛利率，不因价格竞争持续走低,新增产能与地缘政治风险可控，海外基地建设按计划推进,"公司披露2025年第三季度报告，核心事实为：一） 主要会计数据和财务指标 单位：元 币种：人民币 项目 本报告期 本报告期 比上年同 期增减变 动幅度(%) 年初至报告期末 年初至报告期 末比上年同期 增减变动幅度 (%) 营业收入 12,057,434,626.40 15.26 32,856,716,508.86 18.61 利润总额 5,129,651,79…",收入/利润,H2-盈利质量,支持,高,直接,"第3页：一） 主要会计数据和财务指标 单位：元 币种：人民币 项目 本报告期 本报告期 比上年同 期增减变 动幅度(%) 年初至报告期末 年初至报告期 末比上年同期 增减变动幅度 (%) 营业收入 12,057,434,626.40 15.26 32,856,716,508.86 18.61 利润总额 5,129,651,792.47 82.89 15,037,068,350.44 91.45 归属于上市公司股东的净 利润 3,514,630,329.36 53.27 12,075,512,956.92 84.84 归属于上市公司股东的扣 除非经常性损益的净利润 3,940,286,547.04 73…",前三季度收入同比增长18.61%，归母净利润同比增长84.84%，利润增速显著高于收入，直接增强盈利质量假设；属于可直接判断核心财务结果的高强度证据。,5,无,ADJ-CODEX-FIN-01,2026-08-26T16:23:44+08:00,adjudicated,final-gold-v3-20260826
68,G3-E023,兆易创新,603986,芯片半导体,A股,2025-10-29T00:00:00+08:00,仅日期（按盘后处理）,兆易创新第五届董事会第六次会议决议公告,http://static.cninfo.com.cn/finalpage/2025-10-29/1224754268.PDF,存储与 MCU 设计商，需求随下游复苏与库存去化回升，毛利率对存储价格周期高度敏感，需跟踪产品结构,存储与 MCU 需求随消费电子与工业复苏回升，库存周期见底,毛利率随产品结构改善回升，不因存储价格波动持续走低,新品研发与产能储备按计划推进，不出现存货大额跌价,公告披露兆易创新第五届董事会第六次会议决议公告相关的治理、证券或程序性事项，未形成新的核心经营结果。,治理/其他,无关,无关,不适用,不适用,第1页：兆易创新科技集团股份有限公司（以下简称公司）第五届董事会第六次会议 的会议通知和材料已于 2025 年 10 月 23 日以电子邮件方式发出，会议于 2025 年 10 月 28 日以现场结合通讯方式召开。,该事项未新增销量、收入、毛利率、研发里程碑、产能或重大减值等核心指标，不改变三条投资假设。,5,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
69,G3-E105,云南白药,000538,医药,A股,2025-06-18T00:00:00+08:00,仅日期（按盘后处理）,2025-20 关于JZ-14胶囊获得药物临床试验批准的公告,http://static.cninfo.com.cn/finalpage/2025-06-18/1223899598.PDF,中药与健康消费品，增长平稳，毛利率与渠道结构是主要观察点，历史上曾因证券投资造成业绩波动,工业药品与健康品渠道保持稳定，不出现持续负增长,毛利率随产品结构与原料成本波动，不持续低于历史区间,渠道与品牌投入保持，不出现商誉或投资大额减值,公司披露2025-20 关于JZ-14胶囊获得药物临床试验批准的公告，核心事实为：1/2 股票代码：000538 股票简称：云南白药 公告编号：2025-20 云南白药集团股份有限公司 关于 JZ-14 胶囊获得药物临床试验批准的公告 本公司及董事会全体成员保证信息披露的内容真实、准确、完整，没有虚 假记载、误导性陈述或重大遗漏。 云南白药集团股份有限公司（以下简称“公司”）控股子公司云白药征武 科…,研发/注册,无关,无关,不适用,不适用,第1页：1/2 股票代码：000538 股票简称：云南白药 公告编号：2025-20 云南白药集团股份有限公司 关于 JZ-14 胶囊获得药物临床试验批准的公告 本公司及董事会全体成员保证信息披露的内容真实、准确、完整，没有虚 假记载、误导性陈述或重大遗漏。 云南白药集团股份有限公司（以下简称“公司”）控股子公司云白药征武 科技（上海）有限公司（以下简称“征武科技”）于近日收到国家药品监督管 理局下发的《药物临床试验批准通知书》（通知书编号： 2025LP01506、 2025LP01507）。经审查，征武科技的 JZ-14 胶囊（以下简称“本品”）临床 试验申请符合药品注册的有关要求，同意本品开展溃…,JZ-14胶囊仅获准开展临床试验，未产生销量、渠道、毛利率、品牌投入或减值等结果；与云南白药冻结的三条投资假设缺乏足够直接关系。,4,无,ADJ-CODEX-FIN-01,2026-08-26T16:23:44+08:00,adjudicated,final-gold-v3-20260826
70,G3-E055,小鹏汽车,09868,新能源汽车,港股,2024-08-13T20:06:10+08:00,精确,自愿公告 – 收购滴滴智能汽车开发业务资产的SOP交割及发行SOP对价股份,http://static.cninfo.com.cn/finalpage/2024-08-13/1220863060.PDF,新势力整车厂，交付量与车型周期决定收入，毛利率从负值修复中，盈利质量仍是主要风险。港股仅披露中报与年报，季度颗粒度不足,智能车交付量保持增长，新车型周期带动需求回升,毛利率随规模与技术服务收入改善，不回落到历史低位,研发与产能投入可持续，现金流不出现明显恶化,公司披露自愿公告 – 收购滴滴智能汽车开发业务资产的SOP交割及发行SOP对价股份，核心事实为：的智能汽車開發業務資産及首次交割。除非本公告另有界定，否則 本公告所用詞彙與本公司日期為2023年8月28日之公告所界定者具有相同涵義。 收購的SOP交割 董事會欣然宣佈，本公司已於2024年7月30日開始生產量產車輛Mona以向普通客戶銷售和交付，因此 股份購買協議項下的SOP里程碑已達成。自2024年8月1日起，智…,产销/需求,H1-需求与出货,支持,中,间接,"第1页：的智能汽車開發業務資産及首次交割。除非本公告另有界定，否則 本公告所用詞彙與本公司日期為2023年8月28日之公告所界定者具有相同涵義。 收購的SOP交割 董事會欣然宣佈，本公司已於2024年7月30日開始生產量產車輛Mona以向普通客戶銷售和交付，因此 股份購買協議項下的SOP里程碑已達成。自2024年8月1日起，智能純電掀背轎跑小鵬MONA M03的首 批展車已陸續抵達全國的小鵬汽車展廳。相應地，SOP交割已於2024年8月13日發生。 根據股份購買協議，本公司已向滴滴配發及發行4,636,447股A類普通股作為SOP對價股份，佔本公司 按照經配發及發行SOP對價股份擴大後本公司已發行且發…",MONA已开始量产并进入展厅，且SOP交割里程碑完成，直接体现新车型周期推进；对后续需求和交付增长仍需销售兑现，故为间接、中强度支持。,5,无,ADJ-CODEX-FIN-01,2026-08-26T16:23:44+08:00,adjudicated,final-gold-v3-20260826
71,G3-E062,吉利汽车,00175,新能源汽车,港股,2025-10-06T23:59:59+08:00,精确,翌日披露报表,http://static.cninfo.com.cn/finalpage/2025-10-06/1224700096.PDF,新能源转型见效，销量与出口双增长支撑收入，平台整合与毛利率改善是核心观察点。港股披露频率低于 A 股,新能源车型销量放量带动整体销量增长，出口贡献增量,平台化与规模效应改善毛利率，新能源转型不持续拖累盈利,品牌与平台整合按计划推进，不出现大额整合损失,公告披露翌日披露报表相关的治理、证券或程序性事项，未形成新的核心经营结果。,治理/其他,无关,无关,不适用,不适用,"第1页：FF305 ∉  ၵರ஼੝Ḹі ٺܢ ⦁ğௐ ⊯Ⅲğࢌ ඳ଀Ẁğඳ ರ௹ğ ୍ᄅರ  ඳ(&.⊈ಊ ၂ᅣᾳb ၂ᅣᾳ ٳٺܢܢ⦁ ҂ℳႨ෮ഈ൧ ൞ ⊈ಊսὂ ೂഈ൧  䪌ૼ Ἰ⚙⊈ಊսὂ  3.# 䪌ૼ ṉọ ࡱ Ďṉọ Ď⅂ ଢ Ⴕၘứ ܢ б 䩏 ṉọ ଢ ứྛԛ൲ᾁ 䩏 ⊺⅂ ᾵թ 䩏 ୍ᄅರ          ௹⃴ ܢ ί὏ ᧄ୍ᄅರὤ ٺܢܢ ṉọರ௹ ୍ᄅರ     ),%  ୍ᄅರ …",该事项未新增销量、收入、毛利率、研发里程碑、产能或重大减值等核心指标，不改变三条投资假设。,5,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
72,G3-E113,比亚迪,002594,新能源汽车,A股,2025-11-03T00:00:00+08:00,仅日期（按盘后处理）,2025年10月产销快报,http://static.cninfo.com.cn/finalpage/2025-11-03/1224781922.PDF,新能源汽车销量与出口结构改善支撑收入，垂直一体化对冲价格战，需跟踪毛利率与海外扩张落地,新能源汽车销量保持增长，出口占比提升对冲国内价格压力,规模效应与垂直一体化维持毛利率，价格战不导致盈利持续恶化,海外工厂与产能扩张按计划落地，不出现大额投资减值,"公司披露2025年10月产销快报，核心事实为：有虚假记载、误导性陈述或重大遗漏。 比亚迪股份有限公司(以下简称“本公司”)2025年10月产销快报数据如下： 单位：辆 产量 销量 项目类别 本月 去年同期 本年累计 去年累计 累计同比 本月 去年同期 本年累计 去年累计 累计同比 新能源汽车 429,808 536,134 3,643,377 3,297,044…",产销/需求,H1-需求与出货,中性,中,直接,"第1页：有虚假记载、误导性陈述或重大遗漏。 比亚迪股份有限公司(以下简称“本公司”)2025年10月产销快报数据如下： 单位：辆 产量 销量 项目类别 本月 去年同期 本年累计 去年累计 累计同比 本月 去年同期 本年累计 去年累计 累计同比 新能源汽车 429,808 536,134 3,643,377 3,297,044 10.50% 441,706 502,657 3,701,852 3,250,532 13.88% -乘用车 424,174 534,003 3,595,640 3,283,439 9.51% 436,856 500,526 3,655,718 3,236,927 12.94%…",前十月新能源汽车累计销量同比增长13.88%，但10月单月销量同比下降约12.1%，累计增长与当月明显回落并存，故方向中性、强度中。,5,无,ADJ-CODEX-FIN-01,2026-08-26T16:23:44+08:00,adjudicated,final-gold-v3-20260826
73,G3-E022,比亚迪,002594,新能源汽车,A股,2025-03-18T00:00:00+08:00,仅日期（按盘后处理）,公司章程（2025年3月）,http://static.cninfo.com.cn/finalpage/2025-03-18/1222822328.PDF,新能源汽车销量与出口结构改善支撑收入，垂直一体化对冲价格战，需跟踪毛利率与海外扩张落地,新能源汽车销量保持增长，出口占比提升对冲国内价格压力,规模效应与垂直一体化维持毛利率，价格战不导致盈利持续恶化,海外工厂与产能扩张按计划落地，不出现大额投资减值,公告披露公司章程（2025年3月）相关的治理、证券或程序性事项，未形成新的核心经营结果。,治理/其他,无关,无关,不适用,不适用,第1页：1 比亚迪股份有限公司章程 （一间于中华人民共和国成立之股份有限公司） 2025 年 3 月,该事项未新增销量、收入、毛利率、研发里程碑、产能或重大减值等核心指标，不改变三条投资假设。,5,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
74,G3-E096,药明康德,603259,医药,A股,2026-08-04T00:00:00+08:00,仅日期（按盘后处理）,2026年A股员工持股计划（草案）摘要公告,http://static.cninfo.com.cn/finalpage/2026-08-04/1225455026.PDF,全球医药研发外包龙头，订单随创新药投入周期波动，地缘政治与产能利用率是核心风险点,CXO 订单与在手订单随全球创新药研发投入回暖恢复增长,产能利用率与项目结构支撑毛利率，不因价格竞争持续走低,新增产能与地缘政治风险可控，海外基地建设按计划推进,公告披露2026年A股员工持股计划（草案）摘要公告相关的治理、证券或程序性事项，未形成新的核心经营结果。,治理/其他,无关,无关,不适用,不适用,"第1页：重要内容提示： 预计参与员工持股计划对象 范围及人数 预计参与对象范围：管理人员及核心技术骨干 预计参与人数：不超过 4,000人 董事、高管参与认购情况 是否有董事、高管参与认购□是否 员工持股计划资金来源及规 模 □员工薪酬：_____________ □自筹资金：_____________ 其他：本员工持股计划的资金来源为公司提 取的长期激励基金，即公司根据薪酬相关管理 规定所计提的专项激励基金合计不超过 1,000,002,891.48元 员工持股计划股份来源及预 计规模 公司回购股票：预计不超过 9,701,231股 □二级市场购买：_____________ □认购向特定对象…",该事项未新增销量、收入、毛利率、研发里程碑、产能或重大减值等核心指标，不改变三条投资假设。,5,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
75,G3-E090,中芯国际,688981,芯片半导体,A股,2026-01-28T00:00:00+08:00,仅日期（按盘后处理）,中芯国际关于召开2025年第四季度业绩说明会的预告公告,http://static.cninfo.com.cn/finalpage/2026-01-28/1224952956.PDF,成熟制程代工龙头，国产替代与产能利用率回升支撑收入，折旧与价格压力是盈利的主要观察点,成熟制程产能利用率与晶圆出货保持增长，国产替代需求是主要驱动,毛利率随产能利用率回升，折旧压力不导致盈利持续恶化,资本开支与扩产节奏匹配下游需求，先进制程投入不出现大额减值,公告披露中芯国际关于召开2025年第四季度业绩说明会的预告公告相关的治理、证券或程序性事项，未形成新的核心经营结果。,治理/其他,无关,无关,不适用,不适用,第1页：重要事项提示：  会议召开时间：2026年2月11日（星期三）上午8:30-9:30  会议召开方式：网络/电话会议 一、说明会类型 中芯国际集成电路制造有限公司（以下简称“公司”）将于2026年2月10日 交易时段后披露公司2025年第四季度业绩，相关内容请详见上海证券交易所网 站（http://www.sse.com.cn/）及香港交易所网站（https://www.hkex.com.hk/）。,该事项未新增销量、收入、毛利率、研发里程碑、产能或重大减值等核心指标，不改变三条投资假设。,5,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
76,G3-E030,恒瑞医药,600276,医药,A股,2026-01-06T00:00:00+08:00,仅日期（按盘后处理）,恒瑞医药关于获得药物临床试验批准通知书的公告,http://static.cninfo.com.cn/finalpage/2026-01-06/1224919037.PDF,创新药转型期，创新药放量与对外授权接续仿制药集采缺口，毛利率高但集采与研发成败是关键观察点,创新药放量与授权合作收入接续仿制药集采下滑，研发管线持续推进,创新药占比提升支撑高毛利率，集采降价不导致盈利持续恶化,研发投入强度维持，管线推进不出现关键品种研发失败,公司披露恒瑞医药关于获得药物临床试验批准通知书的公告，核心事实为：证券代码：600276 证券简称：恒瑞医药 公告编号：临 2026-002 江苏恒瑞医药股份有限公司 关于获得药物临床试验批准通知书的公告 本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述 或者重大遗漏，并对其内容的真实性、准确性和完整性承担法律责任。 近日，江苏恒瑞医药股份有限公司（以下简称“公司”…,研发/注册,H3-产能与扩张,支持,中,直接,第1页：证券代码：600276 证券简称：恒瑞医药 公告编号：临 2026-002 江苏恒瑞医药股份有限公司 关于获得药物临床试验批准通知书的公告 本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述 或者重大遗漏，并对其内容的真实性、准确性和完整性承担法律责任。 近日，江苏恒瑞医药股份有限公司（以下简称“公司”）子公司福建盛迪医 药有限公司收到国家药品监督管理局（以下简称“国家药监局”）核准签发关于 HRS9531 注射液、HRS-5817 注射液的《药物临床试验批准通知书》，将于近期开 展临床试验。现将相关情况公告如下： 一、药物的基本情况 药物名称 HRS9531 注射液 HRS-…,该事实直接观察到相关指标或里程碑，提高“研发投入强度维持，管线推进不出现关键品种研发失败”的可信度。,5,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
77,G3-E109,小鹏汽车,09868,新能源汽车,港股,2024-10-02T23:59:59+08:00,精确,自愿公告 2024年9月及第三季度智能车交付数据,http://static.cninfo.com.cn/finalpage/2024-10-02/1221335028.PDF,新势力整车厂，交付量与车型周期决定收入，毛利率从负值修复中，盈利质量仍是主要风险。港股仅披露中报与年报，季度颗粒度不足,智能车交付量保持增长，新车型周期带动需求回升,毛利率随规模与技术服务收入改善，不回落到历史低位,研发与产能投入可持续，现金流不出现明显恶化,公司披露自愿公告 2024年9月及第三季度智能车交付数据，核心事实为：責，對其準確性或完整性亦 不發表聲明，並明確表示概不會就本公告全部或任何部分內容而產生或因依賴該等內容而引致之任何損失 承擔任何責任。 自願公告 2024 年9 月及第三季度智能車交付數據 XPeng Inc. （「本公司」或「小鵬汽車」）之董事會欣然宣佈其2024年9月及第三季度 車輛交付數據。 2024年9月，小鵬…,产销/需求,H1-需求与出货,支持,高,直接,"第1页：責，對其準確性或完整性亦 不發表聲明，並明確表示概不會就本公告全部或任何部分內容而產生或因依賴該等內容而引致之任何損失 承擔任何責任。 自願公告 2024 年9 月及第三季度智能車交付數據 XPeng Inc. （「本公司」或「小鵬汽車」）之董事會欣然宣佈其2024年9月及第三季度 車輛交付數據。 2024年9月，小鵬汽車共交付智能電動汽車21,352輛，創下了月度交付量的新紀錄，同 比增長39%，環比增長52%。同時，小鵬MONA M03 的首月交付量超過了10,000輛。 2024年前九個月，小鵬汽車共交付了智能電動汽車98,561輛，较去年同期增長了21%。 憑藉豐富的優質配置和具有競爭…",该事实直接观察到相关指标或里程碑，提高“智能车交付量保持增长，新车型周期带动需求回升”的可信度。,5,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
78,G3-E019,比亚迪,002594,新能源汽车,A股,2026-03-03T00:00:00+08:00,仅日期（按盘后处理）,H股公告（股份发行人及根据《上市规则》第十九B章上市的香港预托证券发行人的证券变动月报表）,http://static.cninfo.com.cn/finalpage/2026-03-03/1224992511.PDF,新能源汽车销量与出口结构改善支撑收入，垂直一体化对冲价格战，需跟踪毛利率与海外扩张落地,新能源汽车销量保持增长，出口占比提升对冲国内价格压力,规模效应与垂直一体化维持毛利率，价格战不导致盈利持续恶化,海外工厂与产能扩张按计划落地，不出现大额投资减值,公告披露H股公告（股份发行人及根据《上市规则》第十九B章上市的香港预托证券发行人的证券变动月报表）相关的治理、证券或程序性事项，未形成新的核心经营结果。,治理/其他,无关,无关,不适用,不适用,"第1页：FF301 ∉  ⊈ಊṉọᄅḸі ٺ୍ᄅರ ⊯Ⅲࢌ ඳ ඳ଀Ẁඳ ರ௹ ୍ᄅರ Чṉọ ٳٺܢܢ⦁ )෮ഈ൧ 䩏 ൞ ⊈ಊսὂ ೂഈ൧  䪌ૼ Ἰ⚙⊈ಊսὂ  3.# 䪌ૼ ଢ ૫ᆴЧ ᾵թ     3.#  3.#     㦆ഒ  3.# ᾵թ     3.#  3.#     ٳٺܢܢ⦁ ""෮ഈ൧ 䩏 ڎ ⊈ಊսὂ ೂഈ൧  䪌ૼ ଢ ૫ᆴЧ ᾵թ     3.#  3.#    …",该事项未新增销量、收入、毛利率、研发里程碑、产能或重大减值等核心指标，不改变三条投资假设。,5,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
79,G3-E020,云南白药,000538,医药,A股,2026-02-11T00:00:00+08:00,仅日期（按盘后处理）,关于聘任中药战略科学家、首席科学家的自愿性信息披露公告,http://static.cninfo.com.cn/finalpage/2026-02-11/1224975081.PDF,中药与健康消费品，增长平稳，毛利率与渠道结构是主要观察点，历史上曾因证券投资造成业绩波动,工业药品与健康品渠道保持稳定，不出现持续负增长,毛利率随产品结构与原料成本波动，不持续低于历史区间,渠道与品牌投入保持，不出现商誉或投资大额减值,公告披露关于聘任中药战略科学家、首席科学家的自愿性信息披露公告相关的治理、证券或程序性事项，未形成新的核心经营结果。,治理/其他,无关,无关,不适用,不适用,第1页：为加快构建云南白药集团股份有限公司（以下简称“公司”）现代化研 发体系及能力，统筹打好“中药”和“创新药”两张牌，推动传统中医药与 现代科技深度融合，为公司长期可持续发展注入战略动能，经公司总裁办公 会审议通过，同意聘任朱兆云女士担任中药战略科学家、张宁先生担任首席 科学家（简历详见附件）。,聘任战略科学家属于组织与人员安排，公告未给出研发投入、管线里程碑、收入、毛利率、产能或减值等可观察结果，不能改变三条投资假设。,5,无,ADJ-CODEX-FIN-01,2026-08-26T16:23:44+08:00,adjudicated,final-gold-v3-20260826
80,G3-E058,北方华创,002371,芯片半导体,A股,2025-04-26T00:00:00+08:00,仅日期（按盘后处理）,2025年一季度报告,http://static.cninfo.com.cn/finalpage/2025-04-26/1223309242.PDF,前道设备国产化核心标的，晶圆厂扩产与国产化率提升支撑订单与收入，需跟踪毛利率与交付节奏,半导体设备订单随晶圆厂扩产与国产化率提升保持增长,规模效应与国产化推进支撑毛利率，不因竞争加剧显著下滑,产能与交付能力跟上订单增长，合同负债转化不出现明显滞后,"公司披露2025年一季度报告，核心事实为：数据 是 □否 追溯调整或重述原因 □会计政策变更 □会计差错更正 同一控制下企业合并 □其他原因 本报告期 上年同期 本报告期比上年同期 增减（%） 调整前 调整后 调整后 营业收入（元） 8,206,029,208.83 5,859,163,380.59 5,950,568,399.86 37.90% 归属于上…",收入/利润,H2-盈利质量,支持,高,直接,"第1页：数据 是 □否 追溯调整或重述原因 □会计政策变更 □会计差错更正 同一控制下企业合并 □其他原因 本报告期 上年同期 本报告期比上年同期 增减（%） 调整前 调整后 调整后 营业收入（元） 8,206,029,208.83 5,859,163,380.59 5,950,568,399.86 37.90% 归属于上市公司股东的 净利润（元） 1,580,707,286.38 1,126,550,627.36 1,138,817,830.60 38.80% 归属于上市公司股东的 扣除非经常性损益的净 利润（元） 1,570,173,959.13 1,072,494,911.14 1,084,…",该事实直接观察到相关指标或里程碑，提高“规模效应与国产化推进支撑毛利率，不因竞争加剧显著下滑”的可信度。,5,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
