序号,关系样本ID,事件样本ID,查询ID,公司,证券代码,行业,检索截止时间,查询假设,候选公告标题,候选原文链接,相关性等级,关系路径可成立,关键证据原文,判断理由,置信度,数据问题,标注人ID,标注时间,gold_status,gold_source,gold_version,annotator_a_id,annotator_b_id,annotator_a_confidence,annotator_b_confidence,annotator_a_reason,annotator_b_reason
84,G3-R-E029-H1,G3-E029,600276-H1,恒瑞医药,600276,医药,2026-05-12T00:00:00+08:00,创新药放量与授权合作收入接续仿制药集采下滑，研发管线持续推进,恒瑞医药关于与百时美施贵宝公司签署战略合作及许可协议的公告,http://static.cninfo.com.cn/finalpage/2026-05-12/1225300018.PDF,3-直接相关,是,第1页：证券代码：600276 证券简称：恒瑞医药 公告编号：临 2026-071 江苏恒瑞医药股份有限公司 关于与百时美施贵宝公司 签署战略合作及许可协议的公告 本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述 或者重大遗漏，并对其内容的真实性、准确性和完整性承担法律责任。 江苏恒瑞医药股份有限公司（以下简称“公司”或“恒瑞”）与百时美施贵 宝公司（以下简称“BMS”）达成全球战略合作及许可协议，共同推进 13 款涵盖 肿瘤学、血液学及免疫学的早期项目，以加速创新药物研发，惠及全球患者。详 情如下： 一、交易对方基本信息 BMS 是一家全球性的生物制药公司，总部位于美国新泽西州，在…,候选公告直接披露了查询假设所需的核心指标或里程碑，关系路径无需额外业务前提。,5,无,A+B-consensus,20260826T141039+08:00,consensus,independent-A/B-exact-agreement,consensus-gold-v3-20260826,A,B-CODEX-FIN-01,5,5,候选公告直接披露了查询假设所需的核心指标或里程碑，关系路径无需额外业务前提。,公告事实直接对应查询假设中的核心业务变量，时间边界内可建立可复核关系路径。
133,G3-R-E029-H2,G3-E029,600276-H2,恒瑞医药,600276,医药,2026-05-12T00:00:00+08:00,创新药占比提升支撑高毛利率，集采降价不导致盈利持续恶化,恒瑞医药关于与百时美施贵宝公司签署战略合作及许可协议的公告,http://static.cninfo.com.cn/finalpage/2026-05-12/1225300018.PDF,2-间接相关,是,第1页：证券代码：600276 证券简称：恒瑞医药 公告编号：临 2026-071 江苏恒瑞医药股份有限公司 关于与百时美施贵宝公司 签署战略合作及许可协议的公告 本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述 或者重大遗漏，并对其内容的真实性、准确性和完整性承担法律责任。 江苏恒瑞医药股份有限公司（以下简称“公司”或“恒瑞”）与百时美施贵 宝公司（以下简称“BMS”）达成全球战略合作及许可协议，共同推进 13 款涵盖 肿瘤学、血液学及免疫学的早期项目，以加速创新药物研发，惠及全球患者。详 情如下： 一、交易对方基本信息 BMS 是一家全球性的生物制药公司，总部位于美国新泽西州，在…,候选公告通过一层清晰业务因果链影响查询假设，可进入证据链但不是直接测量。,4,无,A+B-consensus,20260826T141039+08:00,consensus,independent-A/B-exact-agreement,consensus-gold-v3-20260826,A,B-CODEX-FIN-01,4,4,候选公告通过一层清晰业务因果链影响查询假设，可进入证据链但不是直接测量。,公告与查询假设并非同一直接指标，但可经需求、规模、产品商业化或投入产出的一层因果链建立关系。
106,G3-R-E031-H1,G3-E031,603259-H1,药明康德,603259,医药,2024-01-03T00:00:00+08:00,CXO 订单与在手订单随全球创新药研发投入回暖恢复增长,关于2019年限制性股票与股票期权激励计划首次授予股票期权2023年第四季度自主行权结果暨股份变动公告,http://static.cninfo.com.cn/finalpage/2024-01-03/1218791594.PDF,0-无关,否,"第1页：重要内容提示： 本次行权股票数量： 无锡药明康德新药开发股份有限公司（以下简称 “公司”）2023 年第四季度激励对象行权且完成股份过户登记的股票期权数量 为 213,405 股，占 2019 年限制性股票与股票期权激励计划首次授予股票期权第 三个行权期（以下简称“本次行权”）可行权股票期权总量的12.62%。",公告仅涉及治理、证券或其他流程事项，未提供回答该查询假设的有效业务证据。,5,无,A+B-consensus,20260826T141039+08:00,consensus,independent-A/B-exact-agreement,consensus-gold-v3-20260826,A,B-CODEX-FIN-01,5,5,公告仅涉及治理、证券或其他流程事项，未提供回答该查询假设的有效业务证据。,候选公告属于治理、证券变动或程序性披露，不回答该查询假设，也不提供有效业务关系证据。
54,G3-R-E031-H2,G3-E031,603259-H2,药明康德,603259,医药,2024-01-03T00:00:00+08:00,产能利用率与项目结构支撑毛利率，不因价格竞争持续走低,关于2019年限制性股票与股票期权激励计划首次授予股票期权2023年第四季度自主行权结果暨股份变动公告,http://static.cninfo.com.cn/finalpage/2024-01-03/1218791594.PDF,0-无关,否,"第1页：重要内容提示： 本次行权股票数量： 无锡药明康德新药开发股份有限公司（以下简称 “公司”）2023 年第四季度激励对象行权且完成股份过户登记的股票期权数量 为 213,405 股，占 2019 年限制性股票与股票期权激励计划首次授予股票期权第 三个行权期（以下简称“本次行权”）可行权股票期权总量的12.62%。",公告仅涉及治理、证券或其他流程事项，未提供回答该查询假设的有效业务证据。,5,无,A+B-consensus,20260826T141039+08:00,consensus,independent-A/B-exact-agreement,consensus-gold-v3-20260826,A,B-CODEX-FIN-01,5,5,公告仅涉及治理、证券或其他流程事项，未提供回答该查询假设的有效业务证据。,候选公告属于治理、证券变动或程序性披露，不回答该查询假设，也不提供有效业务关系证据。
60,G3-R-E031-H3,G3-E031,603259-H3,药明康德,603259,医药,2024-01-03T00:00:00+08:00,新增产能与地缘政治风险可控，海外基地建设按计划推进,关于2019年限制性股票与股票期权激励计划首次授予股票期权2023年第四季度自主行权结果暨股份变动公告,http://static.cninfo.com.cn/finalpage/2024-01-03/1218791594.PDF,0-无关,否,"第1页：重要内容提示： 本次行权股票数量： 无锡药明康德新药开发股份有限公司（以下简称 “公司”）2023 年第四季度激励对象行权且完成股份过户登记的股票期权数量 为 213,405 股，占 2019 年限制性股票与股票期权激励计划首次授予股票期权第 三个行权期（以下简称“本次行权”）可行权股票期权总量的12.62%。",公告仅涉及治理、证券或其他流程事项，未提供回答该查询假设的有效业务证据。,5,无,A+B-consensus,20260826T141039+08:00,consensus,independent-A/B-exact-agreement,consensus-gold-v3-20260826,A,B-CODEX-FIN-01,5,5,公告仅涉及治理、证券或其他流程事项，未提供回答该查询假设的有效业务证据。,候选公告属于治理、证券变动或程序性披露，不回答该查询假设，也不提供有效业务关系证据。
28,G3-R-E033-H1,G3-E033,603259-H1,药明康德,603259,医药,2024-03-09T00:00:00+08:00,CXO 订单与在手订单随全球创新药研发投入回暖恢复增长,关于回购注销部分股票通知债权人的公告,http://static.cninfo.com.cn/finalpage/2024-03-09/1219267101.PDF,0-无关,否,第1页：1 证券代码：603259 证券简称：药明康德 公告编号：临 2024-022 无锡药明康德新药开发股份有限公司 关于回购注销部分股票通知债权人的公告 公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述 或者重大遗漏，并对其内容的真实性、准确性和完整性承担法律责任。 2023 年 5 月 31 日，无锡药明康德新药开发股份有限公司（以下简称“本公 司”或“公司”）召开2022 年年度股东大会、2023 年第一次 A 股类别股东会议 和2023 年第一次 H 股类别股东会议，审议通过了《关于给予董事会回购公司A 股和/或 H 股股份一般性授权的议案》 ，授权董事会按照所适用的法律法,公告仅涉及治理、证券或其他流程事项，未提供回答该查询假设的有效业务证据。,5,无,A+B-consensus,20260826T141039+08:00,consensus,independent-A/B-exact-agreement,consensus-gold-v3-20260826,A,B-CODEX-FIN-01,5,5,公告仅涉及治理、证券或其他流程事项，未提供回答该查询假设的有效业务证据。,候选公告属于治理、证券变动或程序性披露，不回答该查询假设，也不提供有效业务关系证据。
132,G3-R-E033-H2,G3-E033,603259-H2,药明康德,603259,医药,2024-03-09T00:00:00+08:00,产能利用率与项目结构支撑毛利率，不因价格竞争持续走低,关于回购注销部分股票通知债权人的公告,http://static.cninfo.com.cn/finalpage/2024-03-09/1219267101.PDF,0-无关,否,第1页：1 证券代码：603259 证券简称：药明康德 公告编号：临 2024-022 无锡药明康德新药开发股份有限公司 关于回购注销部分股票通知债权人的公告 公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述 或者重大遗漏，并对其内容的真实性、准确性和完整性承担法律责任。 2023 年 5 月 31 日，无锡药明康德新药开发股份有限公司（以下简称“本公 司”或“公司”）召开2022 年年度股东大会、2023 年第一次 A 股类别股东会议 和2023 年第一次 H 股类别股东会议，审议通过了《关于给予董事会回购公司A 股和/或 H 股股份一般性授权的议案》 ，授权董事会按照所适用的法律法,公告仅涉及治理、证券或其他流程事项，未提供回答该查询假设的有效业务证据。,5,无,A+B-consensus,20260826T141039+08:00,consensus,independent-A/B-exact-agreement,consensus-gold-v3-20260826,A,B-CODEX-FIN-01,5,5,公告仅涉及治理、证券或其他流程事项，未提供回答该查询假设的有效业务证据。,候选公告属于治理、证券变动或程序性披露，不回答该查询假设，也不提供有效业务关系证据。
79,G3-R-E033-H3,G3-E033,603259-H3,药明康德,603259,医药,2024-03-09T00:00:00+08:00,新增产能与地缘政治风险可控，海外基地建设按计划推进,关于回购注销部分股票通知债权人的公告,http://static.cninfo.com.cn/finalpage/2024-03-09/1219267101.PDF,0-无关,否,第1页：1 证券代码：603259 证券简称：药明康德 公告编号：临 2024-022 无锡药明康德新药开发股份有限公司 关于回购注销部分股票通知债权人的公告 公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述 或者重大遗漏，并对其内容的真实性、准确性和完整性承担法律责任。 2023 年 5 月 31 日，无锡药明康德新药开发股份有限公司（以下简称“本公 司”或“公司”）召开2022 年年度股东大会、2023 年第一次 A 股类别股东会议 和2023 年第一次 H 股类别股东会议，审议通过了《关于给予董事会回购公司A 股和/或 H 股股份一般性授权的议案》 ，授权董事会按照所适用的法律法,公告仅涉及治理、证券或其他流程事项，未提供回答该查询假设的有效业务证据。,5,无,A+B-consensus,20260826T141039+08:00,consensus,independent-A/B-exact-agreement,consensus-gold-v3-20260826,A,B-CODEX-FIN-01,5,5,公告仅涉及治理、证券或其他流程事项，未提供回答该查询假设的有效业务证据。,候选公告属于治理、证券变动或程序性披露，不回答该查询假设，也不提供有效业务关系证据。
99,G3-R-E034-H1,G3-E034,603986-H1,兆易创新,603986,芯片半导体,2024-08-21T00:00:00+08:00,存储与 MCU 需求随消费电子与工业复苏回升，库存周期见底,兆易创新2024年半年度募集资金存放与实际使用情况专项报告,http://static.cninfo.com.cn/finalpage/2024-08-21/1220923954.PDF,2-间接相关,是,第3页：于使用部分闲置募集资金暂时补充流动资金的议案》，公司拟使 用额度不超过 20 亿元人民币的部分闲置募集资金暂时补充流动资金，使用期限自公司 董事会审议通过之日起不超过 12 个月，募投项目需要或到期时将归还至募集资金专户。 截至2024 年 6 月 30 日，公司使用闲置募集资金暂时补充流动资金金额为 20 亿元。 （四）2024 年 1-6 月对闲置募集资金进行现金管理，投资相关产品情况 公司于2023 年4 月26 日召开了第四届董事会第九次会议及第四届监事会第八次会 议， 审议通过了 《关于使用2020 年非公开发行股票闲置募集资金进行现金管理的议案》 ， 在确保不影响募集资金投资项目建…,候选公告通过一层清晰业务因果链影响查询假设，可进入证据链但不是直接测量。,4,无,A+B-consensus,20260826T141039+08:00,consensus,independent-A/B-exact-agreement,consensus-gold-v3-20260826,A,B-CODEX-FIN-01,4,4,候选公告通过一层清晰业务因果链影响查询假设，可进入证据链但不是直接测量。,公告与查询假设并非同一直接指标，但可经需求、规模、产品商业化或投入产出的一层因果链建立关系。
176,G3-R-E034-H3,G3-E034,603986-H3,兆易创新,603986,芯片半导体,2024-08-21T00:00:00+08:00,新品研发与产能储备按计划推进，不出现存货大额跌价,兆易创新2024年半年度募集资金存放与实际使用情况专项报告,http://static.cninfo.com.cn/finalpage/2024-08-21/1220923954.PDF,3-直接相关,是,第3页：于使用部分闲置募集资金暂时补充流动资金的议案》，公司拟使 用额度不超过 20 亿元人民币的部分闲置募集资金暂时补充流动资金，使用期限自公司 董事会审议通过之日起不超过 12 个月，募投项目需要或到期时将归还至募集资金专户。 截至2024 年 6 月 30 日，公司使用闲置募集资金暂时补充流动资金金额为 20 亿元。 （四）2024 年 1-6 月对闲置募集资金进行现金管理，投资相关产品情况 公司于2023 年4 月26 日召开了第四届董事会第九次会议及第四届监事会第八次会 议， 审议通过了 《关于使用2020 年非公开发行股票闲置募集资金进行现金管理的议案》 ， 在确保不影响募集资金投资项目建…,候选公告直接披露了查询假设所需的核心指标或里程碑，关系路径无需额外业务前提。,5,无,A+B-consensus,20260826T141039+08:00,consensus,independent-A/B-exact-agreement,consensus-gold-v3-20260826,A,B-CODEX-FIN-01,5,5,候选公告直接披露了查询假设所需的核心指标或里程碑，关系路径无需额外业务前提。,公告事实直接对应查询假设中的核心业务变量，时间边界内可建立可复核关系路径。
114,G3-R-E035-H3,G3-E035,600276-H3,恒瑞医药,600276,医药,2024-05-22T00:00:00+08:00,研发投入强度维持，管线推进不出现关键品种研发失败,恒瑞医药关于获得药品注册证书的公告,http://static.cninfo.com.cn/finalpage/2024-05-22/1220121916.PDF,3-直接相关,是,"第1页：证券代码：600276 证券简称：恒瑞医药 公告编号：临2024-065 江苏恒瑞医药股份有限公司 关于获得药品注册证书的公告 本公司董事会及全体董事保证本公告内容不存在任何虚假记载、 误导性陈述 或者重大遗漏，并对其内容的真实性、准确性和完整性承担法律责任。 近日，江苏恒瑞医药股份有限公司（以下简称“公司”）收到国家药品监督 管理局（以下简称“国家药监局”）核准签发氟唑帕利胶囊的《药品注册证书》， 批准公司研发的1 类新药、PARP 抑制剂氟唑帕利胶囊新适应症上市,这是氟唑帕 利获批上市的第 3 个适应症，现将相关情况公告如下： 一、 药品的基本情况 药品名称：氟唑帕利胶囊 剂型：胶囊剂 规…",候选公告直接披露了查询假设所需的核心指标或里程碑，关系路径无需额外业务前提。,5,无,A+B-consensus,20260826T141039+08:00,consensus,independent-A/B-exact-agreement,consensus-gold-v3-20260826,A,B-CODEX-FIN-01,5,5,候选公告直接披露了查询假设所需的核心指标或里程碑，关系路径无需额外业务前提。,药品受理、临床批准或注册获批直接证明研发管线推进，并对创新药商业化假设提供可观察事实。
165,G3-R-E043-H2,G3-E043,688981-H2,中芯国际,688981,芯片半导体,2026-05-15T00:00:00+08:00,毛利率随产能利用率回升，折旧压力不导致盈利持续恶化,中芯国际2026年第一季度报告,http://static.cninfo.com.cn/finalpage/2026-05-15/1225307101.PDF,3-直接相关,是,第2页：则，一季度，公司实现销售收入 25.05 亿美元，环比增长 0.7%；毛利率 为 20.1%，环比增加 0.9 个百分点。 二季度，公司给出的收入指引为环比增长 14%到 16%，毛利率指引为 20%-22%，与上一季指引 相比提升 2 个百分点。 基于客户需求和在手订单情况，相较于上个季度，我们对于今年的整体运营情况更加乐观。 公司将紧密跟踪客户需求，灵活调配资源，加快产品响应速度，确保在复杂环境中依然能保持高 质量的交付,候选公告直接披露了查询假设所需的核心指标或里程碑，关系路径无需额外业务前提。,5,无,A+B-consensus,20260826T141039+08:00,consensus,independent-A/B-exact-agreement,consensus-gold-v3-20260826,A,B-CODEX-FIN-01,5,5,候选公告直接披露了查询假设所需的核心指标或里程碑，关系路径无需额外业务前提。,定期报告直接披露查询假设所需的收入、订单、毛利率、研发投入、产能或减值指标，可建立完整关系路径。
63,G3-R-E044-H3,G3-E044,688981-H3,中芯国际,688981,芯片半导体,2025-11-14T00:00:00+08:00,资本开支与扩产节奏匹配下游需求，先进制程投入不出现大额减值,中芯国际关于2025年前三季度计提资产减值准备的公告,http://static.cninfo.com.cn/finalpage/2025-11-14/1224804088.PDF,3-直接相关,是,第1页：A股代码：688981 A股简称：中芯国际 公告编号：2025-031 港股代码：00981 港股简称：中芯国际 中芯国际集成电路制造有限公司 关于 2025 年前三季度计提资产减值准备的公告 本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈 述或者重大遗漏，并对其内容的真实性、准确性和完整性依法承担法律责任。 一、本次计提减值准备的情况概述 中芯国际集成电路制造有限公司（以下简称“公司”）根据《企业会计准 则》以及公司会计政策的相关规定，为客观、公允地反映公司截至2025 年 9 月 30 日的合并财务状况及 2025 年前三季度的经营成果。基于谨慎性原则，公司 对合并范围内…,候选公告直接披露了查询假设所需的核心指标或里程碑，关系路径无需额外业务前提。,5,无,A+B-consensus,20260826T141039+08:00,consensus,independent-A/B-exact-agreement,consensus-gold-v3-20260826,A,B-CODEX-FIN-01,5,5,候选公告直接披露了查询假设所需的核心指标或里程碑，关系路径无需额外业务前提。,公告事实直接对应查询假设中的核心业务变量，时间边界内可建立可复核关系路径。
13,G3-R-E045-H3,G3-E045,600276-H3,恒瑞医药,600276,医药,2026-01-08T00:00:00+08:00,研发投入强度维持，管线推进不出现关键品种研发失败,恒瑞医药关于获得药品注册批准的公告,http://static.cninfo.com.cn/finalpage/2026-01-08/1224923160.PDF,3-直接相关,是,第1页：证券代码：600276 证券简称：恒瑞医药 公告编号：临 2026-004 江苏恒瑞医药股份有限公司 关于获得药品注册批准的公告 本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述 或者重大遗漏，并对其内容的真实性、准确性和完整性承担法律责任。 近日，江苏恒瑞医药股份有限公司（以下简称“公司”）子公司苏州盛迪亚 生物医药有限公司收到国家药品监督管理局（以下简称“国家药监局”）的通知， 批准公司自主研发的 1 类创新药瑞拉芙普α注射液上市。现将相关情况公告如下： 一、药品的基本情况 药品名称：瑞拉芙普α注射液 剂型：注射剂 规格：300mg（6ml）/瓶 注册分类：治疗用生物制品…,候选公告直接披露了查询假设所需的核心指标或里程碑，关系路径无需额外业务前提。,5,无,A+B-consensus,20260826T141039+08:00,consensus,independent-A/B-exact-agreement,consensus-gold-v3-20260826,A,B-CODEX-FIN-01,5,5,候选公告直接披露了查询假设所需的核心指标或里程碑，关系路径无需额外业务前提。,药品受理、临床批准或注册获批直接证明研发管线推进，并对创新药商业化假设提供可观察事实。
130,G3-R-E047-H3,G3-E047,600276-H3,恒瑞医药,600276,医药,2026-02-06T00:00:00+08:00,研发投入强度维持，管线推进不出现关键品种研发失败,恒瑞医药关于药品上市许可申请获受理的提示性公告,http://static.cninfo.com.cn/finalpage/2026-02-06/1224968189.PDF,3-直接相关,是,第1页：证券代码：600276 证券简称：恒瑞医药 公告编号：临 2026-021 江苏恒瑞医药股份有限公司 关于药品上市许可申请获受理的提示性公告 本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述 或者重大遗漏，并对其内容的真实性、准确性和完整性承担法律责任。 近日，江苏恒瑞医药股份有限公司（以下简称“公司”）收到国家药品监督 管理局（以下简称“国家药监局”）下发的《受理通知书》，公司 HR091506 片 的上市许可申请获国家药监局受理。现将相关情况公告如下： 一、药品的基本情况 药品名称：HR091506 片 剂型：片剂 受理号：CXHS2600022、CXHS2600023…,候选公告直接披露了查询假设所需的核心指标或里程碑，关系路径无需额外业务前提。,5,无,A+B-consensus,20260826T141039+08:00,consensus,independent-A/B-exact-agreement,consensus-gold-v3-20260826,A,B-CODEX-FIN-01,5,5,候选公告直接披露了查询假设所需的核心指标或里程碑，关系路径无需额外业务前提。,药品受理、临床批准或注册获批直接证明研发管线推进，并对创新药商业化假设提供可观察事实。
147,G3-R-E048-H1,G3-E048,00175-H1,吉利汽车,00175,新能源汽车,2025-11-27T16:36:09+08:00,新能源车型销量放量带动整体销量增长，出口贡献增量,持续关连交易,http://static.cninfo.com.cn/finalpage/2025-11-27/1224830298.PDF,2-间接相关,是,第3页：於本通函內，除文義另有所指外，以下詞彙具有下列各自涵義： 「聯繫人」 指 具有上市規則賦予該詞之涵義 「零部件購銷協議」 指 本公司、吉利控股、領克、極氪、LEVC、吉利科 技、耀寧科技、星驅科技及吉利欣旺達訂立之日期為 二零二四年八月十五日之總協議，據此，本集團有條 件同意(i)向吉利控股集團、領克集團、極氪集團及 LEVC集團銷售零部件；及(ii)向吉利控股集團、領克 集團、極氪集團、耀寧科技集團、吉利科技集團、星 驅科技集團及吉利欣旺達集團購買零部件 「Aurobay」 指 Aurobay Holding (SG) PTE. LTD.，一間於新加坡共 和國註冊成立之私人股份有限公司，於最…,候选公告通过一层清晰业务因果链影响查询假设，可进入证据链但不是直接测量。,4,无,A+B-consensus,20260826T141039+08:00,consensus,independent-A/B-exact-agreement,consensus-gold-v3-20260826,A,B-CODEX-FIN-01,4,4,候选公告通过一层清晰业务因果链影响查询假设，可进入证据链但不是直接测量。,公告与查询假设并非同一直接指标，但可经需求、规模、产品商业化或投入产出的一层因果链建立关系。
68,G3-R-E048-H2,G3-E048,00175-H2,吉利汽车,00175,新能源汽车,2025-11-27T16:36:09+08:00,平台化与规模效应改善毛利率，新能源转型不持续拖累盈利,持续关连交易,http://static.cninfo.com.cn/finalpage/2025-11-27/1224830298.PDF,2-间接相关,是,第3页：於本通函內，除文義另有所指外，以下詞彙具有下列各自涵義： 「聯繫人」 指 具有上市規則賦予該詞之涵義 「零部件購銷協議」 指 本公司、吉利控股、領克、極氪、LEVC、吉利科 技、耀寧科技、星驅科技及吉利欣旺達訂立之日期為 二零二四年八月十五日之總協議，據此，本集團有條 件同意(i)向吉利控股集團、領克集團、極氪集團及 LEVC集團銷售零部件；及(ii)向吉利控股集團、領克 集團、極氪集團、耀寧科技集團、吉利科技集團、星 驅科技集團及吉利欣旺達集團購買零部件 「Aurobay」 指 Aurobay Holding (SG) PTE. LTD.，一間於新加坡共 和國註冊成立之私人股份有限公司，於最…,候选公告通过一层清晰业务因果链影响查询假设，可进入证据链但不是直接测量。,4,无,A+B-consensus,20260826T141039+08:00,consensus,independent-A/B-exact-agreement,consensus-gold-v3-20260826,A,B-CODEX-FIN-01,4,4,候选公告通过一层清晰业务因果链影响查询假设，可进入证据链但不是直接测量。,公告与查询假设并非同一直接指标，但可经需求、规模、产品商业化或投入产出的一层因果链建立关系。
83,G3-R-E049-H1,G3-E049,002594-H1,比亚迪,002594,新能源汽车,2024-03-02T00:00:00+08:00,新能源汽车销量保持增长，出口占比提升对冲国内价格压力,关于持股5%以上股东部分股份质押的公告,http://static.cninfo.com.cn/finalpage/2024-03-02/1219219982.PDF,0-无关,否,第1页：证券代码：002594 证券简称：比亚迪 公告编号：2024-016 比亚迪股份有限公司 关于持股5%以上股东部分股份质押的公告 本公司及董事会全体成员保证信息披露的内容真实、准确、完整，没有虚假 记载、误导性陈述或重大遗漏。 比亚迪股份有限公司（以下简称“本公司”或“公司”）于近日收到公司持 股5%以上的股东融捷投资控股集团有限公司（以下简称“融捷投资控股”）的通 知，获悉其将所持有本公司的部分股份办理质押手续。本次股份质押的具体情况 如下： 一、股东部分股份质押的基本情况 股东 名称 是否为 控股股 东或第 一大股 东及其 一致行 动人 本次质押股份 数量（股） 占其所 持股份 比例 占公,公告仅涉及治理、证券或其他流程事项，未提供回答该查询假设的有效业务证据。,5,无,A+B-consensus,20260826T141039+08:00,consensus,independent-A/B-exact-agreement,consensus-gold-v3-20260826,A,B-CODEX-FIN-01,5,5,公告仅涉及治理、证券或其他流程事项，未提供回答该查询假设的有效业务证据。,候选公告属于治理、证券变动或程序性披露，不回答该查询假设，也不提供有效业务关系证据。
169,G3-R-E049-H2,G3-E049,002594-H2,比亚迪,002594,新能源汽车,2024-03-02T00:00:00+08:00,规模效应与垂直一体化维持毛利率，价格战不导致盈利持续恶化,关于持股5%以上股东部分股份质押的公告,http://static.cninfo.com.cn/finalpage/2024-03-02/1219219982.PDF,0-无关,否,第1页：证券代码：002594 证券简称：比亚迪 公告编号：2024-016 比亚迪股份有限公司 关于持股5%以上股东部分股份质押的公告 本公司及董事会全体成员保证信息披露的内容真实、准确、完整，没有虚假 记载、误导性陈述或重大遗漏。 比亚迪股份有限公司（以下简称“本公司”或“公司”）于近日收到公司持 股5%以上的股东融捷投资控股集团有限公司（以下简称“融捷投资控股”）的通 知，获悉其将所持有本公司的部分股份办理质押手续。本次股份质押的具体情况 如下： 一、股东部分股份质押的基本情况 股东 名称 是否为 控股股 东或第 一大股 东及其 一致行 动人 本次质押股份 数量（股） 占其所 持股份 比例 占公,公告仅涉及治理、证券或其他流程事项，未提供回答该查询假设的有效业务证据。,5,无,A+B-consensus,20260826T141039+08:00,consensus,independent-A/B-exact-agreement,consensus-gold-v3-20260826,A,B-CODEX-FIN-01,5,5,公告仅涉及治理、证券或其他流程事项，未提供回答该查询假设的有效业务证据。,候选公告属于治理、证券变动或程序性披露，不回答该查询假设，也不提供有效业务关系证据。
58,G3-R-E049-H3,G3-E049,002594-H3,比亚迪,002594,新能源汽车,2024-03-02T00:00:00+08:00,海外工厂与产能扩张按计划落地，不出现大额投资减值,关于持股5%以上股东部分股份质押的公告,http://static.cninfo.com.cn/finalpage/2024-03-02/1219219982.PDF,0-无关,否,第1页：证券代码：002594 证券简称：比亚迪 公告编号：2024-016 比亚迪股份有限公司 关于持股5%以上股东部分股份质押的公告 本公司及董事会全体成员保证信息披露的内容真实、准确、完整，没有虚假 记载、误导性陈述或重大遗漏。 比亚迪股份有限公司（以下简称“本公司”或“公司”）于近日收到公司持 股5%以上的股东融捷投资控股集团有限公司（以下简称“融捷投资控股”）的通 知，获悉其将所持有本公司的部分股份办理质押手续。本次股份质押的具体情况 如下： 一、股东部分股份质押的基本情况 股东 名称 是否为 控股股 东或第 一大股 东及其 一致行 动人 本次质押股份 数量（股） 占其所 持股份 比例 占公,公告仅涉及治理、证券或其他流程事项，未提供回答该查询假设的有效业务证据。,5,无,A+B-consensus,20260826T141039+08:00,consensus,independent-A/B-exact-agreement,consensus-gold-v3-20260826,A,B-CODEX-FIN-01,5,5,公告仅涉及治理、证券或其他流程事项，未提供回答该查询假设的有效业务证据。,候选公告属于治理、证券变动或程序性披露，不回答该查询假设，也不提供有效业务关系证据。
162,G3-R-E052-H3,G3-E052,600276-H3,恒瑞医药,600276,医药,2025-03-17T00:00:00+08:00,研发投入强度维持，管线推进不出现关键品种研发失败,恒瑞医药关于获得药品注册证书的公告,http://static.cninfo.com.cn/finalpage/2025-03-17/1222816001.PDF,3-直接相关,是,"第1页：eg Health West Pac, 2023, 39: 100822. 证券代码：600276 证券简称：恒瑞医药 公告编号：临2025-024 江苏恒瑞医药股份有限公司 关于获得药品注册证书的公告 本公司董事会及全体董事保证本公告内容不存在任何虚假记载、 误导性陈述 或者重大遗漏，并对其内容的真实性、准确性和完整性承担法律责任。 近日，江苏恒瑞医药股份有限公司（以下简称“公司”）收到国家药品监督 管理局（以下简称“国家药监局”）核准签发富马酸泰吉利定注射液的《药品注 册证书》，批准公司自主研发的 1 类创新药富马酸泰吉利定注射液新增适应症， 并合并修订说明书适应症为用于治疗术后中重度疼痛",候选公告直接披露了查询假设所需的核心指标或里程碑，关系路径无需额外业务前提。,5,无,A+B-consensus,20260826T141039+08:00,consensus,independent-A/B-exact-agreement,consensus-gold-v3-20260826,A,B-CODEX-FIN-01,5,5,候选公告直接披露了查询假设所需的核心指标或里程碑，关系路径无需额外业务前提。,药品受理、临床批准或注册获批直接证明研发管线推进，并对创新药商业化假设提供可观察事实。
